date,over 80 proportion,rolling average
2021-03-02,50.6578947368421,51.63994492346406
2021-03-03,56.8,51.91818482702042
2021-03-04,54.961832061068705,51.782862134445814
2021-03-05,53.5483870967742,51.88266872932178
2021-03-06,51.93798449612403,52.26941376722961
2021-03-07,47.74774774774775,52.23626373407958
2021-03-08,47.93388429752066,51.9411043480111
2021-03-09,49.56521739130435,51.78500758436286
2021-03-10,48.95833333333333,50.66476948912476
2021-03-11,47.61904761904761,49.61580028312174
2021-03-12,48.78048780487805,48.93467181285086
2021-03-13,54.166666666666664,49.253054980071234
2021-03-14,43.58974358974359,48.65905438607064
2021-03-15,57.647058823529406,50.04665074692904
2021-03-16,65.625,52.340905405314125
2021-03-17,54.6875,53.15935778626651
2021-03-18,47.16981132075472,53.09518117222467
2021-03-19,64.81481481481481,55.38579931650135
