,Black,Mixed,Other,South Asian,Unknown,White,All
2021-03-22,45.65509518477043,35.63616225944898,38.961306256860595,27.58620689655173,29.20433334553306,13.493730026652102,16.32514005955686
2021-03-23,44.79283314669653,34.59781254326457,37.79500548847421,26.730587324791472,27.94532079200674,12.649827337335509,15.438625340481892
2021-03-24,43.89697648376259,33.60099681572754,36.75219538968166,25.814773411299342,26.78238114409106,11.892280183050502,14.63221443073381
2021-03-25,42.9003359462486,32.56264709954313,35.6956641053787,24.937655860349125,25.677085239541782,11.161259280557715,13.852830416002533
2021-03-26,41.858902575587905,31.48276339471134,34.7694840834248,24.017542351019003,24.471141529114675,10.386770177135347,13.026963398094765
2021-03-27,40.49272116461366,30.222899072407586,33.52771679473106,22.884598847708318,22.97331918164184,9.447798950373638,12.019234682995688
2021-03-28,39.88241881298992,29.586044579814484,32.869099890230515,22.355748559635387,22.158986934084837,8.982040565803018,11.514678371808671
2021-03-29,39.31690929451288,29.101481378928412,32.15559824368826,21.8677444320234,21.541375398016328,8.623645733194309,11.120346204756402
2021-03-30,38.8073908174692,28.603073515159906,31.593029637760708,21.43993464614327,21.01434688723785,8.305717956239434,10.772904072432084
2021-03-31,38.18589025755878,28.063131662744013,31.051042810098792,20.96482930604523,20.50561797752809,7.9947605812153455,10.429532255622334
2021-04-01,37.788353863381865,27.786238405094835,30.76975850713501,20.67460658698083,20.2457636423526,7.824953845289997,10.241890710400298
2021-04-02,37.59238521836507,27.63394711338779,30.59824368825467,20.534869722246114,20.046297990703792,7.710813513673116,10.117094836723368
2021-04-03,37.34042553191489,27.440121833033373,30.413007683863896,20.35213689913148,19.851407239322185,7.583894111849773,9.979111140779182
2021-04-04,37.23404255319149,27.357053855738613,30.316959385290886,20.251096396938678,19.76082421403214,7.52696916274823,9.916184062923818
2021-04-05,37.18924972004479,27.315519867091226,30.234632272228325,20.1973514489638,19.72788493210848,7.501507833473227,9.88793607325266
2021-04-06,37.06606942889138,27.20476256403157,30.11800219538968,20.066213775905055,19.657431467994,7.450488363785283,9.829974780325074
2021-04-07,36.88689809630459,27.038626609442062,29.95334796926454,19.866282569438482,19.56227354243677,7.381752455856542,9.75060362779081
2021-04-08,36.702127659574465,26.92786930638239,29.829857299670692,19.71364691718979,19.477180397467336,7.315533637513923,9.676768104356384
2021-04-09,36.483762597984324,26.74788868891042,29.685784851811192,19.50726631696621,19.36555283094829,7.231598380930521,9.582499597038762
2021-04-10,36.287793952967526,26.567908071438467,29.53485181119649,19.335282483446562,19.250265344215507,7.146307768416136,9.48831249603144
2021-04-11,36.1926091825308,26.51252941990863,29.452524698133914,19.244990970848747,19.19719650111628,7.114166470624113,9.450458561745862
2021-04-12,36.1030235162374,26.443306105496333,29.397639956092206,19.18694642703585,19.154192438604838,7.086091240625052,9.418465881801296
2021-04-13,36.03023516237403,26.387927453966498,29.322173435784848,19.120302691546996,19.109358415986534,7.055402109901948,9.383868199927377
2021-04-14,35.923852183650624,26.277170150906827,29.239846322722286,19.055808753977118,19.064524393368217,7.024616168040893,9.348375048640264
2021-04-15,35.83986562150055,26.20794683649453,29.15751920965971,18.963367443460314,19.022435310910225,6.993346170490227,9.312230646870816
2021-04-16,35.75027995520716,26.152568184964693,29.10949506037322,18.90102330380944,18.971196427917874,6.957332427181086,9.272829992689708
2021-04-17,35.61590145576707,26.069500207669932,29.027167947310645,18.815031387049615,18.924532445192696,6.922383606389147,9.232615275405692
2021-04-18,35.58230683090706,26.041810881905022,28.979143798024154,18.754837045317743,18.903487903963693,6.906119335217269,9.213566198797466
2021-04-19,35.526315789473685,26.00027689325765,28.917398463227215,18.718290480694805,18.878783442520955,6.888402896976487,9.19329602753487
2021-04-20,35.475923852183655,25.944898241727813,28.87623490669594,18.670994926476908,18.851334040917905,6.868556613701287,9.170827885894411
2021-04-21,35.39753639417694,25.90336425308044,28.77332601536773,18.610800584745036,18.822054679207994,6.845515562874482,9.143963803498195
2021-04-22,35.32474804031355,25.847985601550604,28.72530186608124,18.550606243013164,18.789115397284334,6.819376555633966,9.114820344413815
2021-04-23,35.251959686450164,25.751072961373396,28.642974753018663,18.496861295038272,18.750686235040078,6.791979003600403,9.083723133882444
2021-04-24,35.15677491601343,25.668004984078635,28.567508232711305,18.41731877203543,18.705852212421775,6.763710151325483,9.05018373404232
2021-04-25,35.111982082866746,25.64031565831371,28.54006586169045,18.37002321781752,18.6802327709256,6.74744588015362,9.031297470054682
2021-04-26,35.0615901455767,25.571092343901427,28.47145993413831,18.329177057356603,18.655528309482847,6.731665664671397,9.012329799756756
2021-04-27,35.00559910414334,25.543403018136516,28.409714599341385,18.281881503138706,18.6253339677195,6.711238514568635,8.988966188703088
2021-04-28,34.9384098544233,25.474179703724204,28.354829857299663,18.230286353082818,18.602459466383635,6.690424119914155,8.965439765028833
2021-04-29,34.86562150055991,25.432645715076845,28.27936333699232,18.17009201135093,18.568605204406538,6.667092635673541,8.938331463701743
2021-04-30,34.787234042553195,25.335733074899622,28.22447859495061,18.096998882105083,18.53566592248289,6.645406940777718,8.912037225477562
2021-05-01,34.72564389697649,25.280354423369786,28.190175631174526,18.043253934130192,18.50638656077298,6.6270128245714375,8.890301740629724
2021-05-02,34.69764837625979,25.252665097604876,28.16959385290889,18.002407773669276,18.495406800131747,6.61820301102,8.879556107671235
2021-05-03,34.669652855543106,25.238820434722413,28.142151481888035,17.980909794479317,18.48717197965084,6.612297531606416,8.872229539745007
2021-05-04,34.619260918253076,25.211131108957503,28.100987925356748,17.94221343193739,18.471617318742446,6.600099328227515,8.85773921651311
2021-05-05,34.557670772676374,25.169597120310115,28.052963776070243,17.8906182818815,18.445082897192847,6.583641434779793,8.837876076801962
2021-05-06,34.47928331466966,25.11421846878028,27.97063666300768,17.821824748473645,18.419463455696658,6.5632142846770165,8.813372777404211
2021-05-07,34.40089585666294,25.072684480132907,27.888309549945106,17.770229598417757,18.391099074040184,6.543368001401831,8.789846353729956
2021-05-08,34.32250839865621,25.031150491485533,27.81970362239298,17.720784246280857,18.360904732276836,6.522166362195634,8.765261648021905
2021-05-09,34.288913773796196,24.975771839955698,27.77854006586169,17.68423768165792,18.339860191047833,6.512388437264931,8.75248085730614
2021-05-10,34.238521836506166,24.948082514190787,27.70993413830955,17.639091925359025,18.322475570032566,6.500093422748094,8.73717647097132
2021-05-11,34.17133258678612,24.920393188425862,27.641328210757408,17.565998796113163,18.295941148482967,6.483732340438294,8.716336455536691
2021-05-12,34.08734602463606,24.851169874013564,27.56586169045005,17.492905666867316,18.262086886505884,6.45972317823221,8.687844246934645
2021-05-13,33.97536394176932,24.768101896718818,27.469813391877068,17.411213345945484,18.22457270431505,6.434745904646832,8.657154067954735
2021-05-14,33.86338185890257,24.712723245188982,27.366904500548856,17.301573652076712,18.190718442337968,6.41160804268209,8.62735935838802
2021-05-15,33.745800671892496,24.615810605011774,27.277716794731063,17.18763436236995,18.15137430004026,6.386727580234648,8.595285272133154
2021-05-16,33.701007838745795,24.60196594212931,27.20911086717892,17.12958981855705,18.12941477875782,6.374432565717825,8.579248229005714
2021-05-17,33.64501679731244,24.560431953481938,27.147365532381997,17.07369507266317,18.11386011784944,6.362331173476846,8.563781030050322
2021-05-18,33.57782754759239,24.51889796483455,27.078759604829855,16.97480436838937,18.091900596566987,6.344517924098142,8.541068669478975
2021-05-19,33.47704367301232,24.394295998892417,26.968990120746426,16.839367099492648,18.052556454269293,6.3204119507541066,8.508668957982948
2021-05-20,33.370660694288915,24.31122802159767,26.87294182217343,16.693180841000938,18.01687223218535,6.296693221961803,8.476839090658956
2021-05-21,33.28107502799553,24.283538695832746,26.79061470911087,16.60718892424113,17.98576291036855,6.275685205031465,8.450707665055361
2021-05-22,33.16909294512878,24.200470718538,26.728869374313945,16.49969902829133,17.94824872817773,6.253418643308066,8.421727018591568
