,India,European Union,United States
2020-04-13,0.022857142857142857,6.64842857142857,6.5332857142857135
2020-04-14,0.025,6.182571428571428,6.482857142857143
2020-04-15,0.02342857142857143,6.563999999999999,6.6720000000000015
2020-04-16,0.022857142857142854,6.388571428571429,6.664571428571428
2020-04-17,0.02485714285714286,6.337571428571429,6.632285714285714
2020-04-18,0.024142857142857143,6.197857142857143,6.546857142857143
2020-04-19,0.023714285714285716,6.0249999999999995,6.588714285714286
2020-04-20,0.024285714285714282,5.933285714285715,6.7012857142857145
2020-04-21,0.02614285714285714,5.926142857142857,6.703428571428572
2020-04-22,0.02857142857142857,5.419142857142857,6.6524285714285725
2020-04-23,0.028285714285714282,5.194714285714285,6.754714285714286
2020-04-24,0.030428571428571426,4.920857142857143,6.7827142857142855
2020-04-25,0.03157142857142857,4.882714285714286,6.6894285714285715
2020-04-26,0.033428571428571426,4.682714285714285,6.440857142857142
2020-04-27,0.036,4.515714285714286,6.118142857142858
2020-04-28,0.037714285714285714,4.284571428571429,6.018857142857143
2020-04-29,0.041285714285714294,4.131142857142857,5.9865714285714295
2020-04-30,0.04485714285714286,3.8470000000000004,5.877000000000001
2020-05-01,0.04585714285714286,3.471,5.761714285714285
2020-05-02,0.05142857142857143,3.3909999999999996,5.766571428571429
2020-05-03,0.05257142857142857,3.244285714285714,5.674142857142857
2020-05-04,0.06471428571428571,3.0847142857142855,5.623142857142857
2020-05-05,0.07071428571428572,2.9091428571428573,5.614142857142858
2020-05-06,0.073,2.8445714285714283,5.580857142857142
2020-05-07,0.076,2.7547142857142854,5.4678571428571425
2020-05-08,0.07885714285714286,2.839714285714286,5.402285714285713
2020-05-09,0.08057142857142859,2.565142857142857,5.287428571428571
2020-05-10,0.08499999999999999,2.496142857142857,5.1977142857142855
2020-05-11,0.07528571428571429,2.4032857142857145,5.051
2020-05-12,0.07471428571428572,2.3721428571428573,4.787714285714285
2020-05-13,0.07928571428571428,2.1284285714285716,4.529571428571429
2020-05-14,0.07871428571428572,2.1024285714285713,4.4672857142857145
2020-05-15,0.07942857142857143,1.9541428571428572,4.426714285714286
2020-05-16,0.07971428571428571,1.8992857142857142,4.311
2020-05-17,0.08428571428571428,1.9634285714285713,4.241142857142857
2020-05-18,0.08942857142857143,1.8697142857142859,4.323571428571428
2020-05-19,0.09199999999999998,1.622142857142857,4.261
2020-05-20,0.09157142857142857,1.5232857142857144,4.164428571428572
2020-05-21,0.097,1.3402857142857145,3.9107142857142856
2020-05-22,0.10099999999999999,1.4481428571428572,3.7208571428571426
2020-05-23,0.10342857142857143,1.4105714285714286,3.668714285714285
2020-05-24,0.10357142857142856,1.2147142857142856,3.587142857142857
2020-05-25,0.10528571428571429,0.534,3.315285714285714
2020-05-26,0.108,0.6957142857142857,2.9811428571428573
2020-05-27,0.11399999999999999,0.5990000000000001,2.9612857142857143
2020-05-28,0.1167142857142857,0.5475714285714286,2.9202857142857144
2020-05-29,0.12985714285714287,0.30514285714285716,2.8775714285714282
