date,20-24,30-34,40-44,50-54,60+
2021-02-22,334.4,377.3,267.2,145.6,122.8
2021-02-23,334.4,335.3,247.4,153.3,118.7
2021-02-24,344.9,327.0,197.9,138.0,110.3
2021-02-25,334.4,234.7,178.1,153.3,97.8
2021-02-26,355.3,209.6,197.9,153.3,85.4
2021-02-27,334.4,192.8,168.2,153.3,79.1
2021-02-28,261.3,192.8,158.3,161.0,74.9
2021-03-01,198.6,201.2,108.9,161.0,74.9
2021-03-02,177.7,150.9,99.0,161.0,70.8
2021-03-03,167.2,125.8,108.9,168.6,60.4
2021-03-04,156.8,117.4,118.8,161.0,58.3
2021-03-05,115.0,83.8,89.1,153.3,52.0
2021-03-06,94.1,92.2,99.0,145.6,54.1
2021-03-07,94.1,83.8,89.1,130.3,56.2
2021-03-08,115.0,67.1,99.0,115.0,45.8
2021-03-09,83.6,92.2,108.9,99.7,41.6
2021-03-10,73.2,92.2,79.2,107.3,35.4
2021-03-11,73.2,100.6,99.0,122.7,29.1
2021-03-12,62.7,109.0,99.0,122.7,31.2
2021-03-13,62.7,100.6,99.0,107.3,31.2
2021-03-14,94.1,109.0,118.8,115.0,27.1
2021-03-15,62.7,117.4,108.9,122.7,22.9
2021-03-16,73.2,109.0,108.9,115.0,29.1
2021-03-17,94.1,117.4,108.9,92.0,29.1
2021-03-18,104.5,109.0,69.3,84.3,27.1
2021-03-19,125.4,109.0,69.3,76.7,31.2
2021-03-20,125.4,100.6,59.4,99.7,29.1
2021-03-21,104.5,83.8,39.6,92.0,29.1
2021-03-22,115.0,100.6,59.4,76.7,22.9
2021-03-23,104.5,92.2,49.5,69.0,18.7
2021-03-24,104.5,83.8,49.5,61.3,16.7
2021-03-25,83.6,75.5,39.6,38.3,20.8
2021-03-26,73.2,67.1,29.7,38.3,14.6
2021-03-27,73.2,83.8,29.7,23.0,12.5
2021-03-28,83.6,92.2,39.6,23.0,10.4
2021-03-29,83.6,50.3,19.8,23.0,12.5
2021-03-30,83.6,50.3,19.8,23.0,10.4
2021-03-31,52.3,50.3,19.8,23.0,12.5
2021-04-01,41.8,50.3,29.7,23.0,6.2
2021-04-02,31.4,41.9,39.6,23.0,4.2
2021-04-03,41.8,25.2,39.6,15.3,6.2
2021-04-04,20.9,25.2,29.7,15.3,6.2
2021-04-05,10.5,41.9,29.7,7.7,6.2
2021-04-06,10.5,50.3,29.7,7.7,8.3
2021-04-07,10.5,41.9,49.5,30.7,6.2
2021-04-08,10.5,41.9,39.6,30.7,8.3
2021-04-09,10.5,41.9,29.7,30.7,8.3
2021-04-10,0.0,41.9,29.7,30.7,6.2
2021-04-11,0.0,33.5,29.7,30.7,6.2
2021-04-12,10.5,16.8,19.8,38.3,4.2
2021-04-13,10.5,0.0,19.8,46.0,4.2
2021-04-14,10.5,16.8,0.0,23.0,4.2
2021-04-15,20.9,16.8,0.0,23.0,2.1
2021-04-16,20.9,25.2,0.0,15.3,4.2
2021-04-17,20.9,25.2,0.0,23.0,4.2
2021-04-18,20.9,33.5,0.0,38.3,6.2
2021-04-19,10.5,33.5,0.0,30.7,8.3
2021-04-20,10.5,41.9,0.0,23.0,8.3
2021-04-21,20.9,25.2,0.0,23.0,8.3
2021-04-22,20.9,25.2,0.0,23.0,12.5
2021-04-23,20.9,16.8,0.0,23.0,16.7
2021-04-24,20.9,25.2,0.0,23.0,18.7
2021-04-25,41.8,16.8,0.0,7.7,16.7
2021-04-26,41.8,25.2,0.0,7.7,14.6
2021-04-27,41.8,16.8,0.0,7.7,12.5
2021-04-28,52.3,25.2,0.0,7.7,12.5
2021-04-29,41.8,25.2,0.0,7.7,8.3
2021-04-30,41.8,25.2,0.0,15.3,4.2
2021-05-01,41.8,16.8,0.0,7.7,6.2
2021-05-02,20.9,16.8,0.0,7.7,6.2
2021-05-03,20.9,8.4,9.9,7.7,8.3
2021-05-04,20.9,8.4,9.9,7.7,10.4
2021-05-05,0.0,8.4,19.8,7.7,12.5
2021-05-06,10.5,8.4,19.8,7.7,14.6
2021-05-07,10.5,8.4,19.8,0.0,12.5
2021-05-08,10.5,16.8,19.8,0.0,8.3
