,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,India,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-04-07,0.0,7.155658748871071,,1.0832529088259366,0.1945971849832209,3.699451161757145,0.04853105781685944,,34.815418044528826,1.8011932905549926,2.258968138737271,5.0650133976695395,4.600901949315889,3.8457434735925555,7.349525808594829,0.11104627818108385,1.5646844726434603,3.8015799214090173,4.942760363609225,,3.7488739466323193,8.306172372025463,0.46208980576748143,,0.0,,1.1710527904496133,4.042529839428694,2.701554817312783,4.407392393739483,,10.38743920459862,11.141793424588231,,1.3692221060368541,3.047386633598459,0.7744543413064255
2020-04-08,3.42553503431701,6.281078235120162,,0.48144573725597184,0.17170339851460667,1.2331503872523808,0.04853105781685944,,39.472743703994304,1.8011932905549926,2.214236096386038,6.280616613110229,4.600901949315889,3.9917057427114115,10.079349680358623,0.11104627818108385,1.5012513183471037,3.201330460133909,4.942760363609225,,4.066858790319882,9.28063952181616,0.46208980576748143,,0.0,,1.1402356117535708,2.021264919714347,2.843741912960824,4.636576798213937,,9.249592507275095,11.83135067236405,,1.4653078678640017,3.5552844058648683,0.8891883177962664
2020-04-09,3.42553503431701,5.67152211947559,0.0,0.5215662153606362,0.33195990379490625,0.0,0.4367795203517345,,32.601279616258346,1.8011932905549926,3.8916876845572785,6.128666211180142,4.217493453539565,4.330213983859397,11.969227745425867,0.4071696866639742,1.5435400878780083,2.8411807833688445,4.942760363609225,,5.087757499001006,10.91635223753626,0.0,,0.0,,1.3251386839298256,0.0,3.9338429795958065,5.817757959736119,,9.634992195078222,11.50471829183866,,1.6935115522034774,3.174361076665061,0.7170873530615053
2020-04-10,3.42553503431701,5.75102943890749,0.0,0.2407228686279859,0.33195990379490625,1.2331503872523808,0.4367795203517345,,39.472743703994304,0.9005966452774963,6.329583992699482,5.976715809250057,4.217493453539565,4.652159130639285,13.859105810493109,0.4441851127243354,1.6704063964707212,2.761147521865497,4.942760363609225,,4.970605188168745,12.610068950267712,0.0,,0.0,,0.9245153608812737,2.021264919714347,4.644778457836013,6.734495577633932,,9.17618304293164,9.363461575061118,,1.555388269576953,2.412514418265446,0.9035300648574965
2020-04-11,3.42553503431701,5.645019679664956,0.0,0.12036143431399292,0.36630058349782757,1.2331503872523808,0.7279658672528908,,47.642151008302605,0.0,8.051767623221956,4.8117627277860615,3.6423807098750793,4.936837315090956,13.859105810493109,0.5552313909054193,1.5012513183471037,2.7211308911138232,4.942760363609225,,5.857615541612999,13.06250012695625,0.0,,0.0,,1.0169668969694012,2.021264919714347,4.407799965089278,8.709007370029221,,8.882545185557829,8.383564433484953,,1.3091685048948871,1.6506677598658315,1.0469475354697975
2020-04-12,3.42553503431701,4.34640012894391,0.0,0.16048191241865722,0.36630058349782757,3.699451161757145,1.0191522141540472,,49.70359023462339,0.0,8.678016216139218,5.318264067553016,3.450676461986917,5.091081131393859,14.594058391352592,0.5922468169657805,1.7126951660016254,2.48103110660378,4.942760363609225,,6.175600385300562,14.326987261803703,0.0,,0.0,,0.4622576804406369,2.021264919714347,4.834361252033402,9.484708431327372,,9.249592507275095,7.149619884833487,,1.2310988234103297,1.1427699875994217,0.7744543413064255
2020-04-13,3.42553503431701,3.604331814246169,0.0,0.24072286862798586,0.3891943699664418,3.699451161757145,1.0191522141540472,,75.20435696022126,0.0,9.527925020812647,4.355911521995803,2.6838594704342684,5.876792920480468,16.90390935976811,0.7403085212072256,1.776128320297982,2.080864799087041,14.828281090827671,,5.991503896849869,17.00677192372812,0.0,,0.0,0.0,0.4622576804406369,2.021264919714347,4.597382759286666,10.507223466674931,,10.130506079396534,8.274686973309823,0.34260000100039195,1.5193561088917726,0.5078977722664095,1.0326057884085673
2020-04-14,3.42553503431701,4.505414767807712,0.0,0.20060239052332157,0.3205130105605991,3.699451161757145,1.116214329787766,,75.20435696022126,0.0,10.623860058417858,2.7857573687182464,1.1502254873289723,6.350911496767248,16.063963553071556,0.8513547993883094,1.7972727050634343,2.0408481683353674,14.828281090827671,,7.547956026478466,19.280528606573082,0.0,,0.0,0.0,0.5547092165287643,2.021264919714347,4.028634376694502,11.670775058622155,,9.433116168133727,8.71019681401034,0.34260000100039195,1.969758117456527,0.7618466583996144,1.41983295906178
2020-04-15,0.0,4.690931846482147,0.0,0.20060239052332157,0.37774747673213466,3.699451161757145,1.116214329787766,,69.40178728613313,0.0,12.972292281857593,1.874054957137729,1.5336339831052965,6.683208577527196,14.909038068863799,0.8883702254486707,2.0721497070143124,1.7207151223219765,19.771041454436894,,9.991418509551318,20.661023735443234,0.0,,0.0,0.0,0.5547092165287643,2.021264919714347,3.791655883947766,12.217291715445851,,9.249592507275096,7.149619884833487,0.34260000100039195,2.2460046827095765,0.2539488861332047,1.6349591649802317
2020-04-16,0.0,4.531917207618345,0.0,0.2407228686279859,0.2861723308576778,3.699451161757145,0.8735590407034691,0.0,70.24163289685642,0.0,14.91813612413623,2.2792560289512918,1.3419297352171344,6.9399365402327025,13.64911935881897,0.5922468169657805,2.495037402323356,1.5206319685636074,19.771041454436894,,12.602241436670255,21.310668501970365,0.0,,0.0,0.0,0.3698061443525095,2.021264919714347,3.1755118028062546,11.776552476071902,,7.946574515178803,8.310979460034867,0.34260000100039195,2.372117245107708,0.2539488861332047,1.8357436238374532
2020-04-17,3.42553503431701,5.061966003831017,0.0,0.2407228686279859,0.2861723308576778,2.4663007745047625,0.8735590407034691,0.0,61.385079183774515,0.0,16.125901267619522,2.380556296904683,1.9170424788816207,6.992731403531012,12.70418032628535,0.666277669086503,3.2139464843487295,1.2805321840535642,14.828281090827671,,14.376262143558764,20.26659655576605,0.0,,0.0,0.0,0.3081717869604246,0.0,2.8437419129608252,11.776552476071902,,7.561174827375674,10.125603796287022,0.0,2.4982298075058393,0.6348722153330121,1.9935028415109841
2020-04-18,10.276605102951029,5.247483082505453,0.0,0.2407228686279859,0.2518316511547565,4.932601549009527,0.5338416359854533,0.0,62.912071203271395,0.0,20.30834722745982,2.684457100764855,1.3419297352171344,7.527926390300151,12.284207422937072,0.5922468169657805,3.5734010253614166,1.040432399543521,14.828281090827671,,14.610566765223284,21.89070847208388,0.0,,0.0,0.0,0.21572025087229724,0.0,3.6020730897503777,11.476849793297617,,7.396003532602905,11.105500937863185,0.0,3.140803339724889,0.8888211014662168,2.3090212768580463
2020-04-19,13.70214013726804,6.0160538370138275,0.0,0.20060239052332157,0.3663005834978276,6.165751936261908,0.242655289084297,0.0,64.8208112276425,0.0,27.443107982481497,2.7857573687182464,1.3419297352171344,8.378855363461144,11.44426161624052,0.8143393733279484,3.340812792941443,1.040432399543521,14.828281090827671,,14.141957521894243,25.730573074235316,0.0,,0.0,0.0,0.21572025087229724,0.0,3.507281692651684,11.882329893521648,,7.377651166517042,11.86764315908909,0.0,3.7053071904593815,1.1427699875994217,2.524147482776498
2020-04-20,17.12767517158505,7.500190466409309,0.0,0.12036143431399292,0.5380039820124344,6.165751936261908,0.242655289084297,0.0,43.595622156635876,0.0,30.57435094706781,2.7857573687182464,1.3419297352171344,8.374714589869118,10.28933613203276,0.8143393733279485,3.4042459472377997,1.1604822917985425,4.942760363609224,,14.577094676414065,27.05306420609412,0.0,4.243226855213038,0.0,0.0,0.5855263952248067,0.0,3.2703031999049483,11.970477741396438,,6.3682710317945626,10.161896283012068,0.0,3.7593554314871516,1.3967188737326264,2.681906700450029
2020-04-21,20.553210205902058,7.2351660683029735,0.0,0.0802409562093286,0.6868135940584269,7.398902323514291,0.14559317345057823,0.0,45.42801258003213,0.0,34.17528035634207,2.887057636671637,1.1502254873289726,8.89852244926019,10.709309035381038,0.7032930951468647,3.340812792941443,1.600665230066955,4.942760363609224,,13.572932012137551,29.442828882961784,0.0,4.667549540734342,0.0,0.0,0.5855263952248068,0.0,3.1755118028062546,12.869585789719293,,7.19412750565841,10.30706622991224,0.0,4.065628797311185,1.1427699875994217,2.897032906368481
2020-04-22,23.97874524021907,7.632702665462477,0.0,0.0802409562093286,0.8127294196358053,7.398902323514291,0.14559317345057823,0.0,51.15423265314542,0.0,36.70264074918674,3.0390080386017226,0.7668169915526484,9.318810968850654,11.234275164566382,0.6662776690865033,3.129368945286921,2.000831537583694,1.0150610510858574e-15,,10.861692818590964,31.704984766404472,0.0,2.121613427606519,0.0,0.0,0.7087951100089767,0.0,4.360404266539931,14.315210494865843,,7.102365675229095,10.633698610437625,0.0,4.287827121536464,1.1427699875994217,3.0117668828583217
2020-04-23,37.680885377487115,9.514375892017464,0.0,0.040120478104664285,0.9958797113847192,7.398902323514291,6.344131569286608e-17,0.0,56.19330631748512,0.0,37.910405892670035,2.7857573687182464,0.9585212394408105,9.946138168042333,12.599187100448278,0.8883702254486711,2.7487700195087825,2.1208814298387155,1.0150610510858574e-15,,8.752951223610284,37.42417887172369,0.0,1.2729680565639114,0.0,0.0,0.8936981821852313,0.0,4.076030075243848,14.68543145593996,,7.63458429171913,9.798971415761637,0.0,4.233778880508693,1.2697444306660242,3.2268930887767735
2020-04-24,58.234095583389184,10.150434447472671,0.0,0.040120478104664285,1.579671266334382,7.398902323514291,6.344131569286608e-17,0.0,61.61412798669904,0.0,38.380092337357986,2.63380696678816,0.3834084957763243,10.449242159473282,13.229146455470694,0.9994165036297549,2.431604248027,2.2009146913420636,1.0150610510858574e-15,,8.970519800870195,40.55639471033664,0.0,1.2729680565639114,0.0,0.0,1.0477840756654437,0.0,4.123425773793195,14.191803507841138,,7.928222149092943,7.8754696193343525,0.0,4.636138008159874,1.015795544532819,3.7145124888585968
2020-04-25,65.0851656520232,10.945507641791679,0.0,0.040120478104664285,1.8887373836606742,6.165751936261908,0.04853105781685945,0.0,55.88790791358575,0.0,37.910405892670035,2.7857573687182464,0.19170424788816226,10.929571896148099,16.063963553071556,1.258524486052284,2.452748632792452,2.3209645835970854,9.885520727218449,,9.087672111702455,46.17118162103542,0.0,0.4243226855213038,0.0,0.0,1.2018699691456562,1.0106324598571734,3.507281692651684,12.904844928869208,,8.24021237255262,6.568940097232802,0.0,4.912384573412924,0.7618466583996142,4.07305616538935
2020-04-26,61.659630617706185,11.926097914785121,0.0,0.040120478104664285,2.071887675409588,12.33150387252382,0.04853105781685945,0.0,69.85988489198219,0.0,34.84626099161056,2.3299061629279874,0.19170424788816226,10.957522117894262,17.743855166464662,1.517632468474813,2.389315478496095,2.6811142603621505,9.885520727218449,,11.430718328347654,44.87189208798116,0.0,0.4243226855213038,0.0,0.0,1.2943215052337835,1.0106324598571734,3.696864486849072,12.464105689495259,,7.487765363032226,5.189825601681164,0.0,4.642143368274071,0.8888211014662166,4.316865865430261
2020-04-27,58.234095583389184,12.05861011383829,0.0,0.040120478104664285,2.667126123593558,23.429857357795253,0.04853105781685945,0.0,78.4110402011647,0.0,35.98692807156701,2.532506698834769,0.19170424788816226,11.29810074583826,18.688794198998284,2.1098792854405937,2.1990160156070253,2.961230675623867,9.885520727218449,,11.380510195133828,45.521536854508284,0.0,0.4243226855213038,0.0,0.0,1.3559558626258685,1.0106324598571734,4.028634376694501,12.093884728421143,,7.652936657804996,4.7543157609806475,0.0,4.816298811585776,0.6348722153330117,4.4459415889813325
