,United Kingdom
2020-08-02,-28.16857142857143
2020-08-03,-20.518571428571427
2020-08-04,-13.799999999999999
2020-08-05,-5.738571428571428
2020-08-06,-5.952857142857143
2020-08-07,-6.072857142857144
2020-08-08,-6.200000000000001
2020-08-09,-7.112857142857144
2020-08-10,-1.712857142857143
2020-08-11,2.4685714285714284
2020-08-12,5.782857142857142
2020-08-13,5.825714285714285
2020-08-14,5.778571428571429
2020-08-15,6.447142857142857
2020-08-16,7.289999999999999
2020-08-17,10.497142857142856
2020-08-18,13.828571428571431
2020-08-19,15.89
2020-08-20,18.53
2020-08-21,20.211428571428574
2020-08-22,23.325714285714287
2020-08-23,24.484285714285715
2020-08-24,24.444285714285716
2020-08-25,31.34285714285715
2020-08-26,37.737142857142864
2020-08-27,38.09142857142857
2020-08-28,38.86571428571428
2020-08-29,38.54
2020-08-30,43.95571428571429
2020-08-31,64.86714285714285
2020-09-01,50.028571428571425
2020-09-02,35.63285714285714
2020-09-03,34.95142857142857
2020-09-04,35.02857142857143
2020-09-05,35.114285714285714
2020-09-06,31.607142857142858
2020-09-07,-8.275714285714287
2020-09-08,-9.221428571428573
2020-09-09,-8.924285714285714
2020-09-10,-8.041428571428572
2020-09-11,-7.711428571428573
2020-09-12,-7.715714285714286
2020-09-13,-7.524285714285715
2020-09-14,2.948571428571429
2020-09-15,3.6599999999999997
2020-09-16,3.525714285714286
2020-09-17,3.502857142857143
2020-09-18,3.3799999999999994
2020-09-19,3.4957142857142856
2020-09-20,3.935714285714286
2020-09-21,3.298571428571428
2020-09-22,3.3057142857142856
2020-09-23,2.1642857142857146
2020-09-24,0.7128571428571426
2020-09-25,-0.4499999999999999
2020-09-26,-1.8314285714285712
2020-09-27,-3.301428571428571
2020-09-28,-4.458571428571428
2020-09-29,-5.644285714285714
2020-09-30,-6.301428571428572
2020-10-01,-6.075714285714286
2020-10-02,-6.927142857142856
2020-10-03,-7.667142857142857
2020-10-04,-8.582857142857142
2020-10-05,-10.790000000000001
2020-10-06,-12.755714285714285
2020-10-07,-13.14857142857143
2020-10-08,-12.874285714285715
2020-10-09,-11.265714285714285
2020-10-10,-9.904285714285717
2020-10-11,-8.55
2020-10-12,-8.907142857142857
2020-10-13,-9.307142857142859
2020-10-14,-10.168571428571427
2020-10-15,-10.227142857142857
2020-10-16,-10.468571428571428
2020-10-17,-12.804285714285713
2020-10-18,-14.745714285714286
2020-10-19,-15.557142857142859
2020-10-20,-15.924285714285714
2020-10-21,-17.127142857142857
2020-10-22,-17.895714285714284
2020-10-23,-19.214285714285715
2020-10-24,-18.81142857142857
2020-10-25,-17.824285714285715
2020-10-26,-14.98857142857143
2020-10-27,-12.68142857142857
2020-10-28,-9.125714285714286
2020-10-29,-6.658571428571429
2020-10-30,-4.518571428571429
2020-10-31,-4.068571428571429
2020-11-01,-2.1842857142857146
2020-11-02,1.7699999999999998
2020-11-03,10.04142857142857
2020-11-04,20.349999999999998
2020-11-05,7.925714285714284
2020-11-06,-4.772857142857143
2020-11-07,-16.144285714285715
2020-11-08,-30.330000000000002
2020-11-09,-46.30714285714286
2020-11-10,-66.07000000000001
2020-11-11,-88.9042857142857
