date,Under 20 cases,20 to 65 cases,65 and over cases
2020-10-14,25.40182637162478,22.956597606913363,19.680400043482987
2020-10-15,24.324956309843206,23.133863283846665,20.406565931079466
2020-10-16,23.77852167277919,23.650426545535126,21.408848787911733
2020-10-17,23.317005932015654,24.35152614668735,22.44809218393304
2020-10-18,23.187781524601863,25.021811987591402,23.08729209696706
2020-10-19,23.634528761660963,26.64593950808775,24.722252418741167
2020-10-20,24.155118517242226,28.24963992909373,26.320252201326234
2020-10-21,24.630172053068154,29.597828495457573,27.737797586694207
2020-10-22,24.990769685184727,30.750401617549304,29.10098923796065
2020-10-23,25.22337361852955,31.70112729891425,30.22502445918035
2020-10-24,25.27998621606321,31.967718258364723,30.801174040656598
2020-10-25,25.128609053092767,32.35063981830268,31.533862376345255
2020-10-26,24.56740591232432,32.65773875470862,32.077399717360585
2020-10-27,23.726831909813672,32.57014458231775,32.29698880313078
2020-10-28,22.82718389248529,32.39218646133393,32.396999673877595
2020-10-29,22.197061067762817,32.590571681808115,33.16447439939124
2020-10-30,22.038299652940164,33.05520163970751,34.04065659310795
2020-10-31,21.893076033179902,33.39830766674053,34.19719534732037
2020-11-01,21.7429295788515,33.48105473077776,34.47766061528427
2020-11-02,22.40628153690895,34.71845224905828,36.81704533101425
2020-11-03,22.806261845570678,35.10829824950144,37.87150777258398
2020-11-04,22.98840672459202,35.12837912696655,38.584628763996086
2020-11-05,23.568070494991016,35.320186128960785,38.46505054897272
2020-11-06,24.00620277155586,35.576044205628186,38.765083161213184
2020-11-07,24.510793314790657,36.15423498781299,39.254266768126975
2020-11-08,25.45228542594826,37.33727564812763,40.19349929340146
2020-11-09,26.018411401284858,37.27737923775759,40.026089792368744
2020-11-10,26.66822556427991,37.66307057389763,41.07402978584629
2020-11-11,27.846013734708443,38.53001052514957,42.08718338949886
2020-11-12,28.43183104831762,38.64530245956127,42.68942276334384
2020-11-13,29.217023161936645,38.64149401728341,43.091640395695194
2020-11-14,29.66377039899574,38.31119820518503,43.07642135014676
2020-11-15,29.54685307800231,37.13958287170397,42.50027176867051
2020-11-16,29.721613705171436,35.710378351429206,41.46320252201326
2020-11-17,29.89268220641445,34.4283181918901,40.08914012392652
2020-11-18,29.50623969281512,32.56806725016619,38.334601587129036
2020-11-19,28.866271198956355,30.738283846665194,36.71703446026742
2020-11-20,27.882934993969528,28.891189341901175,34.83639526035439
2020-11-21,27.049745243311097,27.41351373808996,33.77541037069246
2020-11-22,26.42946808772491,26.333647241302906,32.53397108381346
2020-11-23,25.18276023334236,24.453661644139153,30.416349603217746
2020-11-24,23.81052009747212,22.91712829603368,28.964017828024787
2020-11-25,23.00932877150663,21.859766230888546,27.857375801717577
2020-11-26,22.376744529500087,21.10188621759362,26.920317425807156
2020-11-27,21.957072882565782,20.49426656326169,26.28546581150125
2020-11-28,21.73062249243114,20.188898736982054,25.581041417545386
2020-11-29,21.498018559086322,19.911574894748508,25.274486357212744
2020-11-30,21.294951633150365,19.56708397961445,25.261441461028372
2020-12-01,21.44509808747877,19.37700808774651,25.078812914447223
2020-12-02,21.235877618332637,19.301531686239752,24.904880965322317
2020-12-03,21.304797302286655,19.358658320407713,24.994021089248832
2020-12-04,21.665394934403224,19.460101373808996,25.057071420806608
2020-12-05,21.94476579614542,19.668180810990474,25.296227850853352
2020-12-06,22.52566027518645,20.110998781298473,25.78758560713121
2020-12-07,23.259162625839956,20.732121094615554,25.750625067942167
2020-12-08,23.98774214192532,21.5457428539774,26.165887596477877
2020-12-09,25.06215078642282,22.531436959893643,26.77899771714317
2020-12-10,26.50207989760504,24.0506592067361,27.74214588542233
2020-12-11,28.157383021143573,25.790078661644138,29.05968040004348
2020-12-12,29.712998744677183,27.230708508752492,30.066311555603875
2020-12-13,31.700593201565457,28.966319521382673,31.438199804326562
2020-12-14,34.67152386344057,31.973257810768896,33.62104576584412
2020-12-15,37.40615846604475,35.223590183913146,35.45820197847592
2020-12-16,39.64727890319246,38.62833758032351,37.66278943363409
2020-12-17,41.042902503261374,41.744682029692,39.67822589411893
2020-12-18,42.501292244074136,45.162932085087526,41.53929774975541
2020-12-19,42.96034656755359,46.7597080655883,42.956843135123385
2020-12-20,44.02244812563074,49.96987868380236,44.309164039569524
2020-12-21,44.588574100967335,53.922695546199876,46.759430372866625
2020-12-22,45.365151254092105,57.33159760691336,49.5140776171323
2020-12-23,45.6888276269476,59.5235292488367,51.36645287531254
2020-12-24,44.875329214561745,59.46744128074452,51.194695075551685
2020-12-25,40.26386393285254,54.7321626412586,47.622567670398965
2020-12-26,42.02131587368006,59.00696598714824,50.329383628655286
2020-12-27,43.249563098432084,62.82891092399735,53.57756277856289
2020-12-28,41.49334186624659,62.42210004431643,53.73844983150343
2020-12-29,45.366381962734145,71.00563649457125,61.73279704315687
2020-12-30,48.724985846850615,77.77254597828495,68.27916077834549
2020-12-31,51.20855588647943,82.47008641701751,73.46668116099578
2021-01-01,53.74258498043173,86.46895080877466,77.68018262854658
2021-01-02,56.34799517562211,90.9622202526036,82.765517991086
2021-01-03,57.56270460531173,92.70960281409263,84.95488640069573
2021-01-04,62.34400767962192,100.0,93.70583759104251
2021-01-05,59.561375439978335,95.91007921559938,92.78617241004457
2021-01-06,57.077805400349526,92.67186461333925,92.2622024133058
2021-01-07,56.64705737563689,92.45374473742523,94.52549190129362
2021-01-08,58.635882541167206,95.87130234877023,100.0
2021-01-09,55.19235976075023,90.8154221138932,97.18230242417654
2021-01-10,51.86329288404262,86.33980999335256,94.97988911838245
2021-01-11,48.123169320894974,81.91959339685354,92.26002826394173
2021-01-12,45.676520540527235,78.39816917793043,89.65322317643223
2021-01-13,44.029832377482954,75.73849157988035,87.23122078486793
2021-01-14,42.44344893789844,73.70720695767781,84.8896619197739
2021-01-15,41.72225367366529,72.37321349434967,82.65463637351887
2021-01-16,40.65399857237797,70.38832262353203,80.1130557669312
2021-01-17,39.80850173529918,68.66205960558388,78.0671812153495
2021-01-18,38.59256159696753,65.68455018834479,74.55158169366236
2021-01-19,37.717527752479874,63.38805949479283,71.71214262419828
2021-01-20,36.48066556723361,60.8755262574784,69.30753342754647
2021-01-21,35.194575036305906,58.35502991358299,66.16806174584194
2021-01-22,33.76326088561794,55.805797141590965,63.224263506902936
2021-01-23,32.57070421148497,53.759278750276984,61.27839982606805
2021-01-24,30.981859354616386,50.87144083758033,58.849874986411564
2021-01-25,29.057031038471948,47.274886439175724,55.29731492553539
2021-01-26,27.374652324808622,44.29356857965877,51.94477660615286
2021-01-27,26.086100376596843,42.18334533569688,48.98358517230134
2021-01-28,25.05353582592857,40.39337746510082,47.08337862811175
2021-01-29,24.093583085140423,38.46215100819854,45.24404826611588
2021-01-30,23.464690969059983,37.20259528030135,43.685183172083924
2021-01-31,23.190242941885934,36.79128351429205,42.969888031307754
2021-02-01,22.109680754178257,35.054980057611346,40.61745841939341
2021-02-02,21.218647697344128,33.310021050299135,38.447657354060226
2021-02-03,20.412533536810496,31.784220584976737,36.79312968800957
2021-02-04,19.971939842961575,30.259805007755375,34.790738123709104
2021-02-05,18.96275875649199,28.885649789497016,32.79921730622895
2021-02-06,18.198488689787577,27.750733990693554,31.677356234373306
2021-02-07,17.7455879095183,26.803124307555947,30.70768561800196
2021-02-08,16.880399734166932,25.19630788832262,28.677030111968694
2021-02-09,15.989366677332809,23.895897961444717,26.644200456571372
2021-02-10,14.978954882221181,22.537322734323066,24.861397978041094
2021-02-11,13.951313166121052,21.35289718590738,23.38080226111534
2021-02-12,13.424569867329609,20.527157655661423,22.08718338949886
2021-02-13,12.980284047554584,19.821210946155553,21.102293727579088
2021-02-14,12.503999803086616,19.194202858409042,20.16958365039678
2021-02-15,12.132325793191718,18.919995014402836,19.578215023372106
2021-02-16,11.772958869717183,18.627783625083094,18.93684096097402
2021-02-17,11.4972801339011,18.20747008641702,18.110664202630723
2021-02-18,11.112068328943806,17.952650675825392,17.556256114795087
2021-02-19,10.804391168434783,17.564882007533793,16.88009566257202
2021-02-20,10.707165185713933,17.35057057389763,16.571366452875314
2021-02-21,10.600093533856793,17.18057555949479,16.236547450809873
2021-02-22,10.410564402983237,16.496094615555066,15.201652353516687
2021-02-23,10.200113225195066,15.76729725238201,14.347211653440592
2021-02-24,9.859206931351071,15.052694992244628,13.503641700184804
2021-02-25,9.492455756024318,14.141784843784622,12.710077182302424
2021-02-26,9.038324267113003,13.308774651008202,11.762148059571693
2021-02-27,8.451276244861791,12.62394748504321,11.04467876943146
2021-02-28,7.9688384571836455,11.881647462884999,10.388085661484944
2021-03-01,7.3497920102394945,10.844366275204964,9.385802804652679
2021-03-02,7.034730597878259,10.183082206957678,8.759647787803022
2021-03-03,6.839047923794521,9.578578550853091,8.144363517773671
2021-03-04,6.762743987988283,9.073786838023489,7.489944559191216
2021-03-05,6.821818002806015,8.735874141369377,7.081204478747691
2021-03-06,6.991655795406995,8.581805340128518,6.876834438525926
2021-03-07,7.054421936150836,8.4492023044538,6.702902489401022
2021-03-08,7.493784921357717,8.27470640372258,6.355038591151212
2021-03-09,7.84822901026411,8.097786948814537,5.981084900532667
2021-03-10,8.10913924237576,8.024387879459342,5.796282204587455
2021-03-11,8.368818765845374,7.954797252382008,5.561474073268834
2021-03-12,8.6494203362296,7.904595058719257,5.517991085987608
2021-03-13,8.6494203362296,7.838466651894526,5.387542124143929
2021-03-14,8.946021118960296,7.791034234433858,5.254919012936189
2021-03-15,9.243852610333029,7.701362729891425,4.970105446244157
2021-03-16,9.414921111576046,7.501938843341459,4.737471464289597
2021-03-17,9.956432914071922,7.328481608686019,4.515708229155344
2021-03-18,10.22718881531986,7.23223188566364,4.276551799108598
2021-03-19,10.304723459768134,7.087511079104809,4.009131427329058
2021-03-20,10.559480148669605,6.996454686461334,3.935210348950973
2021-03-21,11.686809264774658,7.0193053401285175,3.828677030111969
2021-03-22,11.880030521574323,6.884971194327498,3.687357321447984
2021-03-23,11.862800600585818,6.784913029027255,3.459071638221546
2021-03-24,12.233243901838678,6.780412142698871,3.378628111751277
2021-03-25,12.443695079626847,6.686932195878574,3.4068920534840745
2021-03-26,12.243089570974966,6.568524263239531,3.339493423198174
2021-03-27,12.158170674674476,6.465696321737203,3.2046961626263726
2021-03-28,11.967410835158883,6.377755927321073,3.1590390259810848
2021-03-29,10.932384867206538,6.028764125858631,2.9177084465702796
2021-03-30,10.245649444950402,5.743823399069355,2.9003152516577893
2021-03-31,9.188470721441407,5.385483602924884,2.748124796173497
2021-04-01,8.317129002879858,5.120277531575449,2.5372323078595502
2021-04-02,7.721466020134393,4.801060824285399,2.369822806826829
2021-04-03,7.306717207768232,4.610984932417461,2.2893792803565605
2021-04-04,6.040318015113102,4.236372701085752,2.17197521469725
2021-04-05,5.792945578063849,3.974628849988921,2.095879986955104
2021-04-06,5.4692692052083585,3.932043540881897,2.0437004022176324
2021-04-07,5.095133778029389,3.84756536671837,2.0154364604848354
2021-04-08,4.842838506411992,3.7831680700199426,2.024133057941081
2021-04-09,4.752996775543357,3.863491579880346,2.0915316882269814
2021-04-10,4.658232210106579,3.833024041657435,2.167626915969127
2021-04-11,4.650847958254363,3.82817693330379,2.1502337210566367
2021-04-12,4.570851896522017,3.861414247728784,2.1763235134253724
2021-04-13,4.453934575528589,3.6810325725681365,2.145885422328514
2021-04-14,4.213946390331553,3.5338882118324837,2.117621480595717
2021-04-15,4.0662613532872225,3.353852758697098,2.03935210348951
2021-04-16,3.973958205134516,3.2119017283403504,1.982824220023916
2021-04-17,3.8176582075959336,3.078606248615112,1.843678660723992
2021-04-18,4.164718044650109,3.064064923554177,1.8284596151755625
2021-04-19,4.217638516257661,3.0142089519166855,1.8067181215349493
2021-04-20,4.316095207620547,3.0086693995125193,1.7458419393412326
2021-04-21,4.545007015039259,3.011092953689342,1.7284487444287424
2021-04-22,4.605311738499028,3.0232107245734543,1.7284487444287424
2021-04-23,4.558544810101656,2.9737009749612233,1.6480052179584739
2021-04-24,4.580697565658305,2.93180810990472,1.6523535166865964
2021-04-25,4.328402294040909,2.880567250166187,1.6501793673225351
2021-04-26,4.345632215029414,2.8760663638378023,1.5719099902163283
2021-04-27,4.338247963177197,2.802667294482606,1.5153821067507338
2021-04-28,4.382553474290496,2.762159317527144,1.454505924557017
2021-04-29,4.371477096512172,2.7171504542432974,1.4066746385476683
2021-04-30,4.351785758239594,2.6717953689341902,1.356669203174258
2021-05-01,4.335786545893125,2.6582927099490363,1.2957930209805413
2021-05-02,4.09210623476998,2.5405772213605142,1.2523100336993154
2021-05-03,4.12041253353681,2.4076279636605364,1.1914338515055987
2021-05-04,4.3579393014497745,2.457483935298028,1.202304598325905
2021-05-05,4.3776306397223514,2.4644083758032354,1.1609957604087402
2021-05-06,4.445319615034336,2.4744488145357857,1.1566474616806175
2021-05-07,4.5339306372609345,2.497299468202969,1.182737254049353
2021-05-08,4.593004652078666,2.505608796809218,1.1979562995977824
2021-05-09,4.900681812587688,2.6344033902060717,1.2196977932383954
2021-05-10,5.075442439756812,2.7510802127188128,1.2044787476899663
2021-05-11,4.892066852093436,2.705725127409705,1.182737254049353
2021-05-12,4.724690476776528,2.66175493020164,1.180563104685292
2021-05-13,4.653309375538434,2.637173166408154,1.145776714860311
2021-05-14,4.716075516282276,2.5949340793263906,1.0870746820306556
2021-05-15,4.767765279247791,2.598742521604254,1.082726383302533
2021-05-16,4.6299259113397495,2.528805672501662,1.0566365909337971
2021-05-17,4.709921973072094,2.5243047861732775,1.1131644743993914
2021-05-18,5.01636842493908,2.5783154221138935,1.091422980758778
2021-05-19,5.3585054274251105,2.6257478395745624,1.0653331883900425
2021-05-20,5.525881802742019,2.665217150454244,1.0696814871181652
2021-05-21,5.6907967607748535,2.733076667405274,1.0892488313947168
2021-05-22,5.844635341029365,2.7801628628406827,1.130557669311882
2021-05-23,6.00339675585202,2.846983713715932,1.1218610718556363
2021-05-24,6.1781573830211425,2.929730777753158,1.0957712794869008
2021-05-25,6.393531395377458,3.053678262796366,1.11099032503533
2021-05-26,6.639673123784674,3.282184799468203,1.2001304489618438
