,United Kingdom,Sweden
2020-05-31,3.131428571428574,5.615857142857146
2020-06-01,3.0935714285714306,5.290428571428575
2020-06-02,3.344000000000002,4.851857142857146
2020-06-03,2.990571428571431,4.554714285714288
2020-06-04,2.542285714285716,4.1868571428571455
2020-06-05,2.5085714285714302,4.087857142857146
2020-06-06,2.485285714285716,3.6917142857142893
2020-06-07,2.4725714285714306,3.7341428571428605
2020-06-08,2.3904285714285733,4.116142857142861
2020-06-09,2.278857142857145,3.5220000000000034
2020-06-10,2.0894285714285736,3.578571428571432
2020-06-11,1.9758571428571454,3.5644285714285746
2020-06-12,1.708714285714288,3.04114285714286
2020-06-13,1.6330000000000024,3.0835714285714317
2020-06-14,1.5762857142857167,3.04114285714286
2020-06-15,1.5384285714285737,2.786428571428574
2020-06-16,1.376428571428574,3.14014285714286
2020-06-17,1.2627142857142881,3.479714285714288
2020-06-18,1.2437142857142882,3.380714285714288
2020-06-19,1.1447142857142882,2.814857142857145
2020-06-20,1.0690000000000024,2.5320000000000022
2020-06-21,1.0774285714285738,2.5320000000000022
2020-06-22,1.043714285714288,2.2915714285714306
2020-06-23,0.9890000000000024,3.1402857142857163
2020-06-24,0.940714285714288,2.376428571428573
2020-06-25,1.0080000000000024,2.503714285714288
2020-06-26,0.9932857142857168,3.211000000000002
2020-06-27,0.9280000000000025,3.211000000000002
2020-06-28,0.9280000000000025,3.211000000000002
2020-06-29,0.9448571428571454,3.211000000000002
2020-06-30,0.8605714285714311,2.433000000000002
2020-07-01,0.8815714285714311,2.2774285714285734
2020-07-02,0.7595714285714311,2.5604285714285733
2020-07-03,0.7007142857142882,1.980428571428573
2020-07-04,0.6838571428571453,1.980428571428573
2020-07-05,0.658571428571431,1.980428571428573
2020-07-06,0.637571428571431,1.980428571428573
2020-07-07,0.637571428571431,1.6125714285714299
2020-07-08,0.5534285714285738,1.5842857142857156
2020-07-09,0.5324285714285738,1.258857142857144
2020-07-10,0.5008571428571452,1.4992857142857154
2020-07-11,0.46928571428571664,1.4992857142857154
2020-07-12,0.4482857142857167,1.4992857142857154
2020-07-13,0.4461428571428595,1.4992857142857154
2020-07-14,0.42514285714285954,1.3861428571428582
2020-07-15,0.35985714285714526,1.2728571428571438
2020-07-16,0.3451428571428596,1.3152857142857155
2020-07-17,0.3282857142857168,1.3152857142857155
2020-07-18,0.31157142857143105,1.3152857142857155
2020-07-19,0.31571428571428817,1.3152857142857155
2020-07-20,0.31571428571428817,1.3152857142857155
2020-07-21,0.27571428571428813,1.4284285714285725
2020-07-22,0.25671428571428817,1.3435714285714297
2020-07-23,0.22514285714285956,1.173857142857144
2020-07-24,0.23771428571428815,1.1031428571428583
2020-07-25,0.2502857142857167,1.1031428571428583
2020-07-26,0.24400000000000246,1.1031428571428583
2020-07-27,0.22928571428571676,1.1031428571428583
2020-07-28,0.2208571428571453,0.792000000000001
2020-07-29,0.25671428571428817,0.891000000000001
2020-07-30,0.23771428571428815,0.891000000000001
2020-07-31,0.212571428571431,0.6505714285714296
2020-08-01,0.20828571428571668,0.6505714285714296
2020-08-02,0.2020000000000024,0.6505714285714296
2020-08-03,0.19785714285714523,0.6505714285714296
2020-08-04,0.19157142857143097,0.6364285714285725
2020-08-05,0.14942857142857383,0.4242857142857153
2020-08-06,0.1872857142857167,0.3818571428571439
2020-08-07,0.17042857142857384,0.28285714285714386
2020-08-08,0.14942857142857385,0.28285714285714386
2020-08-09,0.14942857142857385,0.28285714285714386
2020-08-10,0.18514285714285955,0.28285714285714386
2020-08-11,0.174571428571431,0.32528571428571534
2020-08-12,0.1872857142857167,0.19800000000000104
2020-08-13,0.1872857142857167,0.14142857142857246
2020-08-14,0.18514285714285952,0.28285714285714386
2020-08-15,0.18514285714285952,0.28285714285714386
2020-08-16,0.18514285714285952,0.28285714285714386
2020-08-17,0.15357142857143094,0.28285714285714386
2020-08-18,0.15157142857143094,0.28285714285714386
2020-08-19,0.14514285714285952,0.3960000000000011
2020-08-20,0.11985714285714524,0.4101428571428582
2020-08-21,0.10085714285714524,0.38185714285714395
2020-08-22,0.1324285714285738,0.38185714285714395
2020-08-23,0.1344285714285738,0.38185714285714395
2020-08-24,0.13657142857143095,0.38185714285714395
2020-08-25,0.14500000000000238,0.33942857142857247
2020-08-26,0.14500000000000238,0.21214285714285824
2020-08-27,0.15771428571428808,0.21214285714285824
2020-08-28,0.17257142857143096,0.15557142857142964
2020-08-29,0.16000000000000236,0.15557142857142964
2020-08-30,0.1495714285714309,0.15557142857142964
2020-08-31,0.14742857142857377,0.15557142857142964
2020-09-01,0.12000000000000235,-0.014142857142856078
2020-09-02,0.10528571428571665,0.04242857142857249
2020-09-03,0.10942857142857378,0.1697142857142868
2020-09-04,0.11142857142857378,0.19800000000000106
2020-09-05,0.11142857142857378,0.19800000000000106
2020-09-06,0.11342857142857378,0.19800000000000106
2020-09-07,0.11342857142857378,0.19800000000000106
2020-09-08,0.1744285714285738,0.35357142857142965
2020-09-09,0.17028571428571665,0.3111428571428582
2020-09-10,0.17028571428571665,0.15557142857142967
2020-09-11,0.16185714285714523,0.15557142857142967
2020-09-12,0.15557142857143094,0.15557142857142967
2020-09-13,0.1620000000000024,0.15557142857142967
2020-09-14,0.1747142857142881,0.15557142857142967
2020-09-15,0.16428571428571664,0.11314285714285825
2020-09-16,0.18957142857143092,0.2545714285714297
2020-09-17,0.20428571428571662,0.2970000000000011
2020-09-18,0.24857142857143089,0.26871428571428685
2020-09-19,0.28642857142857375,0.26871428571428685
2020-09-20,0.3137142857142881,0.26871428571428685
2020-09-21,0.3178571428571452,0.26871428571428685
2020-09-22,0.3388571428571452,0.26871428571428685
2020-09-23,0.3745714285714309,0.2262857142857154
