date,England,London,Kent and Medway
2021-05-06,0.8,0.7,0.4
2021-05-07,0.7,0.7,0.3860479027588352
2021-05-08,0.7,0.7,0.38601686838844945
2021-05-09,0.8,0.7,0.38598015769658806
2021-05-10,0.8,0.7,0.3861776831423006
2021-05-11,0.8,0.7,0.28619978458647477
2021-05-12,0.8,0.7,0.2860956156931446
2021-05-13,0.8,0.7,0.2863147899393209
2021-05-14,0.7,0.7,0.28655869324473976
2021-05-15,0.7,0.7,0.28665037456605147
2021-05-16,0.7,0.7,0.2734323772840864
2021-05-17,0.8,0.7,0.3729962721342032
2021-05-18,0.8,0.7,0.38647376922536697
2021-05-19,0.8,0.7,0.3866324321834846
2021-05-20,0.8,0.8,0.3867234275047237
2021-05-21,0.8,0.8,0.3867470691281499
2021-05-22,0.8,0.8,0.3865740431500902
2021-05-23,0.8,0.8,0.4
2021-05-24,0.9,0.8,0.4
2021-05-25,0.9,0.8,0.4267631978522544
2021-05-26,0.9,0.8,0.426731817002508
2021-05-27,0.9,0.8,0.4394517433046994
2021-05-28,1.0,0.8,0.5385708886275828
2021-05-29,1.0,0.9,0.5509983991911702
2021-05-30,1.1,0.9,0.563476213500389
2021-05-31,1.2,1.0,0.6766355992069822
2021-06-01,1.3,1.1,0.6645129550672351
2021-06-02,1.5,1.3,0.6765600825167613
2021-06-03,1.6,1.4,0.6898290963469343
2021-06-04,1.7,1.5,0.7954803981312206
2021-06-05,1.8,1.6,0.8097557131599683
2021-06-06,1.8,1.6,0.799663707290826
2021-06-07,2.0,1.7,0.8119766806339954
2021-06-08,2.1,1.8,0.9103417632465657
2021-06-09,2.1,1.8,0.9111378506430025
2021-06-10,2.2,1.9,1.0117496054307937
2021-06-11,2.3,1.9,1.0077369250832087
2021-06-12,2.3,2.0,1.0940900303783485
2021-06-13,2.4,2.0,1.0906312372734421
2021-06-14,2.5,2.1,1.178233516314069
2021-06-15,2.7,2.2,1.266802288357876
2021-06-16,2.7,2.2,1.3547313734383375
2021-06-17,2.8,2.3,1.4701094109904576
2021-06-18,2.9,2.3,1.5427258249843772
2021-06-19,2.9,2.3,1.614277169687182
2021-06-20,3.0,2.4,1.6142281746031748
2021-06-21,3.2,2.5,1.7143064879185672
2021-06-22,3.4,2.6,1.8141832370967423
2021-06-23,3.6,2.8,1.914012094814008
2021-06-24,3.8,3.0,2.0861014526348325
2021-06-25,4.0,3.2,2.358761979455592
2021-06-26,4.3,3.4,2.5724692990742493
2021-06-27,4.5,3.6,2.8724239158708333
2021-06-28,5.0,3.9,3.2448769183044104
2021-06-29,5.3,4.2,3.617129679287783
2021-06-30,5.6,4.4,3.916957829735578
2021-07-01,5.9,4.6,4.104456157163392
2021-07-02,6.1,4.7,4.190813859790492
2021-07-03,6.3,4.9,4.36395507315391
2021-07-04,6.4,5.0,4.405607993750814
2021-07-05,6.7,5.3,4.706389521640091
2021-07-06,7.0,5.4,4.860327341623016
2021-07-07,7.3,5.7,5.26056761582558
2021-07-08,7.6,5.8,5.4733618656378376
2021-07-09,7.8,6.0,5.813298116674322
2021-07-10,8.0,6.1,6.139925527513446
2021-07-11,8.2,6.2,6.4
2021-07-12,8.7,6.6,6.740165756088527
2021-07-13,9.1,6.8,7.2402106248537335
