,India,European Union,United States
2020-05-28,4.882000000000002,10.074142857142887,62.16142857142862
2020-05-29,5.041142857142859,9.629714285714316,62.51357142857148
2020-05-30,5.217857142857143,9.931428571428603,63.602000000000054
2020-05-31,5.390714285714286,9.909285714285746,63.1358571428572
2020-06-01,5.530142857142857,10.026857142857173,62.60200000000005
2020-06-02,5.8384285714285715,9.373714285714316,63.401285714285756
2020-06-03,6.08057142857143,8.287142857142888,63.964857142857184
2020-06-04,6.34857142857143,8.000714285714318,63.67000000000004
2020-06-05,6.490000000000001,7.932000000000031,64.07014285714288
2020-06-06,6.707571428571429,7.7361428571428865,63.002857142857174
2020-06-07,6.923000000000001,7.953142857142886,62.54057142857146
2020-06-08,6.993428571428572,8.125285714285743,62.6274285714286
2020-06-09,7.138,8.697142857142886,61.28171428571432
2020-06-10,7.223571428571428,9.975142857142885,61.823428571428614
2020-06-11,7.331285714285714,8.81785714285717,62.46828571428575
2020-06-12,7.537,8.9104285714286,62.23771428571433
2020-06-13,7.691285714285714,8.768571428571457,63.98471428571433
2020-06-14,7.757428571428571,8.72300000000003,64.4301428571429
2020-06-15,7.987857142857142,8.567857142857173,65.37185714285718
2020-06-16,8.066142857142856,8.708571428571457,67.65328571428576
2020-06-17,8.316857142857142,8.931714285714312,70.22300000000003
2020-06-18,8.591857142857142,9.495000000000028,72.55057142857144
2020-06-19,8.908428571428573,9.293000000000026,75.44057142857143
2020-06-20,9.268142857142859,9.25985714285717,78.48857142857143
2020-06-21,9.612714285714288,9.226428571428599,81.16442857142859
2020-06-22,10.054285714285715,9.318285714285741,86.48714285714287
2020-06-23,10.571285714285716,9.432857142857172,92.27257142857145
2020-06-24,10.989571428571429,9.490000000000027,96.0757142857143
2020-06-25,11.373571428571429,9.0484285714286,101.16457142857143
2020-06-26,11.791285714285715,9.495714285714314,107.39328571428572
2020-06-27,12.257428571428571,9.621285714285744,111.31028571428571
2020-06-28,12.736571428571427,9.428285714285744,118.0352857142857
2020-06-29,13.108142857142855,9.579428571428602,121.97614285714285
2020-06-30,13.384857142857141,9.2204285714286,126.01371428571429
2020-07-01,13.616571428571428,9.093571428571458,132.89457142857145
2020-07-02,13.989999999999998,9.019714285714317,139.93457142857147
2020-07-03,14.426857142857141,8.569857142857172,142.2508571428572
2020-07-04,14.938571428571427,8.303714285714316,144.12185714285718
2020-07-05,15.434285714285712,8.331714285714316,148.4541428571429
2020-07-06,15.820285714285713,8.649000000000031,149.2318571428572
2020-07-07,16.246,8.481714285714315,155.3707142857143
2020-07-08,16.838,8.45600000000003,158.95285714285714
2020-07-09,17.418,8.422571428571457,161.48499999999999
2020-07-10,17.86757142857143,8.604857142857172,168.69
2020-07-11,18.256428571428575,8.695714285714315,174.88414285714285
2020-07-12,18.72057142857143,8.69900000000003,178.19442857142855
2020-07-13,19.367285714285718,9.056428571428603,185.0182857142857
2020-07-14,20.058285714285716,9.17300000000003,188.20428571428573
2020-07-15,20.865428571428573,9.308285714285745,191.6574285714286
2020-07-16,21.74214285714286,9.839142857142887,197.40800000000004
2020-07-17,22.58457142857143,10.278142857142885,199.22314285714288
2020-07-18,23.629142857142856,10.280714285714314,200.30300000000003
2020-07-19,24.83957142857143,10.360857142857173,201.18257142857144
2020-07-20,25.73328571428571,11.655714285714314,202.56114285714287
2020-07-21,26.593714285714288,12.3344285714286,201.0437142857143
2020-07-22,27.944,12.952142857142885,202.09857142857143
2020-07-23,29.428,13.709857142857171,198.9134285714286
2020-07-24,30.84242857142857,14.3224285714286,199.37185714285718
2020-07-25,31.868714285714283,14.687571428571458,200.39900000000006
2020-07-26,32.858,15.003857142857171,197.9385714285715
2020-07-27,33.616285714285716,15.869142857142888,195.67742857142866
2020-07-28,35.05057142857142,16.22914285714289,196.51342857142868
2020-07-29,35.524142857142856,16.950285714285748,197.06971428571438
2020-07-30,35.88357142857142,17.650857142857177,196.64542857142868
2020-07-31,37.159571428571425,18.34385714285717,194.65842857142866
2020-08-01,37.79357142857142,18.519714285714315,190.8902857142858
2020-08-02,38.10314285714285,18.525571428571457,186.90671428571437
2020-08-03,38.88914285714285,19.80585714285717,182.02028571428582
2020-08-04,38.98371428571428,21.490857142857173,178.7160000000001
2020-08-05,39.60357142857142,22.180857142857175,171.20800000000008
2020-08-06,40.61342857142857,22.884142857142887,167.71214285714294
2020-08-07,40.644,24.168714285714316,163.64571428571438
2020-08-08,41.64442857142857,24.4024285714286,162.75442857142866
2020-08-09,42.58571428571428,24.834571428571458,162.8447142857144
2020-08-10,42.74628571428571,25.61057142857146,163.74885714285725
2020-08-11,43.62142857142857,25.26157142857146,159.08771428571438
2020-08-12,44.73085714285714,26.148142857142886,159.77485714285723
2020-08-13,44.939428571428564,27.833857142857173,156.30357142857153
2020-08-14,45.27014285714285,28.662571428571457,158.91157142857153
2020-08-15,45.231857142857145,29.983571428571455,155.8050000000001
2020-08-16,44.78114285714286,30.90085714285717,152.97285714285724
2020-08-17,44.92785714285714,32.048428571428595,148.24785714285727
2020-08-18,45.30142857142857,33.02814285714288,146.96728571428585
2020-08-19,45.57814285714285,34.451857142857165,143.2167142857144
2020-08-20,46.02814285714286,35.21785714285716,140.07728571428584
2020-08-21,46.56071428571429,36.88300000000002,132.95128571428583
2020-08-22,47.1,37.07214285714287,131.2784285714287
2020-08-23,47.48271428571428,37.937142857142874,129.1377142857144
2020-08-24,48.09942857142857,39.695428571428586,129.07114285714297
2020-08-25,47.33885714285714,40.938285714285726,127.05400000000013
2020-08-26,48.99671428571428,40.33500000000002,126.10757142857155
2020-08-27,49.86285714285714,43.347142857142885,126.68600000000012
2020-08-28,50.54557142857142,44.258714285714305,125.83114285714295
2020-08-29,51.53128571428571,45.07685714285716,125.69571428571439
2020-08-30,53.302,45.38714285714288,125.7600000000001
2020-08-31,54.227999999999994,47.11271428571431,125.27071428571439
2020-09-01,56.415571428571425,47.883000000000024,125.91971428571439
2020-09-02,56.22885714285714,50.49400000000002,124.1277142857144
2020-09-03,56.85771428571428,49.22414285714287,123.62271428571441
2020-09-04,57.88885714285714,50.728428571428594,125.15257142857153
2020-09-05,59.117714285714285,52.115857142857166,125.30657142857153
2020-09-06,60.389857142857146,53.030571428571456,123.92028571428581
2020-09-07,60.99942857142857,55.00171428571431,118.81842857142865
2020-09-08,62.174285714285716,56.66214285714288,112.57300000000009
2020-09-09,63.40114285714286,57.88385714285717,109.57042857142866
2020-09-10,64.76857142857142,60.173428571428595,106.05857142857153
2020-09-11,65.92157142857143,61.79400000000003,104.93000000000009
2020-09-12,66.30871428571429,63.72428571428575,104.05557142857153
2020-09-13,66.44014285714286,64.29100000000003,105.4290000000001
2020-09-14,67.26828571428572,65.68642857142859,110.11642857142867
2020-09-15,67.31142857142858,67.2644285714286,115.34471428571439
2020-09-16,67.53485714285715,69.64500000000002,117.48585714285723
2020-09-17,67.5217142857143,71.90100000000002,121.39771428571439
2020-09-18,67.0834285714286,75.23485714285717,122.04771428571439
2020-09-19,66.90057142857145,76.92028571428573,122.52128571428581
2020-09-20,66.37157142857146,79.34642857142858,124.27514285714297
2020-09-21,65.46828571428573,81.426,131.84700000000012
2020-09-22,64.76685714285716,83.76357142857144,132.00014285714298
2020-09-23,63.588285714285725,85.79885714285716,132.01914285714298
2020-09-24,62.514571428571436,87.86757142857144,132.87114285714298
2020-09-25,61.68900000000001,89.41900000000001,132.4387142857144
2020-09-26,61.27442857142858,90.50842857142858,133.51457142857154
2020-09-27,60.778428571428584,91.4547142857143,133.12314285714297
2020-09-28,60.313142857142864,91.9187142857143,125.03642857142867
2020-09-29,60.015571428571434,88.60057142857144,126.58414285714296
2020-09-30,60.048,93.329,126.7447142857144
2020-10-01,59.57514285714286,93.69128571428571,126.1154285714287
2020-10-02,58.965857142857146,94.39099999999999,128.99842857142872
2020-10-03,57.64371428571428,97.38442857142857,130.67428571428587
2020-10-04,56.84371428571428,99.74242857142858,129.9004285714287
2020-10-05,55.87871428571428,100.154,132.58228571428586
2020-10-06,55.00671428571428,107.73614285714287,133.36257142857158
2020-10-07,54.14771428571429,110.14228571428573,138.38114285714303
2020-10-08,53.010285714285715,118.18857142857144,143.96600000000018
2020-10-09,52.368,127.59342857142857,144.57842857142876
2020-10-10,52.21842857142858,137.812,147.33328571428592
2020-10-11,51.420285714285725,144.0157142857143,151.74671428571452
2020-10-12,50.80700000000001,151.55457142857145,152.77957142857167
2020-10-13,49.92300000000001,158.45700000000002,155.79728571428595
2020-10-14,48.80342857142858,168.8537142857143,159.55328571428598
2020-10-15,48.065857142857155,181.83585714285715,162.27014285714313
2020-10-16,46.921000000000014,192.1767142857143,167.7794285714288
2020-10-17,45.6257142857143,201.6112857142857,168.56400000000025
2020-10-18,44.48600000000001,214.07457142857146,170.0310000000002
2020-10-19,43.6007142857143,226.18757142857143,181.21342857142875
2020-10-20,42.620857142857155,238.6614285714286,185.40971428571447
2020-10-21,41.39214285714287,253.01814285714286,186.92814285714303
2020-10-22,40.46000000000002,268.62814285714285,191.85342857142874
2020-10-23,39.5447142857143,289.32185714285714,197.37900000000016
2020-10-24,38.32914285714287,305.6477142857143,208.59742857142874
2020-10-25,37.23457142857144,310.254,214.1218571428573
2020-10-26,36.16614285714287,344.03214285714284,213.97128571428584
2020-10-27,35.115285714285726,363.8071428571428,220.38985714285727
2020-10-28,34.498571428571445,380.30299999999994,227.3474285714287
2020-10-29,33.90657142857144,399.0627142857142,233.714142857143
2020-10-30,33.37842857142858,416.4972857142856,241.17671428571444
2020-10-31,33.050714285714285,423.13057142857133,244.183142857143
2020-11-01,33.059285714285714,440.93114285714273,262.6154285714287
2020-11-02,33.24985714285715,458.72899999999987,270.34300000000013
2020-11-03,33.49428571428573,472.15428571428555,292.04028571428586
2020-11-04,33.52828571428573,459.51528571428554,302.918142857143
2020-11-05,33.4237142857143,466.81414285714266,319.44885714285726
2020-11-06,33.63985714285715,472.1759999999998,331.86357142857156
2020-11-07,33.50642857142858,491.6652857142855,348.158142857143
2020-11-08,33.576000000000015,491.60728571428547,352.5707142857144
2020-11-09,33.55142857142859,456.9267142857141,367.7907142857144
2020-11-10,33.347285714285725,446.7279999999998,373.5654285714287
2020-11-11,33.1087142857143,469.35885714285695,391.69985714285724
2020-11-12,32.82314285714287,458.9222857142855,407.0148571428573
2020-11-13,32.23600000000001,445.4944285714284,429.6232857142859
2020-11-14,31.762571428571444,424.5494285714284,447.02114285714305
2020-11-15,30.173000000000012,415.00285714285695,456.1501428571431
2020-11-16,29.250714285714302,413.00514285714263,474.4374285714288
2020-11-17,28.664285714285732,419.3617142857141,484.5478571428574
2020-11-18,28.42314285714287,408.0202857142855,496.00700000000023
2020-11-19,28.52700000000001,401.78257142857126,507.53428571428594
2020-11-20,28.68714285714287,395.9169999999998,515.2631428571431
2020-11-21,29.112428571428584,388.7275714285712,520.2320000000002
2020-11-22,30.511142857142868,380.22014285714266,524.7895714285717
2020-11-23,31.423285714285726,367.5195714285713,529.7545714285716
2020-11-24,32.019428571428584,353.60242857142845,534.7575714285715
2020-11-25,31.906857142857152,344.70457142857134,539.1210000000002
2020-11-26,31.61700000000001,334.656857142857,504.9280000000002
2020-11-27,31.108714285714296,323.8102857142856,509.19685714285737
2020-11-28,30.756857142857154,314.79314285714275,498.9504285714288
2020-11-29,30.209571428571444,308.583857142857,496.12342857142886
2020-11-30,29.4997142857143,300.60385714285707,490.13342857142885
2020-12-01,28.695285714285728,290.797857142857,495.6167142857145
2020-12-02,27.770142857142872,282.7741428571428,503.9334285714288
2020-12-03,27.098571428571443,278.71985714285705,551.9654285714288
2020-12-04,26.61514285714287,272.6991428571428,562.581142857143
2020-12-05,26.014857142857156,274.69242857142854,588.4804285714288
2020-12-06,25.415285714285726,276.71057142857137,606.0798571428573
2020-12-07,24.94414285714287,271.003,620.8781428571431
2020-12-08,24.4757142857143,271.31,636.5331428571432
2020-12-09,24.058428571428585,271.55571428571426,645.1571428571432
2020-12-10,23.310857142857156,274.1432857142857,648.5674285714288
2020-12-11,22.625571428571444,277.7735714285714,651.6714285714288
2020-12-12,22.029571428571444,278.026,652.553142857143
2020-12-13,21.417857142857155,281.22685714285717,655.4408571428575
2020-12-14,20.951857142857158,283.06928571428574,655.4248571428574
2020-12-15,20.362000000000013,287.2231428571429,648.741285714286
2020-12-16,19.58442857142858,295.02742857142863,659.1688571428574
2020-12-17,18.913285714285724,297.2365714285715,662.7122857142858
2020-12-18,18.408142857142867,300.56557142857145,667.888
2020-12-19,18.03242857142858,300.0958571428572,656.8052857142858
2020-12-20,17.749285714285723,295.69957142857146,656.8552857142859
2020-12-21,17.489571428571434,300.494,658.6801428571429
2020-12-22,17.23785714285715,302.29242857142856,653.9348571428573
2020-12-23,17.310571428571432,300.5068571428572,646.5624285714287
2020-12-24,17.32885714285715,298.15157142857146,626.9160000000002
2020-12-25,17.030857142857148,278.8401428571429,560.3118571428573
