,TfL tube,TfL bus,Bus excl London,Cycling
2020-06-11,10.714285714285705,,17.571428571428548,149.00000000000014
2020-06-12,10.857142857142847,,17.71428571428569,148.85714285714297
2020-06-13,11.142857142857133,,18.14285714285712,171.85714285714297
2020-06-14,11.142857142857133,,18.42857142857141,183.57142857142867
2020-06-15,11.571428571428562,27.85714285714288,18.857142857142836,184.14285714285722
2020-06-16,11.857142857142849,28.714285714285737,19.14285714285712,180.7142857142858
2020-06-17,12.142857142857135,29.42857142857145,19.57142857142855,186.71428571428578
2020-06-18,12.42857142857142,29.857142857142883,19.857142857142836,182.57142857142864
2020-06-19,12.857142857142847,30.28571428571431,20.285714285714267,183.28571428571436
2020-06-20,13.285714285714276,31.00000000000002,20.99999999999998,183.28571428571436
2020-06-21,13.571428571428562,31.571428571428594,21.42857142857141,166.4285714285715
2020-06-22,13.857142857142849,31.857142857142883,21.714285714285694,168.00000000000009
2020-06-23,14.142857142857135,32.285714285714306,21.999999999999982,173.00000000000009
2020-06-24,14.428571428571418,32.85714285714288,22.285714285714267,177.85714285714295
2020-06-25,14.714285714285705,33.57142857142859,22.85714285714284,199.00000000000009
2020-06-26,14.999999999999991,34.428571428571445,22.999999999999982,203.14285714285725
2020-06-27,14.999999999999991,34.428571428571445,22.85714285714284,180.42857142857153
2020-06-28,15.428571428571416,34.71428571428574,23.142857142857125,179.5714285714287
2020-06-29,15.428571428571416,34.5714285714286,23.285714285714267,167.2857142857144
2020-06-30,15.57142857142856,34.285714285714306,23.714285714285698,159.42857142857153
2020-07-01,15.714285714285703,34.14285714285717,23.999999999999982,152.85714285714297
2020-07-02,15.857142857142845,34.00000000000003,24.28571428571427,140.28571428571442
2020-07-03,15.99999999999999,34.00000000000003,24.714285714285698,135.5714285714287
2020-07-04,16.428571428571416,34.428571428571466,25.57142857142855,142.857142857143
2020-07-05,17.14285714285713,35.000000000000036,26.428571428571406,142.2857142857144
2020-07-06,17.571428571428562,35.571428571428605,27.142857142857117,148.7142857142858
2020-07-07,17.99999999999999,36.28571428571433,27.571428571428548,146.42857142857153
2020-07-08,18.42857142857142,36.71428571428575,28.14285714285712,138.57142857142867
2020-07-09,18.857142857142847,37.28571428571432,28.571428571428548,132.42857142857153
2020-07-10,19.42857142857142,37.8571428571429,29.28571428571426,135.14285714285722
2020-07-11,20.285714285714278,38.71428571428575,29.99999999999997,142.85714285714295
2020-07-12,20.714285714285708,39.428571428571466,30.714285714285687,153.85714285714295
2020-07-13,20.999999999999993,40.00000000000004,30.99999999999997,149.85714285714295
2020-07-14,21.142857142857135,40.428571428571466,31.4285714285714,152.14285714285722
2020-07-15,21.428571428571423,41.00000000000004,31.857142857142822,156.00000000000009
2020-07-16,21.714285714285708,41.71428571428575,32.428571428571395,163.4285714285715
2020-07-17,22.142857142857135,42.428571428571466,32.85714285714283,163.57142857142864
2020-07-18,22.85714285714285,43.142857142857174,33.28571428571426,157.00000000000006
2020-07-19,22.85714285714285,42.85714285714289,33.85714285714283,148.71428571428578
2020-07-20,23.14285714285714,43.42857142857146,34.14285714285712,153.5714285714286
2020-07-21,23.57142857142857,44.14285714285718,34.4285714285714,154.71428571428575
2020-07-22,23.999999999999996,45.000000000000036,34.57142857142855,158.1428571428572
2020-07-23,24.57142857142857,46.000000000000036,34.714285714285694,154.28571428571433
2020-07-24,24.71428571428571,46.71428571428575,34.99999999999998,153.71428571428578
2020-07-25,24.57142857142857,46.8571428571429,35.14285714285712,143.7142857142858
2020-07-26,25.14285714285714,47.8571428571429,35.57142857142854,145.42857142857153
2020-07-27,25.285714285714285,48.000000000000036,35.285714285714256,134.2857142857144
2020-07-28,25.571428571428566,48.71428571428575,35.71428571428569,131.5714285714287
2020-07-29,25.714285714285705,49.142857142857174,36.142857142857125,132.71428571428584
2020-07-30,25.85714285714285,49.142857142857174,36.57142857142855,138.14285714285728
2020-07-31,26.14285714285714,49.28571428571431,36.85714285714283,137.28571428571442
2020-08-01,26.714285714285708,49.714285714285744,37.4285714285714,147.71428571428584
2020-08-02,26.857142857142847,50.28571428571432,37.857142857142826,145.00000000000014
2020-08-03,27.28571428571428,51.000000000000036,38.71428571428569,153.42857142857156
2020-08-04,27.57142857142857,51.000000000000036,38.71428571428569,152.14285714285728
2020-08-05,27.999999999999996,51.28571428571431,38.99999999999997,146.5714285714287
2020-08-06,28.142857142857142,51.28571428571431,39.14285714285712,144.0000000000001
2020-08-07,28.285714285714285,51.28571428571431,39.14285714285712,144.28571428571442
2020-08-08,28.28571428571428,51.28571428571431,39.571428571428555,146.14285714285725
2020-08-09,28.571428571428566,50.857142857142875,39.85714285714285,146.28571428571442
2020-08-10,28.714285714285705,51.14285714285717,40.14285714285713,145.857142857143
2020-08-11,28.857142857142843,51.000000000000036,40.571428571428555,147.85714285714297
2020-08-12,28.857142857142836,51.28571428571432,40.714285714285694,149.14285714285725
2020-08-13,28.714285714285694,51.14285714285717,40.85714285714283,144.5714285714287
2020-08-14,28.857142857142836,51.5714285714286,41.14285714285712,140.28571428571442
2020-08-15,28.999999999999986,51.5714285714286,41.28571428571426,130.71428571428584
2020-08-16,29.142857142857125,52.000000000000036,41.14285714285712,122.57142857142871
2020-08-17,29.42857142857141,52.000000000000036,41.4285714285714,119.71428571428582
2020-08-18,29.714285714285687,52.714285714285744,41.85714285714283,118.14285714285727
2020-08-19,29.99999999999997,52.42857142857146,41.99999999999998,111.42857142857154
2020-08-20,30.714285714285683,53.428571428571445,42.7142857142857,119.85714285714299
2020-08-21,31.142857142857107,53.571428571428584,42.7142857142857,115.0000000000001
2020-08-22,31.571428571428534,54.28571428571429,42.999999999999986,116.14285714285725
2020-08-23,31.999999999999968,54.85714285714287,43.42857142857141,121.14285714285724
2020-08-24,32.28571428571425,55.42857142857144,43.999999999999986,122.85714285714297
2020-08-25,32.99999999999997,55.71428571428573,43.28571428571426,113.71428571428584
2020-08-26,33.857142857142826,56.71428571428574,43.99999999999998,119.28571428571442
2020-08-27,33.99999999999997,56.42857142857146,43.71428571428569,106.42857142857154
2020-08-28,34.28571428571425,56.5714285714286,44.28571428571426,107.00000000000011
