date,hospitalCases,newAdmissions,stay length
2020-06-30,3676.0,291.57142857142856,13.066546131906346
2020-07-01,3557.1428571428573,277.42857142857144,13.20045882903627
2020-07-02,3447.0,262.14285714285717,13.529919406576726
2020-07-03,3350.1428571428573,244.28571428571428,13.96837618867754
2020-07-04,3244.0,232.14285714285714,14.185219699808146
2020-07-05,3127.4285714285716,230.42857142857142,13.740038605392357
2020-07-06,2977.5714285714284,228.14285714285714,13.196328394035088
2020-07-07,2865.4285714285716,216.71428571428572,13.284317582615527
2020-07-08,2759.1428571428573,208.0,13.27140345213634
2020-07-09,2654.1428571428573,207.42857142857142,12.816511272638461
2020-07-10,2554.285714285714,202.0,12.673176219840794
2020-07-11,2456.714285714286,198.42857142857142,12.40171408573392
2020-07-12,2365.1428571428573,186.71428571428572,13.035479622023624
2020-07-13,2281.285714285714,184.57142857142858,12.741795481700828
2020-07-14,2194.8571428571427,180.28571428571428,12.554545773520886
2020-07-15,2126.285714285714,174.28571428571428,12.567901393804219
2020-07-16,2052.714285714286,167.57142857142858,12.569812458586485
2020-07-17,1990.0,163.0,12.538878115152142
2020-07-18,1941.142857142857,152.71428571428572,13.24576154649078
2020-07-19,1890.0,154.42857142857142,12.589239288464762
2020-07-20,1836.0,146.0,12.8983619118731
2020-07-21,1784.7142857142858,137.57142857142858,13.211973482627528
2020-07-22,1752.2857142857142,136.42857142857142,13.092744305521274
2020-07-23,1710.7142857142858,141.28571428571428,12.617305407070328
2020-07-24,1660.5714285714287,143.28571428571428,12.141366086194296
2020-07-25,1607.0,145.28571428571428,11.406912304681692
2020-07-26,1555.7142857142858,142.85714285714286,11.244437528838633
2020-07-27,1503.7142857142858,142.85714285714286,10.84443752883863
2020-07-28,1465.857142857143,141.85714285714286,10.635287202041246
2020-07-29,1409.142857142857,138.14285714285714,10.516760159463571
2020-07-30,1377.142857142857,128.42857142857142,10.840266652970067
2020-07-31,1350.4285714285713,122.14285714285714,11.112989599577087
2020-08-01,1334.5714285714287,123.42857142857143,10.87084899333459
2020-08-02,1316.142857142857,121.14285714285714,10.984534360941238
2020-08-03,1299.142857142857,118.28571428571429,11.103715180122057
2020-08-04,1277.2857142857142,119.57142857142857,10.817400654311735
2020-08-05,1255.857142857143,120.71428571428571,10.580851489191138
2020-08-06,1233.142857142857,116.28571428571429,10.792436933449851
2020-08-07,1208.5714285714287,116.57142857142857,10.553261408430405
2020-08-08,1171.0,118.42857142857143,10.15405611461075
2020-08-09,1132.2857142857142,120.28571428571429,9.552586677170526
2020-08-10,1108.857142857143,116.85714285714286,9.733559193026764
2020-08-11,1083.5714285714287,114.85714285714286,9.678421348415236
2020-08-12,1055.5714285714287,109.28571428571429,9.874016418126288
2020-08-13,1034.5714285714287,113.42857142857143,9.348045359481961
2020-08-14,1020.4285714285714,111.42857142857143,9.39431214205706
2020-08-15,1012.8571428571429,105.42857142857143,9.759268698502979
2020-08-16,1012.2857142857143,101.71428571428571,10.182685140551497
2020-08-17,997.2857142857143,103.14285714285714,9.838346823829458
2020-08-18,985.0,105.42857142857143,9.583594558550876
2020-08-19,973.7142857142857,107.42857142857143,9.312578015902824
2020-08-20,959.7142857142857,102.85714285714286,9.531416320455415
2020-08-21,944.5714285714286,103.85714285714286,9.302996512165127
2020-08-22,940.1428571428571,100.0,9.768544852713466
2020-08-23,924.5714285714286,99.14285714285714,9.69986724653586
2020-08-24,909.4285714285714,98.42857142857143,9.613753955065425
2020-08-25,893.8571428571429,97.14285714285714,9.562959295179857
2020-08-26,880.1428571428571,99.57142857142857,9.311077119384638
2020-08-27,870.1428571428571,107.28571428571429,8.774020191350266
2020-08-28,860.0,111.28571428571429,8.461854422343942
2020-08-29,844.2857142857143,116.71428571428571,7.672640858130379
2020-08-30,838.7142857142857,117.14285714285714,7.534848148909098
2020-08-31,835.5714285714286,117.14285714285714,7.500311257229348
2020-09-01,838.0,119.0,7.421763617623364
2020-09-02,834.2857142857143,121.0,7.310291756151503
2020-09-03,831.0,120.0,7.325744180315361
2020-09-04,831.0,122.28571428571429,7.236544510179668
2020-09-05,828.0,125.14285714285714,7.0470340206691775
2020-09-06,826.1428571428571,133.85714285714286,6.352080940622929
2020-09-07,833.0,141.14285714285714,5.918866267971637
2020-09-08,837.7142857142857,148.28571428571428,5.6950551990924305
2020-09-09,855.0,156.28571428571428,5.562806259912798
2020-09-10,873.1428571428571,166.71428571428572,5.3764908985895286
2020-09-11,866.2857142857143,177.85714285714286,5.0889091992431235
2020-09-12,866.2857142857143,190.14285714285714,4.733638543972468
2020-09-13,869.8571428571429,202.71428571428572,4.419717438785491
2020-09-14,881.2857142857143,218.85714285714286,4.062412826799852
2020-09-15,905.8571428571429,231.14285714285714,3.932334611939028
2020-09-16,931.8571428571429,242.85714285714286,3.8352072935733887
2020-09-17,963.0,249.28571428571428,3.8477752537466094
2020-09-18,1027.4285714285713,253.71428571428572,4.037342683772055
2020-09-19,1097.142857142857,260.0,4.214591361020732
2020-09-20,1176.4285714285713,269.0,4.372774467683491
2020-09-21,1258.7142857142858,285.2857142857143,4.425809014835685
2020-09-22,1340.142857142857,296.7142857142857,4.529542952855337
2020-09-23,1429.2857142857142,316.42857142857144,4.558851505593568
2020-09-24,1527.0,339.14285714285717,4.552588167360431
2020-09-25,1641.142857142857,356.42857142857144,4.640280466291843
2020-09-26,1745.857142857143,369.42857142857144,4.753426579437956
2020-09-27,1858.7142857142858,376.7142857142857,4.98170141878546
2020-09-28,1978.857142857143,387.2857142857143,5.152148228058455
2020-09-29,2090.8571428571427,400.14285714285717,5.2701074117319235
2020-09-30,2205.1428571428573,404.42857142857144,5.4840815640737315
2020-10-01,2311.714285714286,419.14285714285717,5.5644723175315125
2020-10-02,2412.1428571428573,439.85714285714283,5.5477645366266035
2020-10-03,2531.285714285714,465.57142857142856,5.491653666956411
2020-10-04,2655.285714285714,506.7142857142857,5.267503369894912
2020-10-05,2794.0,532.5714285714286,5.26540210396746
2020-10-06,2968.5714285714284,572.8571428571429,5.200305151058873
2020-10-07,3163.285714285714,606.0,5.213758770357858
2020-10-08,3376.5714285714284,632.5714285714286,5.32922821551989
2020-10-09,3583.285714285714,657.5714285714286,5.439874533403049
2020-10-10,3796.285714285714,684.5714285714286,5.533236115323953
2020-10-11,4026.8571428571427,712.4285714285714,5.648681836995152
2020-10-12,4253.857142857143,749.5714285714286,5.678551477158909
2020-10-13,4489.714285714285,792.4285714285714,5.697799953690645
2020-10-14,4733.285714285715,834.7142857142857,5.700760586565347
2020-10-15,4997.285714285715,882.2857142857143,5.691835046321606
2020-10-16,5301.0,912.0,5.831744406752082
2020-10-17,5613.428571428572,955.7142857142857,5.878367909954534
2020-10-18,5921.857142857143,993.2857142857143,5.966060986822774
2020-10-19,6261.142857142857,1023.4285714285714,6.121487899421323
2020-10-20,6626.714285714285,1047.0,6.326621488326758
2020-10-21,6988.714285714285,1086.857142857143,6.433314291398288
2020-10-22,7328.285714285715,1119.857142857143,6.552556701005808
2020-10-23,7698.142857142857,1174.0,6.549201012624721
2020-10-24,8086.142857142857,1207.0,6.690400936326841
