date,England,Northern Ireland,Scotland,Wales
2020-12-02,150.43270856282328,136.40201788382012,101.29408965277396,277.96816814092773
2020-12-03,150.88041438229362,144.79842548874748,101.34900151922831,298.48909520473194
2020-12-04,151.95526367110136,150.07918498870183,99.6833415701133,319.5174949625406
2020-12-05,153.61639439016793,152.8779875236776,101.42221734116742,341.37053784810644
2020-12-06,157.10032737422083,158.79243816362643,103.05126937931287,364.55569655543394
2020-12-07,161.30201095774206,156.89136474364287,102.77671004704116,396.46304219096265
2020-12-08,166.91254658427908,160.58789639361092,104.86336097230611,427.8946321758621
2020-12-09,174.00122205922614,162.85862297859128,105.90668643493859,461.1340936331525
2020-12-10,184.6822037523042,163.122660953589,107.68217011696227,488.34731684914004
2020-12-11,197.1220297361586,167.7697293135488,111.91038383394651,523.6801031691987
2020-12-12,207.5915947922646,165.92146348856477,112.25815898815733,547.531319787407
2020-12-13,220.48623303716823,167.55849893355062,113.64925960500065,580.4218937675693
2020-12-14,242.03651712516512,172.73364324350587,116.23011732835465,613.027014357354
2020-12-15,264.11623111078956,176.21894451347572,115.99216590705251,631.3911824716395
2020-12-16,286.6116719287794,184.7737749034017,116.77923599289807,645.6321349471388
2020-12-17,306.248546621659,190.1601495933551,116.87075577032198,649.1844438051698
2020-12-18,327.4790408386056,191.0050711133478,117.78595354456098,640.4622568769686
2020-12-19,337.60216686774044,197.55321289329115,119.0672304284956,636.8147968888118
2020-12-20,356.8162082866758,202.2530888482505,120.95253784342798,620.1316320734161
2020-12-21,380.0311763145287,210.38545847818017,125.01601596104919,594.9165825900708
2020-12-22,400.9951789722668,220.26047874309475,130.48889865099846,579.819269943439
2020-12-23,414.3250867638777,230.29392179300797,135.44927058737395,557.6807736674957
2020-12-24,412.7279140190212,231.4556888829979,137.46270569069975,516.3534661495097
2020-12-25,378.7022717392755,221.15820785808697,129.95808394193986,456.2813859967351
2020-12-26,405.2963527378925,233.46237749298052,135.46757454285873,447.49576498178334
2020-12-27,429.2770398458713,265.19974208770606,151.59335932495014,456.63027347386304
2020-12-28,424.7342470665631,300.3696003574018,160.8002489337946,444.3240606442556
2020-12-29,480.8911250333803,384.0696384316778,193.9853202277012,471.5372838602433
2020-12-30,525.7825164872554,459.0564233310291,224.2051507330734,479.65684696431424
2020-12-31,557.7384076571482,517.0391626405276,249.04361832592025,496.688899256838
2021-01-01,585.3522630223365,564.9356513051133,260.886277524573,514.7041798939953
2021-01-02,616.3683272934206,628.780033659561,282.1188658869182,520.8572863087991
2021-01-03,628.9271861737215,657.4017501493134,291.6003148280343,499.0676775099837
2021-01-04,680.5750269587303,689.9840362640316,301.8505298995113,508.64622460931736
2021-01-05,654.8603681055014,653.652410904346,300.2397818168506,471.25183046986575
2021-01-06,634.290772955392,616.6870944046657,292.5704244687277,448.7644467167944
2021-01-07,634.5412750210479,591.0226032348876,289.33062434792157,437.7586326655733
2021-01-08,659.6323436257288,590.3361044998936,301.6308824336939,449.9696943650549
2021-01-09,626.3741970365037,541.3306563403174,288.45203448465213,419.9970883754182
2021-01-10,596.7883041331721,501.7249600906601,273.93699778522137,399.98363400561834
2021-01-11,566.3940535002414,462.59453219599857,268.7386744275438,370.7088029702377
2021-01-12,542.6674216787081,436.08511950622784,249.08022623688979,345.8743580073958
2021-01-13,524.6099536267378,411.37116504644166,233.63168780773523,329.1594761486248
2021-01-14,509.8552042985586,394.2615042665896,223.05200153753228,317.9950768805273
2021-01-15,499.9879101662639,373.7721574067669,217.81707026888512,305.8157322244209
2021-01-16,486.1569982433409,357.454610551908,211.92319660278585,301.47049728200795
2021-01-17,474.344315728824,343.1965599020313,207.67667893031683,290.2743809705352
2021-01-18,454.30415047634216,324.502671272193,201.01403913385684,279.55402030969157
2021-01-19,438.82809732790514,310.8783117623109,193.19825014185565,263.06115775454754
2021-01-20,422.1332894486877,296.03937756743926,190.94686361722768,247.45637241391123
2021-01-21,404.79357199618573,287.59016236751233,183.9547526220416,234.7061209770499
2021-01-22,387.23533146513273,274.96914716262154,178.28052642175973,220.750621891928
2021-01-23,373.4115259837887,263.29866866772244,173.90588106089726,206.03391376579944
2021-01-24,354.3129642405103,254.5854154927978,167.7557520180111,192.42730215780563
2021-01-25,330.1350733787173,239.6408661079271,160.1596104918273,174.951211258028
2021-01-26,309.64009586518625,227.44231166303263,153.16749949664123,163.81852903330574
2021-01-27,294.51048174372033,218.8346736781071,144.49142459685538,155.3500784521068
2021-01-28,282.2252208642069,206.31927366321534,142.2583420277122,147.38910056491227
2021-01-29,269.4016470350922,201.93624327825327,137.13323449197372,141.87033501761405
2021-01-30,260.7406713608148,198.18690403328566,134.35103325828712,140.12589763197383
2021-01-31,257.6333797804433,195.22967871331127,133.47244339501765,142.15578840799157
2021-02-01,245.1953304069836,189.57926604836015,129.40896527739645,134.73400025817674
2021-02-02,233.15879498273145,179.96828375844328,127.12097084179891,130.57906757601543
2021-02-03,222.81003943346667,172.52241286350767,123.73473907711457,126.74130532760694
2021-02-04,212.69401984591067,166.23830905856204,119.72617282594769,121.76172951768842
2021-02-05,202.54424466085493,161.22158753360543,119.2685739388282,118.68517631028656
2021-02-06,194.6951799369662,156.62732676864516,118.00560101037833,114.6571118016264
2021-02-07,188.34735099661893,150.87129891369497,115.13187999926784,109.07491216757762
2021-02-08,177.20800382170214,143.05577485376256,113.17335676239635,105.26886696254438
2021-02-09,167.58765853427403,136.93009383381556,107.81029780535575,100.98706610688198
2021-02-10,157.68838541487435,130.2763368638731,106.25446158914941,96.76869933797016
2021-02-11,148.93502600007133,124.73153938892106,105.21113612651693,92.8357859594358
2021-02-12,142.87856116445866,116.81040013898959,104.53388977358007,89.85438388215977
2021-02-13,137.82943442265432,110.57910392904348,101.31239360825874,87.41217154226344
2021-02-14,133.20491756518885,108.88926088905811,101.76999249537826,87.57075675913983
2021-02-15,130.76740810362813,109.31172164905445,101.25748174180441,86.33379206750402
2021-02-16,128.23040845996286,108.41399253406223,104.00307506452144,85.63601711324792
2021-02-17,125.0058605935396,107.83310898906724,103.72851573224975,83.1938047733516
2021-02-18,122.65718165171504,107.09380265907363,104.35085021873226,82.11542529859217
2021-02-19,119.66714635739527,108.04433936906543,104.16781066388445,79.0388720911903
2021-02-20,118.15525091148552,110.26225835904623,106.34598136657333,78.56311644056115
2021-02-21,116.85299549215316,106.98818746907456,105.04640052715392,78.05564374655673
2021-02-22,112.21248914113521,100.75689125912845,101.84320831731738,74.34474967164931
2021-02-23,107.46538616643383,97.74685834415449,98.0176816209983,69.46032499185665
2021-02-24,102.61168656804902,94.84244061917961,95.67477531894642,66.00316726395145
2021-02-25,96.7666383694085,93.31102036419287,91.11709040323615,62.26055614566877
2021-02-26,91.05483595037224,87.1325317492463,84.34462687386744,58.835115461138855
2021-02-27,86.10875261146182,83.11915452928102,79.84185382461149,54.77533390910339
2021-02-28,81.05429603847328,79.84508363930934,76.43731810444237,52.68200904633511
2021-03-01,74.01714226497323,76.3597823693395,71.97115296615598,49.76404105580962
2021-03-02,69.64135086276909,74.14186337935867,68.69474493438032,48.146471843670504
2021-03-03,65.7363612151667,68.12179754941074,64.94243406000037,46.402034458030265
2021-03-04,62.4958238551909,64.00280513944637,63.64285322058097,45.57739133027306
2021-03-05,60.520233096258295,62.41857728946008,62.59952775794849,43.32548125062839
2021-03-06,59.79715266560581,61.784886149465564,63.77098090897443,44.2769925518867
2021-03-07,59.04386985824302,63.7915747594482,63.93571650833745,42.342252905994805
2021-03-08,58.464694869563125,65.58703298943267,64.70448263869822,42.786291513248685
2021-03-09,57.633241204832494,64.31965070944364,67.17551662914356,40.50266439022874
2021-03-10,57.471569658912664,66.11510893942811,69.53672688668021,40.2806450866018
2021-03-11,57.28680217786141,67.22406843441851,71.45864221258213,41.200439344484835
2021-03-12,57.38984558075537,68.8082962844048,73.67342082624056,43.57921759763061
2021-03-13,56.94924620286393,68.38583552440846,73.41716544945363,44.245275508511426
2021-03-14,57.03985333299483,65.79826336943086,73.61850895978621,44.62588002901475
2021-03-15,56.81244720247021,63.21069121445322,75.4855124192338,42.659423339747576
2021-03-16,55.975663706555416,62.52419247945916,73.98458806948182,43.230330120502565
2021-03-17,55.705618926557435,59.40854437448611,73.52698918236231,42.6277062963723
2021-03-18,55.417808042612215,58.7748532344916,71.4952501235517,42.342252905994805
2021-03-19,54.570364884329074,56.39851145951215,70.74478794867571,41.42245864811177
2021-03-20,54.42112961117229,55.55358993951946,70.61666026028225,40.21721099985125
2021-03-21,56.08403694063355,55.55358993951946,70.96443541449308,39.614587175720985
2021-03-22,55.54927721182175,55.395167154520834,70.81800377061484,39.67802126247154
2021-03-23,54.82442017077454,53.86374689953407,71.42203430161258,39.043680394965996
2021-03-24,55.27923243182377,55.28955196452174,70.34210092801054,39.26569969859294
2021-03-25,55.13532698985116,55.342359559521284,70.68987608222137,38.6313588310874
2021-03-26,54.213266194989636,55.50078234451992,69.4635110647411,37.83843274670547
2021-03-27,53.45465355644267,55.342359559521284,68.21884209177603,35.77682492731247
2021-03-28,52.68538125552737,54.391822849529504,66.26031885490454,34.63501136580249
2021-03-29,49.22276759621114,52.27951904954779,63.22186224443102,32.256233112656716
2021-03-30,46.73018321241397,50.27283043956514,59.359727637142385,31.431589984899514
2021-03-31,43.20005835809825,47.896488664585696,56.65074222539491,28.830792428126802
