,Belgium,France,Germany,Italy,Netherlands,Poland,Spain,Sweden,Switzerland,United Kingdom
2020-07-06,-6.0,-9.571428571428571,-5.714285714285714,-11.714285714285714,-4.142857142857143,1.2857142857142858,-16.714285714285715,2.0,-7.857142857142857,-46.142857142857146
2020-07-07,-5.571428571428571,-8.571428571428571,-6.0,-11.285714285714286,-2.5714285714285716,1.2857142857142858,-16.571428571428573,2.2857142857142856,-7.857142857142857,-45.42857142857143
2020-07-08,-6.285714285714286,-8.0,-6.285714285714286,-11.142857142857142,-2.857142857142857,1.1428571428571428,-16.428571428571427,2.0,-7.857142857142857,-44.714285714285715
2020-07-09,-6.428571428571429,-8.0,-6.571428571428571,-10.857142857142858,-3.4285714285714284,1.4285714285714286,-16.428571428571427,1.8571428571428572,-8.142857142857142,-44.0
2020-07-10,-7.0,-8.142857142857142,-7.428571428571429,-10.285714285714286,-3.7142857142857144,1.7142857142857142,-16.571428571428573,1.2857142857142858,-9.0,-42.857142857142854
2020-07-11,-7.142857142857143,-8.142857142857142,-7.285714285714286,-10.428571428571429,-2.7142857142857144,1.8571428571428572,-16.857142857142858,1.4285714285714286,-9.142857142857142,-42.285714285714285
2020-07-12,-5.857142857142857,-6.571428571428571,-5.571428571428571,-10.142857142857142,-1.1428571428571428,3.2857142857142856,-17.285714285714285,2.4285714285714284,-8.857142857142858,-41.57142857142857
2020-07-13,-5.428571428571429,-4.714285714285714,-5.285714285714286,-9.857142857142858,0.14285714285714285,3.857142857142857,-17.285714285714285,3.0,-9.0,-41.42857142857143
2020-07-14,-6.571428571428571,-8.857142857142858,-5.428571428571429,-9.714285714285714,-0.5714285714285714,4.285714285714286,-17.285714285714285,2.7142857142857144,-9.428571428571429,-40.857142857142854
2020-07-15,-5.857142857142857,-8.0,-5.142857142857143,-9.428571428571429,0.7142857142857143,5.0,-17.142857142857142,3.0,-9.571428571428571,-39.57142857142857
2020-07-16,-6.428571428571429,-7.285714285714286,-5.0,-9.0,1.4285714285714286,5.142857142857143,-17.142857142857142,2.7142857142857144,-9.428571428571429,-38.0
2020-07-17,-6.714285714285714,-7.0,-4.285714285714286,-8.857142857142858,2.0,5.428571428571429,-17.285714285714285,2.2857142857142856,-9.142857142857142,-36.857142857142854
2020-07-18,-7.428571428571429,-7.0,-4.428571428571429,-8.285714285714286,1.5714285714285714,5.571428571428571,-17.571428571428573,1.8571428571428572,-9.714285714285714,-35.857142857142854
2020-07-19,-8.428571428571429,-7.428571428571429,-4.428571428571429,-8.0,1.2857142857142858,5.142857142857143,-17.714285714285715,1.8571428571428572,-9.857142857142858,-34.714285714285715
2020-07-20,-7.285714285714286,-9.0,-4.428571428571429,-7.857142857142857,2.0,5.0,-18.0,2.0,-10.285714285714286,-33.285714285714285
2020-07-21,-10.714285714285714,-5.0,-4.0,-7.714285714285714,4.285714285714286,5.142857142857143,-18.285714285714285,2.5714285714285716,-10.428571428571429,-32.142857142857146
2020-07-22,-10.428571428571429,-5.857142857142857,-3.4285714285714284,-7.714285714285714,4.714285714285714,5.428571428571429,-18.571428571428573,2.7142857142857144,-10.571428571428571,-31.571428571428573
2020-07-23,-10.142857142857142,-6.428571428571429,-2.857142857142857,-7.714285714285714,5.857142857142857,5.714285714285714,-18.714285714285715,3.0,-10.714285714285714,-31.428571428571427
2020-07-24,-11.142857142857142,-6.714285714285714,-3.142857142857143,-7.857142857142857,5.714285714285714,5.714285714285714,-18.857142857142858,4.285714285714286,-10.571428571428571,-31.285714285714285
2020-07-25,-12.142857142857142,-6.857142857142857,-3.2857142857142856,-7.857142857142857,5.428571428571429,5.857142857142857,-19.142857142857142,5.285714285714286,-10.428571428571429,-31.285714285714285
2020-07-26,-13.571428571428571,-7.0,-4.714285714285714,-7.714285714285714,6.142857142857143,5.428571428571429,-19.142857142857142,6.0,-10.714285714285714,-31.0
2020-07-27,-16.285714285714285,-7.142857142857143,-4.571428571428571,-7.285714285714286,5.428571428571429,5.714285714285714,-19.0,6.714285714285714,-10.285714285714286,-31.571428571428573
2020-07-28,-13.428571428571429,-7.0,-4.714285714285714,-7.142857142857143,4.857142857142857,5.0,-19.0,7.0,-10.428571428571429,-31.285714285714285
