,Cars,Motorbikes,Buses,Trucks,Vans,Pedestrians & cyclists
2020-07-12,0.928763390532506,1.3585019631531259,0.9253312172769778,0.9018632882269246,0.957707976744515,0.8744139666175749
2020-07-13,0.9174034361440658,1.3440048323769254,0.9170848211854583,0.8859549541367723,0.9379747641209172,0.8557376043200786
2020-07-14,0.8999256615448521,1.318936877076412,0.9026925261200708,0.8728619864983501,0.922697438218777,0.8339316396661758
2020-07-15,0.901271641901327,1.4032014497130774,0.8957764448697303,0.8464111645929828,0.9105074052593609,0.8525128865979381
2020-07-16,0.911874731964687,1.4491090305043792,0.9038361301063473,0.8427178881724336,0.911522357234804,0.8763132056946491
2020-07-17,0.9071083838700031,1.4267592872244035,0.8925945807174365,0.8352026761117671,0.8946783981440879,0.8465083456062837
2020-07-18,0.905936642068576,1.4210208396254909,0.8924856660520767,0.8328262646444465,0.8930092088325576,0.8359167893961708
2020-07-19,0.9041303524062145,1.4536393838719417,0.905096428376938,0.8366936094208821,0.9033496951607656,0.8479534855179186
2020-07-20,0.9115976477295817,1.4213228631833281,0.9086205957632195,0.8475690975690976,0.9111439605052833,0.8396815169366716
2020-07-21,0.9327568982741397,1.4391422530957414,0.9211380026606297,0.8570671752489936,0.9205508324728049,0.8514021845851742
2020-07-22,0.9406510530948312,1.411658109332528,0.9262881104083522,0.8787803105984924,0.9310186298501973,0.8427067992145313
2020-07-23,0.9394498554918345,1.424645122319541,0.92208711617305,0.8797641752187207,0.929066527096035,0.8299091801669121
2020-07-24,0.9439825541774567,1.4654183026276049,0.9370239845652361,0.8878394332939787,0.9457690294654351,0.857581615120275
2020-07-25,0.9363370262920487,1.4433705829054664,0.9410771660404074,0.8931220294856658,0.9514096162279151,0.8415684830633285
2020-07-26,0.9427159547099577,1.4158864391422532,0.93962237729596,0.891108891108891,0.9469608023425232,0.837404884634266
2020-07-27,0.9453564925828795,1.4309876170341287,0.95573396815024,0.899199285562922,0.9583162406461743,0.8545900834560628
2020-07-28,0.9499585871399965,1.4475989127151918,0.9642215324293416,0.903891562982472,0.9664252471956205,0.8724840451644574
2020-07-29,0.9473804556263328,1.4161884627000905,0.9590636450626648,0.9004404686222868,0.9602824890724683,0.8696367206676484
2020-07-30,0.9389720724053559,1.3533675626698882,0.9452237029430298,0.8928874156146883,0.9424447965145063,0.8335573146784487
2020-07-31,0.9451098626510921,1.3156146179401993,0.9400424767194904,0.8907077770714135,0.9321927206371211,0.8095882425135004
2020-08-01,0.9628906825308625,1.3639383871942012,0.9452937195136182,0.8946205309841674,0.9314571456862772,0.8353737113402061
2020-08-02,0.9629525896392462,1.3799456357595894,0.9402836449070725,0.8962855326491691,0.9298940489157342,0.8265402552773686
2020-08-03,0.9634558345203023,1.3956508607671398,0.9283652686691406,0.8859927950837042,0.920473031276081,0.8210757241040747
2020-08-04,0.9552501471541951,1.385684083358502,0.9180806124116041,0.8801123119304938,0.9125656005545103,0.8057161266568482
2020-08-05,0.9562860927178768,1.4107520386590156,0.9249344567103103,0.8847516120243393,0.9144045379316198,0.8121134020618557
2020-08-06,0.9609406086167704,1.4599818785865295,0.9389144319711221,0.8926906426906428,0.9278499992927164,0.8386567255768286
2020-08-07,0.9462666269262971,1.453639383871942,0.933515376416863,0.887233978143069,0.9202431641039424,0.8258130829651449
2020-08-08,0.9326875024026448,1.4482029598308668,0.9263892454547576,0.8785684012956739,0.9116461318659557,0.815577442317133
2020-08-09,0.9289021822754957,1.4488070069465417,0.9241953929096552,0.879037629037629,0.9060444457018376,0.8086094747177223
