,United Kingdom,Sweden
2021-02-05,1634.39,1192.403
2021-02-06,1646.529,1192.403
2021-02-07,1652.042,1192.403
2021-02-08,1656.924,1192.403
2021-02-09,1672.348,1199.588
2021-02-10,1687.038,1213.17
2021-02-11,1697.008,1217.501
2021-02-12,1708.136,1223.209
2021-02-13,1717.24,1223.209
2021-02-14,1721.037,1223.209
2021-02-15,1724.483,1223.209
2021-02-16,1736.197,1229.016
2021-02-17,1747.017,1237.087
2021-02-18,1753.688,1239.941
2021-02-19,1761.502,1244.961
2021-02-20,1768.041,1244.961
2021-02-21,1771.223,1244.961
2021-02-22,1773.833,1244.961
2021-02-23,1781.867,1251.26
2021-02-24,1788.362,1259.134
2021-02-25,1793.112,1259.626
2021-02-26,1798.17,1262.382
2021-02-27,1802.437,1262.382
2021-02-28,1804.548,1262.382
2021-03-01,1806.073,1262.382
2021-03-02,1811.101,1267.894
2021-03-03,1818.241,1275.964
2021-03-04,1821.789,1277.244
2021-03-05,1825.249,1279.803
2021-03-06,1827.581,1279.803
2021-03-07,1828.783,1279.803
2021-03-08,1829.736,1279.803
2021-03-09,1833.123,1283.641
2021-03-10,1835.908,1288.169
2021-03-11,1838.562,1290.433
2021-03-12,1841.142,1293.877
2021-03-13,1842.931,1293.877
2021-03-14,1843.693,1293.877
2021-03-15,1844.632,1293.877
2021-03-16,1846.244,1296.436
2021-03-17,1848.312,1301.948
2021-03-18,1849.704,1302.736
2021-03-19,1851.171,1305.295
2021-03-20,1852.578,1305.295
2021-03-21,1853.076,1305.295
2021-03-22,1853.34,1305.295
2021-03-23,1854.982,1310.511
2021-03-24,1856.419,1314.645
2021-03-25,1857.343,1316.22
2021-03-26,1858.384,1319.074
2021-03-27,1859.234,1319.074
2021-03-28,1859.542,1319.074
2021-03-29,1859.879,1319.074
2021-03-30,1860.686,1321.83
2021-03-31,1861.316,1325.275
2021-04-01,1862.064,1328.523
2021-04-02,1862.826,1328.523
2021-04-03,1862.973,1328.523
2021-04-04,1863.119,1328.523
2021-04-05,1863.53,1328.523
2021-04-06,1863.823,1331.967
2021-04-07,1864.483,1336.396
2021-04-08,1865.26,1338.07
2021-04-09,1866.14,1340.629
2021-04-10,1866.726,1340.629
2021-04-11,1866.829,1340.629
2021-04-12,1867.049,1340.629
2021-04-13,1867.386,1344.467
2021-04-14,1867.943,1350.373
2021-04-15,1868.397,1354.408
2021-04-16,1868.896,1357.065
2021-04-17,1869.424,1357.065
2021-04-18,1869.57,1357.065
2021-04-19,1869.658,1357.065
2021-04-20,1870.142,1360.707
2021-04-21,1870.435,1364.447
2021-04-22,1870.729,1366.317
2021-04-23,1871.33,1370.353
2021-04-24,1871.799,1370.353
2021-04-25,1871.96,1370.353
2021-04-26,1872.063,1370.353
2021-04-27,1872.312,1374.782
2021-04-28,1872.737,1377.931
2021-04-29,1873.104,1378.128
2021-04-30,1873.338,1382.656
2021-05-01,1873.441,1382.656
2021-05-02,1873.646,1382.656
2021-05-03,1873.661,1382.656
2021-05-04,1873.749,1386.888
2021-05-05,1874.145,1392.793
2021-05-06,1874.335,1393.482
2021-05-07,1874.555,1394.958
2021-05-08,1874.629,1394.958
2021-05-09,1874.658,1394.958
2021-05-10,1874.731,1394.958
2021-05-11,1875.024,1399.289
2021-05-12,1875.186,1404.21
2021-05-13,1875.347,1404.21
2021-05-14,1875.611,1404.998
2021-05-15,1875.713,1404.998
2021-05-16,1875.772,1404.998
2021-05-17,1875.845,1404.998
2021-05-18,1875.948,1407.557
2021-05-19,1875.992,1412.281
2021-05-20,1876.095,1412.478
2021-05-21,1876.227,1413.954
2021-05-22,1876.315,1413.954
2021-05-23,1876.388,1413.954
2021-05-24,1876.432,1413.954
