,Black 44.2%,Mixed 38.5%,Other 43.1%,South Asian 28.5%,Unknown 28.3%,White 15.5%,All 19.3%
2021-03-20,74.10911330470634,75.06666258007172,78.71806462675167,68.7993984651678,67.53341450982614,46.74292158163126,52.18733606836851
2021-03-21,73.73787487383026,74.63757011064456,78.32213614328246,68.35226522635044,66.81450699439316,46.030646030646025,51.51079010617722
2021-03-22,73.33242091937112,74.20234774879701,77.92309011269933,67.91775962714024,66.17418021181402,45.40764089151186,50.911083673561905
2021-03-23,72.89959454604553,73.7947099028412,77.49286861097688,67.4344654203569,65.53987087274169,44.78394026781124,50.307224782481654
2021-03-24,72.46334662036166,73.32270818647132,77.0782348448241,66.8926248844858,64.92007419153876,44.17693127370546,49.71334703009694
2021-03-25,71.92787367628694,72.82925184663009,76.62463173974717,66.30027379018603,64.27585376904344,43.539122248799664,49.086440089738815
2021-03-26,71.35818520862915,72.2653017439544,76.15544089910058,65.59369995580326,63.520133658039306,42.824263469424764,48.378845928933536
2021-03-27,70.59175748036884,71.51438992245686,75.50387355228906,64.74133428231958,62.49681429461403,41.84333216591282,47.41757084227477
2021-03-28,70.22736215420937,71.1343365923928,75.13288544573129,64.22991487822938,61.93046667044232,41.3369697240665,46.91245665157177
2021-03-29,69.89033924691633,70.82171207895301,74.79930790454071,63.81377675481142,61.50110437786714,40.947846109136435,46.52067790979717
2021-03-30,69.56187022051905,70.50295767309284,74.47664177824888,63.40567440205256,61.087670612221785,40.56239862691476,46.134346888760966
2021-03-31,69.13588695191008,70.12903423544917,74.12747650148863,62.93902572020594,60.68060825734836,40.17570920796727,45.74035858193163
2021-04-01,68.85874121088739,69.89303337726423,73.90457188284257,62.61989082831576,60.419734382964265,39.91614443227346,45.477496532316216
2021-04-02,68.71161445948026,69.74285101296472,73.77207613050052,62.450565660856036,60.24664439032678,39.753102978909425,45.314217293960915
2021-04-03,68.5559338271774,69.61105832592638,73.65672688728509,62.28066650977781,60.073200430424194,39.58772668450088,45.14952850548448
2021-04-04,68.49092433236959,69.53136972446134,73.5928171714495,62.184237261868546,59.9914339921844,39.50913692849177,45.070060355412345
2021-04-05,68.45157648024909,69.49152542372882,73.54917151185447,62.14004052324347,59.95851503652942,39.47247495634593,45.03303109277087
2021-04-06,68.34550835714164,69.399577037423,73.43849858930993,61.99195274966852,59.861528005890015,39.37754131302519,44.93375304910454
2021-04-07,68.21035703898859,69.28004413522542,73.30600283696788,61.790484499572386,59.739055332162884,39.25776893518829,44.807617361238364
2021-04-08,68.09060270644792,69.17890091028903,73.20935887643603,61.63436095533834,59.6431302033188,39.15116108664496,44.69889152216555
2021-04-09,67.9400544026825,69.05323811567106,73.09712718033451,61.44207644313831,59.5174718242057,39.020658375497085,44.56486997281092
2021-04-10,67.80148153217115,68.90612069758176,72.97554284289122,61.26815940673053,59.373761114572126,38.85776595454015,44.405057465834595
2021-04-11,67.73133970882589,68.8294970423269,72.90228048571385,61.17115617520276,59.295180381718296,38.782653621363295,44.32825603220783
2021-04-12,67.6663302140181,68.7773929567536,72.85239973189096,61.10113017374484,59.25482811349607,38.73824196404841,44.28189326200756
2021-04-13,67.59276683831455,68.70076930149875,72.77913737471357,61.00297897498005,59.16881406807498,38.652796717312846,44.19621547221262
2021-04-14,67.4576155201615,68.55058693719926,72.61390737767525,60.868092824630786,59.01696211134394,38.48940752166558,44.03670773283006
2021-04-15,67.31562109729184,68.3697551107978,72.41906068305457,60.68441806670838,58.795732570651865,38.27827827827828,43.828627658192474
2021-04-16,67.16165124116812,68.20424801544732,72.23824295044659,60.527146555237316,58.57237922636915,38.05055676023418,43.60961404612886
2021-04-17,66.9751766376405,67.99583167315413,71.99507427555999,60.28090758289758,58.313275188310584,37.796357151195856,43.35776172583793
2021-04-18,66.86910851453305,67.85790909369541,71.83452059919256,60.116748268004436,58.14266296652886,37.629391177778274,43.192463402173985
2021-04-19,66.76817271996305,67.71692156802649,71.68176079060996,59.99965560982889,57.98337769723056,37.46699553151166,43.035279515693816
2021-04-20,66.64841838742237,67.59125877340853,71.52588343491341,59.858455639676045,57.831171773234416,37.313194087387636,42.883543349952056
2021-04-21,66.48931620276119,67.41962178563766,71.32480164606488,59.67650283260916,57.65525004247607,37.12988422665842,42.70136852078381
2021-04-22,66.34218945135407,67.23572501302601,71.12371985721634,59.51808335390108,57.43472843631421,36.92218272863435,42.49736471271274
2021-04-23,66.16769028108052,67.05182824041438,70.91952052125387,59.310301284001355,57.20995922297106,36.70240960563541,42.2796844588718
2021-04-24,65.91449540656596,66.81889232843963,70.64985269589887,59.02101354027356,56.927493345415414,36.42153319572674,41.999564944259916
2021-04-25,65.81527038817512,66.69322953382168,70.50956307577198,58.89014527525384,56.78378263578184,36.28655951236597,41.86470528402244
2021-04-26,65.69380527945529,66.56756673920373,70.35212694651848,58.769034731748754,56.664495667440676,36.166340037307776,41.743522069554814
2021-04-27,65.53641387097326,66.3836699665921,70.15416270478387,58.577324203167244,56.49742311831002,35.98124178769339,41.56024245785921
2021-04-28,65.37902246249124,66.19364330156006,69.9141115770112,58.381595789256174,56.308404598742705,35.780097715581576,41.36092445154215
2021-04-29,65.18741553042616,65.96683728200571,69.66159026078282,58.143966571194056,56.081865549074024,35.55033942130717,41.131320165595476
2021-04-30,64.97527928421124,65.74922610108192,69.42153913301014,57.879934106680594,55.8489550886334,35.3275856501663,40.9046111717895
2021-05-01,64.77511847125041,65.52854997394796,69.17681168456659,57.589498395715786,55.602947839383816,35.092064769484125,40.665063843096505
2021-05-02,64.66220724342634,65.37223771722806,68.99443517840163,57.38860412923815,55.453219686243415,34.949887853113665,40.517670615565784
2021-05-03,64.57666843446873,65.26496459987126,68.86349819961654,57.25314399527037,55.33499461969757,34.83091031478128,40.39827791071148
2021-05-04,64.43638478777822,65.08413277346983,68.65150499586925,57.06889525372946,55.14385229653961,34.63374044019206,40.203721898046865
2021-05-05,64.26188561750466,64.88491126980722,68.40677754742569,56.8358579046154,54.92333069037775,34.416252480768605,39.9853940130692
2021-05-06,64.08396489487279,64.6856897661446,68.14802113696943,56.55403194792821,54.72687885824319,34.21818841173679,39.780894957658255
2021-05-07,63.87696097719535,64.46807858522084,67.8658831231587,56.285407614466685,54.48759698703064,33.98405850018753,39.54355719402001
2021-05-08,63.64600619300977,64.21062310356453,67.56192227955046,56.00128572330546,54.189910517075376,33.697916278561436,39.257456615380626
2021-05-09,63.51427642721503,64.05431084684463,67.37798699982854,55.834830473938275,54.030979215042194,33.54759225726967,39.10465376306072
2021-05-10,63.3928113184952,63.89799859012474,67.19093417299268,55.6385280764087,53.88054312737158,33.40283211250953,38.955203354272136
2021-05-11,63.221733700579954,63.70490697888252,66.96335323367575,55.36531187399912,53.69577221498556,33.220118381408696,38.765295047412316
2021-05-12,62.99077891639437,63.380022680601954,66.60015899490281,55.022069670131614,53.37083026561704,32.89840709195548,38.442774741318985
2021-05-13,62.691393085042684,62.98464461948693,66.2182594734463,54.62716894059844,53.005890015291385,32.53034672389511,38.07412024072069
2021-05-14,62.340683968316426,62.56474698869035,65.72880457655916,54.110009700323154,52.64271960129127,32.15672247930313,37.68919876980561
2021-05-15,61.94720544711135,62.12645968063261,65.24402600034293,53.491829343190545,52.19778274905137,31.73431496012141,37.25029533884633
2021-05-16,61.75217696268797,61.881263983817085,64.96188798653219,53.18474810728902,51.96451832134564,31.522987006857974,37.02846262654046
2021-05-17,61.59307477802679,61.68510742636467,64.71248421741774,52.914401822971975,51.81195843008439,31.379021701602355,36.871621603603266
2021-05-18,61.37067387473697,61.3602231280841,64.32123205461943,52.45808484625849,51.516041796454665,31.08468269758592,36.56521588402983
2021-05-19,61.018253981831556,60.83305237993073,63.75383847988403,51.73084760160945,51.00101942572351,30.595657692431885,36.058234991815084
2021-05-20,60.648726327134625,60.302816685567166,63.22073792340186,51.06904448947027,50.53696834116781,30.13460110234304,35.58294992935106
2021-05-21,60.31512497219988,59.89517883961136,62.79519274235032,50.54155354406185,50.16530271280512,29.782089782089784,35.214714484194175
2021-05-22,60.00034215523583,59.512060563337116,62.341589637273394,50.023246336549555,49.79646882256329,29.447015253466873,34.86080311594388
2021-05-23,59.82755376114143,59.272994758941984,62.03451124655122,49.68057811630055,49.58267259443847,29.252676994612486,34.65169445067737
2021-05-24,59.6667408003011,59.046188739387624,61.77263728898103,49.397604192376356,49.38268108965283,29.06708197030777,34.4562622311807
2021-05-25,59.44091834465297,58.70597971005609,61.4047667295372,48.94243518289988,49.059155009344735,28.75326939843069,34.13233237496624
