date,England,Scotland
2021-01-24,12.2,7.363359015460985
2021-01-25,11.9,8.609335657563433
2021-01-26,11.5,9.016571387220495
2021-01-27,11.0,6.195623517005009
2021-01-28,10.6,5.551916779040647
2021-01-29,10.1,5.84226318045435
2021-01-30,9.8,5.49056945955749
2021-01-31,9.7,8.070324083880534
2021-02-01,9.4,9.475787270478547
2021-02-02,9.0,7.359987432251984
2021-02-03,8.5,5.13877318367168
2021-02-04,8.2,4.908197195315889
2021-02-05,7.8,4.921842956751584
2021-02-06,7.5,5.930880713489409
2021-02-07,7.2,6.9416605127123105
2021-02-08,6.9,6.579026714104806
2021-02-09,6.6,7.190533980582524
2021-02-10,6.3,4.848733884637115
2021-02-11,6.0,3.9882260271133037
2021-02-12,5.8,5.202251876563803
2021-02-13,5.6,4.901388202524822
