date,England,London,Kent and Medway
2020-11-29,154.2613039634525,159.73016704215996,338.1518629802202
2020-11-30,152.21820200952038,163.1334294206342,339.8721904230448
2020-12-01,151.31390731860608,166.48090061257608,348.8501492652859
2020-12-02,150.44869805637572,172.6514058430556,351.75320182505254
2020-12-03,150.91949981097747,176.96964368066065,365.5158213676497
2020-12-04,152.0440941908375,185.08168220246648,372.5584118367131
2020-12-05,153.79760865042968,192.17832112938325,383.7405402150733
2020-12-06,157.32595689435067,200.74784738075448,394.86890836084524
2020-12-07,161.52231064668774,212.03998353490508,413.3624283712102
2020-12-08,167.13995271480368,225.9989384053027,433.3612348940468
2020-12-09,174.34588447580245,244.10875755370824,459.4887079319461
2020-12-10,185.05173871440664,272.4953132613754,482.0680056190197
2020-12-11,197.45603249036657,300.9711348674943,516.3132737777478
2020-12-12,207.85808635147305,327.5835308434322,542.9245889089416
2020-12-13,220.71008594690335,361.88395232352997,569.1595824120175
2020-12-14,242.2212846062163,413.28995159445077,625.6078266297013
2020-12-15,264.3169880853933,470.4759177901245,683.830158522798
2020-12-16,286.7342580460152,532.3595018918234,723.7740113358828
2020-12-17,306.33737714139505,589.6570504605618,759.040723913788
2020-12-18,327.5767544103153,648.7622334729489,780.9748988098023
2020-12-19,337.71231671221324,676.5016114168405,775.7063960161518
2020-12-20,356.93168796233283,714.3057194111708,795.5439218412236
2020-12-21,380.1644220941329,769.1149810605658,806.1346876611128
2020-12-22,401.11598847910795,819.3716818889199,803.9305181249938
2020-12-23,414.5933549334809,846.0956602379225,798.231933470637
2020-12-24,413.0334910069136,838.1175205637944,757.6429578664929
2020-12-25,378.9758697400628,766.2138393608828,676.7875680537345
2020-12-26,405.5397483619696,818.735662362451,704.8504094648116
2020-12-27,429.54175479468495,866.3143862372515,724.3653738943536
2020-12-28,424.9687596386665,837.7716152072937,676.895088518911
2020-12-29,481.1327440470626,910.8022783781589,744.9555429756612
2020-12-30,525.9157622668595,966.1471354182646,787.5874074181595
2020-12-31,557.8219083457,999.208992557344,816.3491318528842
2021-01-01,585.4339871004937,1026.0668697540243,844.4657334965494
2021-01-02,616.5086795146036,1045.7946333118684,866.6149493229168
2021-01-03,629.0462190701678,1045.3817785315289,857.5294700154992
2021-01-04,680.6425381537297,1118.356650515862,914.2465153961244
2021-01-05,654.9047833653693,1058.8386127231354,834.0362483744253
2021-01-06,634.244581085129,1016.4149944839253,779.7921736928607
2021-01-07,634.5483814626267,1012.7774091220151,766.2983553132049
2021-01-08,659.6501097296759,1054.9667043777893,787.1573255574538
2021-01-09,626.3528777117668,1000.313658050685,730.4402801768287
2021-01-10,596.7634315876458,937.3142502183388,684.367760848681
2021-01-11,566.5663847085293,874.0470446906372,625.4465459319367
2021-01-12,542.9268067963376,821.4136393160045,582.0620382332027
2021-01-13,525.0008079135769,774.5825173407377,555.5044833345971
2021-01-14,510.2673779101343,739.6126016222515,534.3229516948186
2021-01-15,500.4338393753394,713.5915922235567,519.2700865701029
2021-01-16,486.6349064395214,685.1715618039702,502.8732156306805
2021-01-17,474.85420291210943,661.9624282065065,492.28244981079126
2021-01-18,454.78028206212787,625.9324799439054,465.99369607512716
2021-01-19,439.25981365382285,594.5889913500229,453.09124025394226
2021-01-20,422.55256950184247,560.3555192937639,426.8024865182781
2021-01-21,405.2323947636824,525.4971859483425,403.84686720308673
2021-01-22,387.73633559644475,496.27376244268993,381.3213297486015
2021-01-23,373.91963655667956,473.7564395582275,368.47263416000493
2021-01-24,354.8495005797168,448.49419029637284,345.83957624034315
2021-01-25,330.5259276655564,411.0136711839303,315.51880506055875
2021-01-26,310.0735888014987,379.03416306357883,288.8537296967767
2021-01-27,294.9208787449014,356.1151436360834,267.9409992199396
2021-01-28,282.52191480012567,334.2673149900095,252.8881340952239
2021-01-29,269.6041806200906,309.80845881422084,233.1581287353287
2021-01-30,260.84016154291925,292.69172278609136,217.67518174990684
2021-01-31,257.62982655965374,282.515410362588,209.07354453578358
2021-02-01,244.06185297514983,262.8880709405021,191.81650987494882
2021-02-02,230.66265737814467,248.3377294928614,178.43021196046953
2021-02-03,214.4191085391871,226.19978667681912,166.33415962810872
2021-02-04,179.92444111523434,187.61460207103573,137.7874761237372
