,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
2020-09-06,,1.5037593984962405,8.253968253968251,2.04081632653061,24.61180924338819,13.548752834467113,
2020-09-07,17.142857142857142,1.5037593984962405,7.0634920634920615,3.945578231292515,21.065355696934642,13.548752834467113,
2020-09-08,10.0,3.0910609857978275,0.7142857142857123,5.187814256137236,20.447223828802777,9.977324263038541,
2020-09-09,10.0,5.769632414369256,2.5576036866359426,4.445699228307923,16.19036957194852,15.036848072562352,
2020-09-10,12.857142857142858,7.674394319131161,5.203106332138589,8.017127799736494,12.85771360771361,15.036848072562352,0.0
2020-09-11,5.714285714285714,7.674394319131161,9.012630141662399,11.720831503440198,12.530916222092696,16.14795918367346,0.0
2020-09-12,5.714285714285714,8.691643323996265,8.298344427376685,14.577974360583056,13.959487650664125,16.14795918367346,0.0
2020-09-13,5.714285714285714,8.691643323996265,8.298344427376685,15.676875459484155,15.660484328404989,14.107142857142849,0.0
2020-09-14,4.155844155844156,10.808045440398383,10.203106332138589,14.565764348373046,16.284859952780614,14.107142857142849,
2020-09-15,4.155844155844156,9.220743853096794,10.663935825226146,13.972878972878974,15.094383762304423,10.535714285714278,
2020-09-16,5.941558441558442,8.582988751055979,10.663935825226146,13.745606245606245,17.50996817788884,6.483516483516476,
2020-09-17,5.465367965367966,8.26552843359566,8.970814132104453,11.732619232619232,17.4662587002171,6.483516483516476,
2020-09-18,5.465367965367966,9.393347982467843,5.653901160019067,8.489745022003087,17.364055656837582,2.19780219780219,
2020-09-19,5.465367965367966,9.517842224609142,6.368186874304781,5.950062482320546,16.590246133028057,4.876373626373619,
2020-09-20,5.465367965367966,10.74233202052751,7.140387646505553,5.290721822979887,14.67726788846692,8.050976800976793,
2020-09-21,7.023809523809524,11.761818405867555,6.1880066941246,5.279849894299739,14.67726788846692,12.132609454038016,0.0
2020-09-22,9.88095238095238,12.654675548724697,5.986917460777302,5.382378944197209,13.971951515342328,16.528213849642412,0.0
2020-09-23,12.176870748299319,11.9531449364798,4.413141267402812,5.1715355707032336,11.407091088412937,16.711364032792595,0.0
2020-09-24,9.795918367346937,10.683303666638531,4.481168478287166,4.339486264077656,11.797731347798068,20.282792604221164,0.0
2020-09-25,9.795918367346937,9.555484117766351,5.4663901531640136,3.878656770990098,12.943577654934698,21.07644339787196,0.0
2020-09-26,11.094619666048235,6.909981472263705,5.704485391259252,4.045457954740434,12.733780621367172,19.696573268001828,0.0
2020-09-27,15.856524427952996,7.548845713612418,6.593414187164791,4.026065582406885,12.198509440934702,16.521970093398654,0.0
2020-09-28,15.596784168212736,7.160209959123004,6.679994273744879,4.525337999487521,11.41387740630267,13.630813630813618,0.0
2020-09-29,14.78045763760049,8.053067101980147,7.519155112905717,3.920733705246764,12.27945018968367,9.235209235209222,0.0
2020-09-30,13.21983338790061,8.684224737448128,9.895115979432621,4.7408207762197305,13.14865844270002,9.57534528963099,0.0
2020-10-01,15.81723598530321,9.854859658083047,11.631600046743756,4.405817956889073,12.671946018599943,11.718202432488132,0.0
2020-10-02,21.311741479808706,10.720660523883913,13.328370709031661,4.719789699432245,12.048470822069719,10.92455163883734,1.4285714285714286
2020-10-03,21.693712450014967,11.878961682185073,14.324041704702656,5.303618985938547,13.244592137416074,11.213151927437627,1.4285714285714286
2020-10-04,16.931807688110204,10.015607644917992,13.833872323949976,6.044891104542087,13.909399966403006,12.998866213151913,1.4285714285714286
2020-10-05,18.302659058961577,7.600580811286506,15.745221843995148,5.412190471841454,14.553500890354675,14.189342403628105,3.1092436974789917
2020-10-06,19.833271303859537,7.905458860066994,16.957245114841946,6.278739951626717,16.37791956560208,22.263876565118785,4.696545284780579
2020-10-07,20.37348739029411,6.58436615966395,16.832750872700647,5.417739813866695,17.442533712793647,25.25707384403035,6.839402427637722
2020-10-08,20.15703717384389,5.848150620816832,16.59686704548555,5.952276307307298,17.479741578396027,24.032584048111982,10.287678289706689
2020-10-09,16.343203948245954,6.3829099791056025,16.64157976625461,6.268556665604463,17.89990964562292,27.604012619540555,10.539779130042822
2020-10-10,16.567293584100295,5.51032310651873,17.309221983192597,5.835386512808142,17.169433317060466,28.66221367774161,11.333429923693616
2020-10-11,17.666194683001397,6.968049054040596,18.052842060934697,6.289592585481115,18.555907539355584,29.62375213928007,11.843634005326269
2020-10-12,16.80353077685923,8.150974655570849,18.23178320260876,7.315726944948807,19.333764287361586,29.17330168882962,11.084620722593822
2020-10-13,16.528805502133956,7.095579008446676,18.484961396963424,7.722119269847075,18.474975726680466,24.37257705114846,11.445371083344183
2020-10-14,19.287686832443857,8.922418835286503,18.021095850744935,8.022895317971242,18.783769787322363,21.747094425665836,10.85530897154294
2020-10-15,20.203437748194773,10.211355462568998,17.019844286289363,8.748497055133672,20.164362243429697,20.898755089931544,8.328692095649089
2020-10-16,21.37990833643007,10.542396970081095,15.68314190143762,9.852938831844357,21.039712383485718,22.857280435553665,9.245422424144124
2020-10-17,24.09699517116396,11.601220499492857,16.060645015359245,10.646589625495151,21.081483477888387,23.783206361479593,11.392948101081567
2020-10-18,25.140951215120005,12.006848589238073,16.225630753880154,10.255433162910117,21.301263697668606,24.25023932851256,12.265232498711585
2020-10-19,24.17821829586535,12.790547648799201,15.307263406941379,10.571706395850017,21.02956342596833,24.560633756554047,13.96748021807583
2020-10-20,23.837180023792595,13.416480529534912,15.784179230391857,11.056251090921027,21.455095340861952,23.667776613696905,13.14724781889606
2020-10-21,20.34943571972176,12.963046058401327,16.133051410842985,12.443091541386929,21.45883813598135,23.927187810608103,13.181754375141749
2020-10-22,20.842819886575317,14.3235902760884,17.11169303446123,12.903365120534596,21.96180612159457,23.62524885320696,14.781103792327979
2020-10-23,19.63402867778411,14.165838423421292,16.753959138707998,13.293818822676611,21.918804129923377,20.25979710065843,14.348203359427545
2020-10-24,16.13999948716049,14.540877327871963,16.155476971274553,13.929979536962325,22.813899009980663,21.82229710065843,14.512616950951111
2020-10-25,17.041638831422784,14.97344165795182,16.08798340226556,15.062868336046316,21.443399590700754,22.124494902856235,15.362271328831296
2020-10-26,16.859566002291132,14.508567917216011,16.512839691644782,14.874622196803498,21.79390206886281,24.0364224645786,15.595507480434794
2020-10-27,16.189615263374876,14.449574530685132,16.139970275742655,14.710771710372368,22.11295035888475,24.79135858536838,16.34122423132842
2020-10-28,16.58834618431468,14.278670377480093,16.4125266667201,14.626206555989812,21.968081566474975,22.708967084464216,17.738997270892504
2020-10-29,15.529351157732618,13.562594473434263,16.338058064949042,14.705185779294638,21.549896274340103,21.94087803066088,18.29491194445424
2020-10-30,17.99355362193508,14.468083437474847,17.42797436854913,14.773280641806702,21.14109103709563,22.530248499549423,19.457219956077317
2020-10-31,18.45303566036449,14.422613860755272,17.194123602809306,15.323560605487089,20.57620123176897,20.636378838282855,18.156141172161004
2020-11-01,18.00594177064765,14.919391519187064,17.176660332622145,16.169645213947934,21.317215980468315,19.879635581539596,17.854500245520075
2020-11-02,19.010117025655312,15.30025410935198,17.480579307861408,17.290109719619643,21.113301555031494,19.611523440722436,17.270084661104487
2020-11-03,21.029686497279577,15.884706849059345,17.81696548360278,18.50777818294568,20.65484699858361,19.1542063675517,18.18400480733171
2020-11-04,20.84961446846805,16.023487315708664,17.624985961418478,18.795898081084598,20.25173703665012,21.35967864282168,16.510883533235717
2020-11-05,21.020307745778975,15.85143018876432,17.254912787110058,19.12877692153744,20.267935808035613,22.149594609208236,16.057867161851995
2020-11-06,19.2454159708872,15.255921801048137,16.84599922168389,18.444256780133852,20.485255302463543,22.280337360432913,13.959935633960239
2020-11-07,20.680092405563638,15.199065332045441,17.345233398113084,18.202733253981453,20.489564198610527,22.39003214485219,14.060186260526653
2020-11-08,22.038733764205,15.186810341741303,18.63796189603026,18.238472708325556,20.462234419273187,22.59325484807489,16.192593897521444
2020-11-09,22.60984208797538,16.02540603210337,19.289246852221414,17.61246622652678,21.03863826601044,21.2360155960988,17.491295196222744
2020-11-10,20.991969928939515,16.371745175663527,18.98641414746421,16.935632376616006,21.58508430117828,21.047614547606006,16.634340680731643
2020-11-11,21.774282854109583,16.671189193040217,19.4984745321822,16.531157333586744,21.679850889984348,21.147748058954473,19.034423323462526
2020-11-12,21.797131560521283,15.883752667348658,19.89245091154825,16.018390361066032,21.785006349542126,20.340274231434638,17.950294205604944
2020-11-13,21.375845529479154,16.08783430000172,19.5311525460482,16.40390641859128,21.64070620524198,19.542336214395498,18.964626891491886
2020-11-14,19.800522118712703,15.932900836495978,18.217124366911545,15.718729526517835,21.48094103296639,18.006641476730316,18.89862029083182
2020-11-15,18.618403266690937,15.448378168368325,17.498511355317458,14.900834374763793,20.8266301358845,18.03907021883648,16.78931267693705
2020-11-16,17.613980943807654,15.02652200123293,16.518933908262483,14.964769010280198,20.559664143711455,19.818320380439584,14.743542912720683
2020-11-17,17.05422891997305,15.429014680029892,16.467334985296134,14.606099901611092,20.514471241375695,19.76201243422338,15.814241462410829
2020-11-18,15.80133941465636,15.016489364560192,15.423989956760847,14.39441108518073,20.212955286156394,19.06569617186938,14.022973774233195
