,England,Northern Ireland,Scotland,Wales
2021-01-30,5789.138269518584,4571.100862581889,4305.142627035988,6306.934075173834
2021-01-31,6024.955381254791,4833.101973201051,4257.1339666501935,6604.893042653579
2021-02-01,6141.5314793268535,5446.650787674314,4580.251077972235,6821.837619340474
2021-02-02,6246.229667902762,6093.694705261574,4950.749285492023,6828.815368883034
2021-02-03,6571.3087618995805,6794.300612062658,5358.7967502634465,7024.917317066175
2021-02-04,6689.5117274902395,6116.477410532806,5990.387808519707,7326.954190122742
2021-02-05,6602.434976015138,6654.435924735297,6426.021949057477,8179.281765740365
2021-02-06,6371.414712344683,6351.848405387914,7211.366233385891,8517.340138058853
2021-02-07,6213.321767362782,6376.139899087704,7681.568701282062,8591.73925980486
2021-02-08,6141.188847322156,6554.478691343304,8400.365033169383,8678.915819024905
2021-02-09,6172.325213497112,6759.673917627244,8901.34429478782,8855.806300935023
2021-02-10,6075.553245296519,6987.199212653846,9375.9135634925,8885.575011645818
2021-02-11,6076.423784389933,7595.769025312868,9809.612714450452,8848.012970277097
2021-02-12,6170.53591302814,7565.6686961631285,10216.09126875175,8799.2593436031
2021-02-13,6101.410540584295,7314.229104543874,10151.033781257272,8336.870161253526
2021-02-14,5995.46618671723,7189.904938030663,10254.86950587165,8311.813696987057
2021-02-15,5914.061898430996,7054.566615988978,9537.982015056312,7744.712961437105
2021-02-16,5919.061787684717,6507.027295265142,8944.044808083027,7305.4772207514825
2021-02-17,6132.574824922595,5709.783489614895,8294.12364583415,6981.51027770401
2021-02-18,6156.541299147417,4870.218168543587,7530.142692407258,6549.297596622914
2021-02-19,5869.844603721175,4297.180323377115,6763.625333720332,5991.66666402358
2021-02-20,5557.308379111105,4280.357332398689,5997.578648174443,5511.1534568881325
2021-02-21,5375.20581365194,4721.677947752015,5573.2668115294,5201.096702863818
2021-02-22,5219.914837064002,4564.763951181943,5316.070088460402,5265.210440543843
2021-02-23,5165.806898485272,4670.152822916746,5169.952226676185,5321.485537503977
2021-02-24,5125.383935975611,4953.352410957154,5059.893157196985,5307.892518914572
2021-02-25,5245.830506693319,5323.986288432519,5049.329160031483,5341.965685512013
2021-02-26,5604.467233031618,5630.421218272726,5130.7294649230835,5413.782133726033
2021-02-27,5803.465363344604,5797.972173264133,5302.5513099095,5535.394340039238
