,First wave,Second wave
109,,2.9449228104142255
110,,2.8939725887807612
111,,2.8455698782289702
112,,2.8735925001273754
113,,2.8149997452488917
114,,2.71819432414531
115,,2.547511081673205
116,,2.4838233046313754
117,,2.458348193814643
118,,2.394660416772813
119,,2.3997554389361593
120,,2.285117440260865
121,,2.3360676618943295
122,,2.32078259540429
123,,2.346257706221022
124,,2.25709481836246
125,,2.3513527283843683
126,,2.4430631273246037
127,,2.343710195139349
128,,2.2774749070158458
129,,2.218882152137362
130,,2.2545473072807867
131,,2.25709481836246
132,,2.308045039995924
133,,2.3640902837927342
134,,2.366637794874408
135,,2.445610638406277
136,,2.3870178835277933
137,,2.4558006827329697
138,,2.3870178835277933
139,,2.453253171651297
140,,2.6341264584500945
141,,2.6901717022469045
142,,2.708004279818617
143,,2.7869771233504865
144,,2.738574412798696
145,,2.8124522341672185
146,,2.901615122025781
147,,3.0060630763743825
148,,3.135986141539716
149,,3.1996739185815457
150,,3.365262138890304
151,,3.4722576043205793
152,,3.4340449380954805
153,,3.523207825954043
154,,3.864574310898252
155,,3.9231670657767364
156,,3.8059815560197685
157,,3.8594792887349056
158,,3.9129770214500432
159,,3.928262087940083
160,,4.083660263922148
161,,4.43521679319305
162,,4.44285932643807
163,,4.64156519080858
164,,4.9217914097926325
165,,5.120497274163142
166,,5.232587761756764
167,,5.538289091557548
168,,6.012126152748765
169,,6.322922504712896
170,,6.819687165639171
171,,7.041320629744739
172,,7.476945024710857
173,,7.724053599633159
174,,8.095990217557446
175,,8.799103276099252
176,,9.34681815865899
177,,9.813012686605187
178,,10.274112192388037
179,,10.56198094461711
180,,10.765781831150965
181,,11.061293116625057
182,,11.833188974372039
183,,12.0650124828043
184,,12.543944566158864
185,,12.982116472206654
186,,13.5196413104397
187,,13.690324552911806
188,,14.375605033881897
189,,15.285066490039231
190,,15.519437509553166
191,,15.54746013145157
192,,15.236663779487442
193,,15.320731645182656
194,,15.16533346920059
195,,15.226473735160747
196,,15.820043817190605
197,,15.290161512202577
198,,14.742446629642838
199,,14.648188719620931
200,,14.64054618637591
201,,14.515718143373924
202,,14.908034849951598
203,,15.318184134100985
204,,15.32327915626433
205,,15.279971467875885
206,,15.162785958118919
207,,15.234116268405767
208,,14.974270138075102
209,,15.389514444387833
210,,16.24547816783003
211,,16.309165944871857
212,,16.456921587608907
213,,16.561369541957507
214,,16.584297141692566
215,,16.61231976359097
216,,17.167677179395728
217,,17.85805268252917
218,,17.70520201762878
219,,17.768889794670606
220,,17.886075304427575
221,,18.015998369592907
222,,17.743414683853874
223,,18.077138635553062
224,,18.65542365109288
225,,19.524124929943447
226,,19.52667244102512
227,,19.378916798288074
228,,19.49864981912671
229,,19.200591022570947
230,,19.692260661333876
231,,20.41830131961074
232,,20.257808121465327
233,,20.660314872369696
234,,20.667957405614715
235,,21.095939267335815
236,,20.652672339124674
237,,20.915065980537015
238,,21.465328374178426
239,,21.24624242115453
