date,0-19,20-39,40-59,60+
2021-06-08,10.36393736133488,17.09850794206477,6.789206040427517,1.7218541065058748
2021-06-09,10.874820533463778,18.117617930386814,6.965006654636011,1.8046049508111477
2021-06-10,11.291055875808798,18.955638431180926,7.200054989655105,1.8714421712115603
2021-06-11,11.862169485072894,19.766688157236842,7.310780238383106,1.9870811715868781
2021-06-12,12.34186189511392,20.428435380277715,7.504063786601287,2.0517965754666427
2021-06-13,12.881784742290147,21.025645392337886,7.60216247187785,2.117572887606732
2021-06-14,13.735766297385611,21.899305845464628,7.905199994712384,2.207750089734273
2021-06-15,14.83819840566376,22.91552610792186,8.179099294197442,2.2565518697091775
2021-06-16,15.913741925935126,23.96449659684691,8.46562515713394,2.3127800075063503
2021-06-17,17.102217515834987,24.996128730583113,8.834709319560615,2.3796172279067633
