,1,2,3,4,5
2021-02-01,87.4693341061887,84.65150631681244,81.9611924072723,80.40453126085544,78.87231389985814
2021-02-02,87.10073108307243,84.18095238095238,81.4008210673876,79.77681681365912,78.17280705525428
2021-02-03,86.62640471224064,83.60349854227405,80.71618103534595,79.01672465624044,77.32713460133023
2021-02-04,86.09452238763322,82.9757045675413,79.98201233031513,78.2141965236299,76.5213813264222
2021-02-05,85.60264349189114,82.40660835762877,79.26125391580483,77.44621803453838,75.75636608548436
2021-02-06,85.08423170965675,81.7354713313897,78.37832038793289,76.5503683104661,74.77005529318077
2021-02-07,84.81584135783066,81.37842565597668,77.92988027292623,76.0989697070979,74.25704266439024
2021-02-08,84.53418456275844,81.04295432458697,77.5599350584331,75.68643945268857,73.82693909970992
2021-02-09,84.19864559819413,80.6287657920311,77.08789283211031,75.1747667429638,73.29181738715667
2021-02-10,83.8416762253091,80.2332361516035,76.65000214564648,74.7190494341557,72.85536769658148
2021-02-11,83.43551896284987,79.79203109815354,76.17760231157648,74.2338522664754,72.39517121233523
2021-02-12,83.03140269165928,79.33177842565598,75.67158734926834,73.70866013102577,71.91081850694081
2021-02-13,82.65177831569237,78.88202137998056,75.15716860490066,73.21163346583623,71.42298566799116
2021-02-14,82.48890721245495,78.6862973760933,74.92883605830437,72.98893848097985,71.19820998307017
2021-02-15,82.26990884932994,78.46413994169096,74.70926490151483,72.77525644660672,70.99390567200355
2021-02-16,81.82415635625911,78.02099125364431,74.24061994879057,72.32404561304024,70.53862231748235
2021-02-17,81.10287004192196,77.30106899902819,73.47837903560342,71.60939374764115,69.81311682808345
2021-02-18,80.45934549491997,76.62001943634597,72.77085210774007,70.8667641817837,69.1692921203635
2021-02-19,79.91093114103657,76.05966958211856,72.19099114563218,70.31434542508266,68.63683168641131
2021-02-20,79.40966368545875,75.55315840621964,71.62346765080318,69.73282234911288,67.96987432623591
2021-02-21,79.19842108915458,75.34965986394558,71.39370467321804,69.53247197066284,67.75820032058172
2021-02-22,78.92431596177632,75.11175898931,71.14087599593758,69.29231439424524,67.51848053274703
2021-02-23,78.39569922319872,74.56656948493684,70.56441230742823,68.67361289753214,66.92522011844737
2021-02-24,77.65441119442892,73.79689018464529,69.72045802400262,67.81531713380664,66.0504783136501
2021-02-25,76.87618122369672,72.97842565597668,68.76671816218226,66.80248682325416,65.03427931551914
2021-02-26,76.0330477306218,72.04645286686103,67.73573502696362,65.71886729744801,63.93660424944779
2021-02-27,75.29788267565792,71.30767735665695,66.95561372641578,64.90957945197505,63.005770880289546
2021-02-28,74.97152817180248,70.92750242954324,66.55974195024962,64.52577797723103,62.5680929072831
2021-03-01,74.68640169157356,70.59922254616131,66.19945214493127,64.1502383737633,62.12775365567559
2021-03-02,74.34127006804665,70.20310981535471,65.73921097426654,63.68025056002343,61.625181427550785
2021-03-03,73.80734675217059,69.6038872691934,65.08925889370468,62.97742819213357,60.92813114780946
2021-03-04,73.10340886361688,68.8287657920311,64.21919924473244,62.034072708222624,59.900672894058594
2021-03-05,72.33579204748162,67.99514091350827,63.28423378964082,61.040394917447,58.86952979301394
2021-03-06,71.48408639107842,67.13935860058308,62.3065342087571,59.994704891591105,57.719038582398305
2021-03-07,71.14569003873801,66.79805636540331,61.92031784176572,59.606396941605475,57.27521919723554
2021-03-08,70.76096318459949,66.39086491739553,61.46848045316054,59.10974581601939,56.770190404248225
2021-03-09,70.33725339722997,65.95607385811468,60.99858387332103,58.62060548250267,56.26516161126089
2021-03-10,69.91558460112907,65.47230320699708,60.45841737115393,58.056732767895866,55.64979211319851
2021-03-11,69.4700362071851,65.00505344995142,59.94256819579739,57.4663845112446,55.054279847774865
2021-03-12,68.69507182248275,64.23498542274052,59.11273941838676,56.59137723516478,54.13859529526886
2021-03-13,67.63089897501419,63.08163265306123,57.77618046317355,55.26760013294102,52.8034522924868
2021-03-14,67.1118748953992,62.51137026239067,57.19399505070878,54.62861949764067,52.12810166903111
2021-03-15,66.40814110597235,61.74849368318756,56.359159764837145,53.77877337499319,51.219991524851224
2021-03-16,65.64766775927733,60.90884353741497,55.46102790770859,52.76688191344939,50.115765619146465
2021-03-17,64.8431090011797,60.04275996112731,54.49369895149408,51.70786023167038,49.0246413927085
2021-03-18,63.923642434657665,59.03265306122449,53.37081062524138,50.46557522339912,47.66677516494809
2021-03-19,62.96458063752403,57.91214771622935,52.10470039622939,49.10668516825113,46.2223150257837
2021-03-20,61.626302662677205,56.39475218658892,50.3542104736157,47.272361975112986,44.2752826584945
2021-03-21,61.08890966164447,55.730417881438285,49.62147219957374,46.50156693899547,43.43779875411219
2021-03-22,60.577233150596584,55.115257531584064,48.99834070005292,45.83066543740036,42.71597811200708
2021-03-23,60.052086097175675,54.54324586977648,48.390407529788725,45.1466200496839,41.975528519694485
2021-03-24,59.52122426820258,53.95102040816327,47.777646654937136,44.4796617139252,41.29976846876171
2021-03-25,58.912804771021186,53.33955296404276,47.1686406614313,43.79448970739832,40.57815254039514
2021-03-26,58.23601206634038,52.648007774538385,46.46397459554564,43.012052943573295,39.7873433684008
2021-03-27,57.29838067752746,51.70087463556851,45.5034401865282,42.00128810083989,38.723650782927685
2021-03-28,56.76772294768123,51.184256559766766,45.03032513696377,41.50576359406421,38.16273513931794
2021-03-29,56.38034280489348,50.78134110787172,44.65233374815833,41.103560678750284,37.73058443725217
2021-03-30,55.99520775250124,50.38814382896016,44.280600494929125,40.71619157777331,37.29413474667699
2021-03-31,55.580070128459994,49.97395529640427,43.89384771631693,40.31830736789925,36.910296486907534
2021-04-01,55.28371819625356,49.706705539358595,43.653892917936176,40.05787065289438,36.64396391306217
2021-04-02,55.1137036235759,49.541107871720115,43.50941938806162,39.894510925385916,36.46217811323535
2021-04-03,54.945321843913156,49.36501457725948,43.35618446838032,39.74147853697281,36.27506975620641
2021-04-04,54.849191155160234,49.28571428571429,43.28466291893748,39.668248314296605,36.19564082565145
2021-04-05,54.80612623939195,49.243343051506315,43.249974967457696,39.632947591570634,36.16288662748446
2021-04-06,54.69162662922128,49.13974732750243,43.16307628488464,39.533054057048226,36.063805178029305
2021-04-07,54.53712359018528,49.008551992225456,43.03862878885408,39.41494685175761,35.951622049307346
2021-04-08,54.41241902367142,48.886686103012636,42.9411806777382,39.309795762786656,35.848241611342786
2021-04-09,54.248119226545946,48.74285714285714,42.82352772890472,39.18230006740936,35.71968138353732
2021-04-10,54.06218492197291,48.590281827016526,42.67672974867327,39.025324513159845,35.55447739653256
2021-04-11,53.975238693928866,48.517006802721085,42.60413537598878,38.955474146914845,35.46685991643585
2021-04-12,53.902987603019035,48.464139941690966,42.56694417027851,38.91716910736114,35.431035012190705
2021-04-13,53.82318484441523,48.385811467444114,42.49309817047876,38.81840219164913,35.33666197872205
2021-04-14,53.70950163075202,48.24139941690962,42.3355719578309,38.63607771416554,35.14443577822951
2021-04-15,53.557039582984665,48.06783284742468,42.13781487362142,38.400426612989534,34.869914654842404
2021-04-16,53.39171929022488,47.87677356656948,41.926289891144194,38.17022083606382,34.58024471480306
2021-04-17,53.181088991301294,47.65442176870748,41.683116623038515,37.895325846325434,34.27849666418963
2021-04-18,53.05209834312329,47.50495626822158,41.52308715616015,37.72032439110947,34.073987639384455
2021-04-19,52.95066107707191,47.36404275996112,41.36198486604014,37.54400854728137,33.872139893180375
2021-04-20,52.8420803415803,47.22274052478134,41.213935258693446,37.37970997076424,33.68400796745871
2021-04-21,52.6898223929398,47.05578231292517,41.035310188959926,37.18649484478009,33.474995240405576
2021-04-22,52.52980867747848,46.87424684159378,40.8361226737616,36.96060777329425,33.231181177800025
2021-04-23,52.33060792965928,46.67269193391642,40.62656453389406,36.73791278843789,32.98429640911631
2021-04-24,52.07364712893758,46.40233236151603,40.36568968230127,36.461327870483906,32.660848702217265
2021-04-25,51.957514725752,46.28182701652089,40.224255818278046,36.32219044739911,32.50874639447929
2021-04-26,51.85158727890962,46.16754130223518,40.09623224477535,36.19319259360794,32.38857942995412
2021-04-27,51.713412170022735,46.00583090379009,39.91224305883363,35.99378106416657,32.163803745033135
2021-04-28,51.55748043709869,45.831681243926134,39.710015877783974,35.7776580223709,31.92879237318496
2021-04-29,51.35236081460043,45.61865889212828,39.496881660444295,35.540880302384494,31.662459799339587
2021-04-30,51.157854346699104,45.39902818270165,39.26425782088143,35.31236445367438,31.41987401916529
2021-05-01,50.96518477093955,45.179980563654034,39.02626986511035,35.05699752331631,31.143305758392742
2021-05-02,50.854971242433024,45.04567541302236,38.882511550730236,34.905091753713606,30.960291676134673
2021-05-03,50.76190204058307,44.93955296404276,38.764322190275934,34.779661526155394,30.814126066814467
2021-05-04,50.61760395789027,44.77006802721088,38.57693573073567,34.579686687308836,30.55454904634105
2021-05-05,50.450446772988705,44.57998056365403,38.35074883062267,34.34534997474496,30.294153170913447
2021-05-06,50.28206499332596,44.39183673469388,38.15531619677009,34.12960247255275,30.05525223803295
2021-05-07,50.08980361582013,44.161516034985425,37.926447238552974,33.882497413470986,29.78503010315525
2021-05-08,49.84733385310578,43.89096209912536,37.63517572844698,33.58807436435228,29.472636938137555
2021-05-09,49.71426122239049,43.74363459669583,37.490881002446045,33.43091104030104,29.3000632565452
2021-05-10,49.583637781197574,43.60116618075802,37.34390421834098,33.282009587526076,29.13281213215501
2021-05-11,49.40158136003494,43.411661807580174,37.165279148607475,33.08447575610205,28.9473414850344
2021-05-12,49.115230285044845,43.11545189504373,36.837174040538414,32.75794407088685,28.60710725157476
2021-05-13,48.780099518734254,42.7597667638484,36.465083179561994,32.39742605155783,28.22593027040638
2021-05-14,48.396801358483785,42.37900874635569,36.101217296771516,32.00611378474446,27.852122983825566
2021-05-15,47.958804632233786,41.94285714285715,35.700517816017964,31.580439644213783,27.393564209487664
2021-05-16,47.74960302719825,41.72031098153547,35.48309230571172,31.373141783099584,27.158143410162396
2021-05-17,47.58081304928178,41.56773566569485,35.33861877583716,31.212410832815408,27.009725949718216
2021-05-18,47.30201364198564,41.27424684159378,35.04287716889098,30.891324471850496,26.69569507479217
2021-05-19,46.84115781352688,40.778231292517006,34.54401436152713,30.37833737351356,26.17756460253804
2021-05-20,46.38540446323971,40.31137026239067,34.08126993663191,29.90515747314423,25.697920313130126
2021-05-21,46.0419056327277,39.95568513119534,33.71150352601239,29.544451684013467,25.321042320471165
2021-05-22,45.695549414439604,39.58114674441205,33.3424523308873,29.207217120099443,25.014995281348334
2021-05-23,45.483490421627984,39.351409135082605,33.130390936789254,29.017757390149967,24.833618908998602
2021-05-24,45.30980206466677,39.15568513119534,32.9353159106839,28.81872140031207,24.63545601008829
2021-05-25,45.03324774776614,38.84723032069971,32.616329800168785,28.480360217587645,24.296245345321367
2021-05-26,44.639744631172476,38.38600583090379,32.18898854224777,28.041354421133875,23.842599700708504
2021-05-27,44.211544663011935,37.924781341107874,31.730356606445525,27.59558891181767,23.417204552014695
2021-05-28,43.86233105694773,37.562876579203106,31.3731064669785,27.260232045920986,23.096622837455243
2021-05-29,43.53985443650272,37.2332361516035,31.077543663905942,26.97951619232886,22.8392976681058
2021-05-30,43.32452985766126,36.98950437317784,30.868164327911998,26.77710034605974,22.662015570526947
2021-05-31,43.19329411908775,36.81399416909621,30.702949548699024,26.627823353681322,22.538982613662185
2021-06-01,43.06165018226052,36.64450923226433,30.53773476948605,26.4674679430006,22.381148321244993
2021-06-02,42.819588617799894,36.36501457725948,30.266310489350445,26.197642737909035,22.115839316092348
2021-06-03,42.5297678576531,36.05170068027211,29.966814001058523,25.906975084825007,21.85605758188038
2021-06-04,42.23974299837945,35.74771622934888,29.669463159249887,25.628700238655426,21.59320514159026
2021-06-05,41.84991366606934,35.36793002915452,29.304345649344143,25.285644810887646,21.302511632858184
2021-06-06,41.64561044007854,35.13177842565598,29.107661388376314,25.095809541334702,21.127890813880413
2021-06-07,41.44294000710265,34.93683187560738,28.924387417929026,24.911607365833788,20.978245071004963
2021-06-08,41.2378203846044,34.71933916423713,28.717690140039196,24.697174252253703,20.79031785902184
2021-06-09,40.91942574669666,34.39397473275024,28.401028479880992,24.393174943246578,20.48406610616044
2021-06-10,40.608990974736614,34.04742468415938,28.064698393626003,24.0600713149707,20.168806948803137
2021-06-11,40.29141273333633,33.70048590864917,27.716567251712945,23.715889268392516,19.86194105472613
2021-06-12,39.840149563840164,33.221574344023324,27.23790928206668,23.281202177378617,19.458245562317927
2021-06-13,39.571963311140955,32.93411078717202,26.979180076957192,23.04311006878008,19.228147320194807
2021-06-14,39.35459774103086,32.7041788143829,26.76264858601897,22.83468558885548,19.035511692225185
2021-06-15,39.07110405381686,32.40991253644316,26.477992819236434,22.54458124517666,18.767131980994378
2021-06-16,38.73229950322272,32.04528668610301,26.129146461828938,22.188194161485782,18.446140838957845
2021-06-17,38.30532412982337,31.604664723032073,25.703593242644004,21.781297001128493,18.066601567697802
2021-06-18,37.92672024949078,31.176287657920312,25.303787781258492,21.386792647685652,17.68378687662107
2021-06-19,37.43157576771886,30.638872691933912,24.778640804474378,20.878687564193797,17.229731804531127
2021-06-20,37.142979602333256,30.31914480077745,24.487726902115597,20.58820768091151,16.94374671178558
2021-06-21,36.91336808461133,30.069970845481052,24.230964539615783,20.334342908967315,16.701160931611284
2021-06-22,36.61660795415117,29.742274052478137,23.90572029352444,20.029404750951514,16.388563052855048
2021-06-23,36.28637556688532,29.377259475218665,23.536490294525734,19.67808745190746,16.034817712651517
2021-06-24,35.91511925511983,28.992419825072886,23.158141297973074,19.326019073656468,15.696425902838769
2021-06-25,35.589172949518115,28.647813411078715,22.823241642706947,18.99892407903606,15.35660109685621
2021-06-26,35.145869645969654,28.21768707482994,22.402694931983007,18.604983034998412,14.984840947660842
2021-06-27,34.88707195310619,27.958794946550043,22.1589852522565,18.376654956090036,14.758018125354411
2021-06-28,34.698484359883906,27.770262390670553,21.981433005764643,18.207474364727815,14.58339730637664
2021-06-29,34.47866960025145,27.554324586977657,21.763649887711168,18.004307439251775,14.388714541021557
2021-06-30,34.24028182007437,27.31856171039844,21.535853752735704,17.788184397456092,14.172127405642314
2021-07-01,33.98699480363622,27.068999028182702,21.300726658942338,17.563987254185847,13.948170575675505
2021-07-02,33.785344866294665,26.8728862973761,21.111015749045194,17.39199011579764,13.774573325390435
2021-07-03,33.53879312104303,26.6159378036929,20.868915304181144,17.17699369281236,13.558805044965368
2021-07-04,33.40857787810384,26.4849368318756,20.747507474001907,17.059262027125214,13.445188920073619
2021-07-05,33.29183317753767,26.36831875607386,20.639152326596005,16.957115254982,13.348154608003895
2021-07-06,33.16386302499397,26.227599611273078,20.500758128424096,16.823423156147484,13.217137815335917
2021-07-07,33.010176382465445,26.077745383867835,20.354138952066265,16.689543287511242,13.085916308929413
2021-07-08,32.84138640454897,25.910592808551996,20.200904032384955,16.55172025303858,12.9542853750458
2021-07-09,32.68137268908764,25.76151603498542,20.064476676822736,16.423097938850887,12.832480700612308
2021-07-10,32.5021736557011,25.591059280855205,19.90784448354289,16.28283389695568,12.713132591041315
2021-07-11,32.41808481543316,25.51389698736638,19.84097183481383,16.221996481193912,12.657245740418887
2021-07-12,32.337057462068174,25.436345966958214,19.77588722482085,16.16378784265642,12.606476733260038
2021-07-13,32.24684564799432,25.347521865889206,19.697928735928144,16.088679921962864,12.540763623187516
2021-07-14,32.13479522734602,25.244509232264335,19.60048062481225,15.998925956734084,12.459901696462751
2021-07-15,32.0137644451157,25.136248785228375,19.505356964053263,15.910674149919174,12.384976468155756
2021-07-16,31.897632041930123,25.031098153547134,19.412378949777562,15.83199860299267,12.313121945926909
2021-07-17,31.749660174953775,24.901846452866863,19.297408059048195,15.726284204616505,12.21158393160924
2021-07-18,31.6827156613424,24.84528668610301,19.24430330858688,15.675961897751833,12.161224351927473
2021-07-19,31.621690022410093,24.782701652089415,19.187443676779807,15.627141749301032,12.114754333278071
2021-07-20,31.555561905306178,24.715646258503398,19.129868829478326,15.573627355806877,12.066237177243195
2021-07-21,31.46902387551586,24.637900874635562,19.059598907150715,15.512789940045096,12.010759754097862
2021-07-22,31.378199764061407,24.566569484936835,18.99397788553692,15.454581301507602,11.961219029370284
2021-07-23,31.29309042815916,24.49232264334306,18.933363372384107,15.402569066427318,11.91556786567503
2021-07-24,31.194306450756997,24.410301263362484,18.8607689996996,15.341168341260342,11.863570576084939
2021-07-25,31.135934100473918,24.360544217687078,18.822683774621296,15.306994237344782,11.831430519133562
2021-07-26,31.087358508280303,24.312925170068027,18.779055629461155,15.270942435411882,11.797038611058227
2021-07-27,31.027761563236027,24.26083576287658,18.735427484301013,15.2316985468495,11.762237275505797
2021-07-28,30.962449842639572,24.200583090379013,18.681965126092493,15.187384873640312,11.722113382751232
