date,Daily deaths,Daily deaths (seven-day average),Baseline,recent values,recent average values
2020-10-26,222.0,213.0,0,,
2020-10-27,218.0,226.0,0,,
2020-10-28,238.0,241.0,0,,
2020-10-29,249.0,253.0,0,,
2020-10-30,280.0,261.0,0,,
2020-10-31,276.0,272.0,0,,
2020-11-01,286.0,277.0,0,,
2020-11-02,282.0,285.0,0,,
2020-11-03,292.0,293.0,0,,
2020-11-04,277.0,300.0,0,,
2020-11-05,302.0,308.0,0,,
2020-11-06,333.0,325.0,0,,
2020-11-07,331.0,329.0,0,,
2020-11-08,340.0,334.0,0,,
2020-11-09,402.0,341.0,0,,
2020-11-10,319.0,344.0,0,,
2020-11-11,311.0,348.0,0,,
2020-11-12,351.0,354.0,0,,
2020-11-13,356.0,348.0,0,,
2020-11-14,358.0,354.0,0,,
2020-11-15,381.0,372.0,0,,
2020-11-16,359.0,379.0,0,,
2020-11-17,364.0,383.0,0,,
2020-11-18,436.0,389.0,0,,
2020-11-19,397.0,392.0,0,,
2020-11-20,388.0,398.0,0,,
2020-11-21,395.0,404.0,0,,
2020-11-22,406.0,402.0,0,,
2020-11-23,401.0,398.0,0,,
2020-11-24,404.0,395.0,0,,
2020-11-25,420.0,393.0,0,,
2020-11-26,375.0,392.0,0,,
2020-11-27,362.0,386.0,0,,
2020-11-28,383.0,378.0,0,,
2020-11-29,399.0,366.0,0,,
2020-11-30,362.0,370.0,0,,
2020-12-01,348.0,378.0,0,,
2020-12-02,335.0,372.0,0,,
2020-12-03,403.0,365.0,0,,
2020-12-04,414.0,364.0,0,,
2020-12-05,342.0,368.0,0,,
2020-12-06,353.0,374.0,0,,
2020-12-07,355.0,370.0,0,,
2020-12-08,374.0,367.0,0,,
2020-12-09,376.0,372.0,0,,
2020-12-10,377.0,374.0,0,,
2020-12-11,395.0,382.0,0,,
2020-12-12,376.0,384.0,0,,
2020-12-13,365.0,381.0,0,,
2020-12-14,412.0,389.0,0,,
2020-12-15,386.0,395.0,0,,
2020-12-16,355.0,400.0,0,,
2020-12-17,437.0,409.0,0,,
2020-12-18,435.0,421.0,0,,
2020-12-19,409.0,436.0,0,,
2020-12-20,427.0,454.0,0,,
2020-12-21,499.0,461.0,0,,
2020-12-22,490.0,475.0,0,,
2020-12-23,481.0,498.0,0,,
2020-12-24,485.0,518.0,0,,
2020-12-25,533.0,531.0,0,,
2020-12-26,568.0,544.0,0,,
2020-12-27,570.0,564.0,0,,
2020-12-28,588.0,587.0,0,,
2020-12-29,582.0,603.0,0,,
2020-12-30,622.0,617.0,0,,
2020-12-31,648.0,628.0,0,,
2021-01-01,640.0,652.0,0,,
2021-01-02,666.0,686.0,0,,
2021-01-03,651.0,715.0,0,,
2021-01-04,753.0,749.0,0,,
2021-01-05,821.0,784.0,0,,
2021-01-06,823.0,821.0,0,,
2021-01-07,886.0,867.0,0,,
2021-01-08,886.0,903.0,0,,
2021-01-09,925.0,941.0,0,,
2021-01-10,977.0,981.0,0,,
2021-01-11,1004.0,1009.0,0,,
2021-01-12,1089.0,1039.0,0,,
2021-01-13,1099.0,1073.0,0,,
2021-01-14,1083.0,1100.0,0,,
2021-01-15,1095.0,1123.0,0,,
2021-01-16,1162.0,1146.0,0,,
2021-01-17,1167.0,1156.0,0,,
2021-01-18,1169.0,1162.0,0,,
2021-01-19,1246.0,1167.0,0,,
2021-01-20,1168.0,1151.0,0,,
2021-01-21,1130.0,1133.0,0,,
2021-01-22,1124.0,1118.0,0,,
2021-01-23,1054.0,1077.0,0,,
2021-01-24,1039.0,1054.0,0,,
2021-01-25,1066.0,1038.0,0,,
2021-01-26,957.0,1011.0,0,,
2021-01-27,1007.0,980.0,0,,
2021-01-28,1018.0,947.0,0,,
2021-01-29,939.0,909.0,0,,
2021-01-30,831.0,880.0,0,,
2021-01-31,810.0,847.0,0,,
2021-02-01,798.0,794.0,0,,
2021-02-02,758.0,756.0,0,,
2021-02-03,776.0,724.0,0,,
2021-02-04,648.0,689.0,0,,
2021-02-05,673.0,662.0,0,,
2021-02-06,604.0,630.0,0,,
2021-02-07,563.0,596.0,0,,
2021-02-08,614.0,576.0,0,,
2021-02-09,531.0,544.0,0,,
2021-02-10,538.0,519.0,0,,
2021-02-11,508.0,500.0,0,,
2021-02-12,449.0,477.0,0,,
2021-02-13,428.0,458.0,0,,
2021-02-14,430.0,435.0,0,,
2021-02-15,457.0,415.0,0,,
2021-02-16,395.0,395.0,0,,
2021-02-17,380.0,376.0,0,,
2021-02-18,364.0,355.0,0,,
2021-02-19,314.0,323.0,0,,
2021-02-20,295.0,303.0,0,,
2021-02-21,280.0,281.0,0,,
2021-02-22,236.0,260.0,0,,
2021-02-23,249.0,241.0,0,,
2021-02-24,229.0,226.0,0,,
2021-02-25,215.0,212.0,0,,
2021-02-26,181.0,205.0,0,,
2021-02-27,189.0,190.0,0,,
2021-02-28,188.0,174.0,0,,174.0
2021-03-01,186.0,,0,,159.0
2021-03-02,142.0,,0,,150.0
2021-03-03,120.0,,0,120.0,136.0
2021-03-04,,,0,110.0,118.0
2021-03-05,,,0,115.0,97.0
2021-03-06,,,0,89.0,
2021-03-07,,,0,64.0,
2021-03-08,,,0,38.0,
