date,Under 65,65 to 69,70 to 74,75 to 79,80+
2020-10-09,9,2,8,12,36
2020-10-10,5,5,9,14,57
2020-10-11,5,11,14,16,57
2020-10-12,8,15,9,10,54
2020-10-13,12,3,7,16,49
2020-10-14,12,6,7,15,61
2020-10-15,13,7,19,18,67
2020-10-16,11,10,16,20,66
2020-10-17,19,12,15,26,88
2020-10-18,10,9,16,19,66
2020-10-19,19,11,17,26,86
2020-10-20,12,13,15,38,93
2020-10-21,12,15,27,33,104
2020-10-22,16,12,23,18,118
2020-10-23,12,14,22,35,105
2020-10-24,19,10,17,23,102
2020-10-25,19,17,23,29,117
2020-10-26,26,13,23,30,130
2020-10-27,19,10,19,37,133
2020-10-28,22,18,32,38,128
2020-10-29,12,14,27,43,153
2020-10-30,22,20,22,40,176
2020-10-31,29,17,30,41,159
2020-11-01,27,20,26,41,172
2020-11-02,24,11,23,52,174
2020-11-03,22,16,36,44,173
2020-11-04,26,17,28,35,171
2020-11-05,20,26,35,34,186
2020-11-06,29,33,27,40,204
2020-11-07,30,26,42,44,191
2020-11-08,31,20,36,47,205
2020-11-09,44,26,38,56,237
2020-11-10,23,20,25,53,198
2020-11-11,30,20,42,47,172
2020-11-12,29,20,39,44,219
2020-11-13,31,28,42,53,202
2020-11-14,22,20,29,52,235
2020-11-15,23,27,42,70,219
2020-11-16,26,21,42,49,221
2020-11-17,18,30,44,51,222
2020-11-18,38,26,32,59,280
2020-11-19,34,27,38,55,243
2020-11-20,40,22,41,61,225
2020-11-21,23,27,43,48,254
2020-11-22,35,28,37,49,258
2020-11-23,33,23,43,65,235
2020-11-24,30,35,30,60,249
2020-11-25,45,23,54,48,254
2020-11-26,39,25,43,52,211
2020-11-27,31,23,34,53,224
2020-11-28,32,33,42,57,219
2020-11-29,34,32,33,47,255
2020-11-30,31,25,42,52,210
2020-12-01,26,24,36,57,206
2020-12-02,19,18,42,50,206
2020-12-03,33,35,29,64,242
2020-12-04,22,21,50,54,266
2020-12-05,32,30,25,48,210
2020-12-06,40,21,30,43,219
2020-12-07,29,15,37,49,225
2020-12-08,31,25,34,55,230
2020-12-09,34,22,33,56,228
2020-12-10,29,29,40,54,223
2020-12-11,34,29,26,49,259
2020-12-12,24,16,27,49,257
2020-12-13,16,24,31,37,257
2020-12-14,39,28,38,67,241
2020-12-15,28,27,42,38,250
2020-12-16,27,22,32,55,221
2020-12-17,30,33,41,53,282
2020-12-18,31,24,31,51,296
2020-12-19,28,31,38,46,268
2020-12-20,34,24,42,54,273
2020-12-21,39,28,49,68,311
2020-12-22,42,34,51,70,294
2020-12-23,31,34,44,69,305
2020-12-24,45,32,54,59,295
2020-12-25,42,41,57,63,332
2020-12-26,63,29,50,76,349
2020-12-27,52,41,52,97,328
2020-12-28,55,28,74,70,363
2020-12-29,53,44,43,75,364
2020-12-30,57,45,64,84,373
2020-12-31,78,50,51,85,387
2021-01-01,69,47,57,98,369
2021-01-02,64,40,69,93,403
2021-01-03,79,41,68,87,376
2021-01-04,83,63,77,87,441
2021-01-05,100,65,88,92,476
2021-01-06,91,55,80,98,497
2021-01-07,82,64,89,115,537
2021-01-08,110,68,85,108,517
2021-01-09,114,69,99,126,516
2021-01-10,98,63,84,129,604
2021-01-11,103,67,92,139,605
2021-01-12,114,60,103,165,647
2021-01-13,140,81,110,139,628
2021-01-14,105,83,95,141,661
2021-01-15,109,84,108,137,663
2021-01-16,114,81,133,156,681
2021-01-17,117,75,111,166,699
2021-01-18,138,90,85,158,697
2021-01-19,112,75,121,174,762
2021-01-20,127,74,108,152,709
2021-01-21,122,85,112,138,675
2021-01-22,124,83,106,138,668
2021-01-23,106,61,118,156,614
2021-01-24,95,85,82,124,653
2021-01-25,113,73,112,134,637
2021-01-26,101,68,96,119,571
2021-01-27,99,73,87,124,625
2021-01-28,102,74,95,125,617
2021-01-29,106,62,82,131,563
2021-01-30,85,47,81,101,515
2021-01-31,88,60,68,113,478
2021-02-01,82,60,80,99,482
2021-02-02,90,56,71,94,448
2021-02-03,102,46,90,99,439
2021-02-04,79,37,53,96,382
2021-02-05,77,53,52,81,411
2021-02-06,71,48,69,91,328
2021-02-07,68,54,47,75,319
2021-02-08,65,52,72,68,360
2021-02-09,70,35,48,58,318
2021-02-10,65,50,64,68,295
2021-02-11,60,34,50,78,287
2021-02-12,51,43,38,70,249
2021-02-13,46,39,48,55,241
2021-02-14,45,37,42,65,243
2021-02-15,50,49,36,55,266
2021-02-16,43,31,44,54,223
2021-02-17,47,40,42,47,208
2021-02-18,49,31,42,51,191
2021-02-19,50,28,34,54,150
2021-02-20,40,25,30,43,161
2021-02-21,42,27,25,32,159
2021-02-22,38,25,18,32,127
2021-02-23,47,20,32,27,124
2021-02-24,25,22,28,32,130
2021-02-25,22,23,21,32,124
2021-02-26,27,19,18,27,102
2021-02-27,30,26,16,27,94
2021-02-28,38,16,19,29,95
2021-03-01,32,27,17,20,98
2021-03-02,20,19,16,20,75
2021-03-03,19,13,10,12,71
2021-03-04,22,10,15,10,70
2021-03-05,15,12,18,26,84
2021-03-06,19,11,13,19,66
2021-03-07,21,10,16,10,51
2021-03-08,29,7,16,11,59
2021-03-09,16,12,17,15,57
2021-03-10,14,13,10,10,48
2021-03-11,16,4,17,18,46
2021-03-12,18,9,8,7,37
2021-03-13,12,10,13,8,50
2021-03-14,12,8,12,8,31
2021-03-15,16,2,7,8,47
2021-03-16,3,4,5,11,42
2021-03-17,7,6,4,6,38
2021-03-18,15,1,4,4,19
2021-03-19,5,5,5,5,32
2021-03-20,10,11,5,5,22
