,Israel cases,UK cases,Israel deaths,UK deaths
27,-81.38028881784015,-66.73423320716859,-58.36947262448695,-58.50007387649405
28,-82.64604760123952,-67.93696214406233,-59.9105552543948,-60.49551686328182
29,,-69.1991361732344,-57.48857740261752,-60.974547603679824
30,,-70.28080884412682,-58.810888252149,-61.62388310405698
31,,-71.34696064572029,-60.793386509718886,-64.48562518955153
32,,-72.81256718109744,-62.334469139626734,-67.84894978731346
33,,-74.5296183136486,-54.62518392317819,-69.34281026183385
34,,-75.4861631368768,-61.453573917757296,-71.48600623673138
35,,-76.68195409861696,-63.877487802989236,-73.25359856290778
36,,-77.85505820733145,-65.6392782467281,-74.08568118015754
37,,-78.89660136935434,-68.50267172616743,-74.92942850699492
38,,-79.32758643153554,-70.2644621699063,-77.26625866104686
39,,-79.40328527781216,-69.82498257569891,-76.76467614877949
40,,-79.7490277062989,-72.68837605513824,-77.69940821040025
41,,-80.48899695771418,-69.38356694803686,-78.94208860513402
42,,-81.18193129775965,-65.41857043289707,-80.44683614193619
43,,-81.45796824817756,-68.50267172616742,-81.15371754294557
44,,-81.247125463346,-67.621776504298,-81.59853180188657
45,,-81.7516595766858,-68.06319213196004,-82.87542867807734
46,,-82.42334026045094,-67.84248431812901,-86.26130504770866
47,,-82.91881917617245,-70.92658561139936,-86.95652173913044
48,,-83.75715784056338,-73.56927127700767,-87.64085136827043
49,,-84.47253473873474,-75.11035390691552,-88.0623362080362
50,,-85.37510667543957,-74.66893827925347,-88.40450102260621
51,,-86.6160270483313,-76.43072872299234,-88.41616573219382
52,,-87.12033315309799,-77.53233175869279,-89.79571205275559
53,,-87.96249910425203,-79.51483001626268,-90.3548404656552
54,,-88.76860712819945,-79.29412220243167,-91.3354537183206
55,,-89.38084271968626,-82.15751568187099,-92.20175281702737
56,,-89.7005758845104,-82.59893130953303,-92.49881408785859
57,,-89.8904093079614,-83.70053434523348,-92.70411297660058
58,,-90.04299590236022,-78.63393479439324,-93.22824726073736
59,,-90.1724070539338,-79.29412220243165,-93.20569548886797
60,,-90.26768206484564,-79.73360179663905,-93.69561329154774
61,,-90.22208035022116,-81.71610005420894,-94.06032987798713
62,,-90.06447756721367,-79.51483001626268,-94.39082998296952
63,,-90.18410063646965,-80.61643305196314,-94.82397953232291
64,,-90.31901656645147,-84.36072175327189,-94.97173252043268
65,,-90.24571181019263,-87.8862386742043,-94.9149642671063
66,,-90.36654006762083,-87.4467590799969,-95.5650774147893
67,,-90.42098525761712,-87.88817470765895,-96.19263879060291
68,,-90.54108063034599,-84.36459382018121,-96.3295047164309
69,,-90.97375947049895,-87.22798729962054,-96.54646831476052
70,,-90.96849898699048,-88.76906992952838,-97.09315437076668
71,,-90.8106519090832,-85.90567645008906,-97.21835558700707
72,,-90.74451313655108,-87.4467590799969,-97.16080968637485
73,,-90.73161436584301,-87.00534345233486,-97.55974275427123
74,,-90.77148329348611,-86.78463563850383,-97.536413335096
75,,-90.78461007276731,-87.66553086037327,-97.51386156322661
76,,-90.45914412096181,-88.32571826841168,-97.42209918113738
77,,-90.87223051015289,-87.66553086037327,-97.08071201387322
78,,-91.20867344612157,-88.5464260822427,-97.11492849533023
79,,-91.35766076233038,-89.86873693177418,-97.26345913074584
80,,-91.67905513247298,-92.0719430031751,-97.22924264928884
81,,-92.03984612678579,-92.0719430031751,-97.30934032179046
82,,-92.44863292574087,-91.40981956168203,-97.56052040157707
83,,-93.120313609506,-91.40981956168203,-97.8575816724083
84,,-93.23612567832551,-91.84929915588941,-97.90268521614706
85,,-93.6043269512648,-92.07000696972044,-97.86846873469007
86,,-94.07042533370684,-92.50948656392782,-97.97111817906107
87,,-94.46846315707185,-93.16967397196623,-97.85680402510245
88,,-94.7831801332873,-93.39038178579726,-98.06210291384446
89,,-95.12726135645558,-95.8142956710292,-98.18730413008484
90,,-97.08738591428181,-96.25377526523658,-98.10720645758323
91,,-97.25715458329805,-97.35537830093703,-98.15308764862785
92,,-97.41832407184225,-96.913962673275,-98.14220058634606
93,,-97.21417496726448,-96.69325485944397,-98.13053587675846
94,,-97.19007120382012,-96.47254704561294,-98.31328299363106
95,,-97.25406018123424,-96.25183923178193,-98.21063354926007
96,,-97.33954710982847,-97.13273445365135,-98.15308764862785
97,,-95.52627635941968,-96.913962673275,-98.43770656256561
98,,-95.63133945264913,-96.913962673275,-98.72232547650339
99,,-95.59456492706983,-97.79485789514443,-98.68810899504639
100,,-95.74547402982353,-98.01556570897544,-98.75654195796038
101,,-95.73949694794238,-97.35537830093703,-98.88174317420078
102,,-95.76456160465919,-97.35537830093703,-98.90429494607017
103,,-95.76456160465919,-97.13467048710602,-99.04116087189816
104,,-95.77721608046748,-97.5741500813134,-99.05282558148578
105,,-95.81327400767412,-97.5741500813134,-99.076155000661
106,,-95.84933193488075,-98.01556570897546,-99.213020926489
107,,-96.07258490062084,-98.01556570897546,-99.16791738275023
108,,-96.03271597297773,-98.89646093084488,-99.00849968505284
109,,-96.10268203227298,-98.89646093084488,-99.19124680192546
110,,-96.17598678853182,-98.89646093084488,-99.21457622110069
111,,-96.26122942222628,-98.89646093084488,-99.18035973964368
112,,-96.31160303055967,-97.57608611476806,-99.15703032046845
113,,-96.3256907031133,-96.91589870672965,-99.13370090129322
114,,-96.43194269818831,-96.47641911252227,-99.13370090129322
115,,-96.60218367067745,-96.25571129869124,-99.281453889403
116,,-96.59645088369608,-96.25571129869124,-99.37243862418639
117,,-96.55848745627121,-96.47641911252227,-99.41754216792516
118,,-96.53628919304509,-95.15604429644544,-99.52019161229616
119,,-96.50168074891045,-96.25571129869124,-99.53185632188378
120,,-96.47876588731165,-96.91589870672965,-99.520969259602
121,,-96.31067470994053,-97.57608611476806,-99.54352103147139
122,,-96.18986273883898,-97.79679392859909,-99.452536296688
123,,-96.15619890165013,-97.79679392859909,-99.384103333774
124,,-96.14544992606008,-97.79679392859909,-99.349886852317
125,,-96.21517169045556,-98.4569813366375,-99.33822214272939
126,,-96.21421079718311,-98.67768915046852,-99.32655743314177
127,,-96.17694768180426,-98.4569813366375,-99.31489272355417
128,,-96.26886770942588,-98.01556570897544,-99.32655743314177
129,,-97.42741184211384,-97.79485789514443,-99.49763984042677
130,,-97.4632254744207,-97.79485789514443,-99.46342335896978
131,,-97.45462629394865,-97.5741500813134,-99.37243862418639
132,,-97.33283714324801,-98.45504530318284,-99.36155156190462
133,,-97.2220412630372,-98.67575311701385,-99.29311859899062
134,,-97.1821723353941,-98.89646093084488,-99.31567037086
135,,-97.09215780799072,-99.33787655850693,-99.32655743314177
136,,-95.95104004481998,-97.35537830093703,-99.16713973544438
137,,-95.74926874393334,-97.57608611476806,-99.23557269835838
138,,-95.58570516537137,-97.79679392859909,-99.36077391459877
139,,-95.27004358221012,-97.35537830093703,-99.29234095168478
140,,-95.09884171644853,-97.79679392859909,-99.30400566127238
141,,-94.8550516928008,-97.79679392859909,-99.25890211753361
142,,-94.63442082565162,-97.79679392859909,-99.23635034566422
143,,-94.47085724708964,-100.22070781383103,-99.281453889403
144,,-94.16690553279089,-100.22070781383103,-99.247237407946
145,,-93.73782597082793,-100.22070781383103,-99.110371482118
146,,-93.23304756258835,-100.66212344149307,-99.178804445032
147,,-92.65664188973506,-100.22070781383103,-99.15625267316261
148,,-92.15258007986814,-100.0,-99.178804445032
149,,-91.602672260477,-100.0,-99.15625267316261
150,,-90.91713191273135,-99.55858437233795,-98.96261849400823
151,,-90.18693445730702,-99.55858437233795,-98.84830434004961
152,,-89.69552712324841,-99.55858437233795,-98.82575256818022
153,,-89.2619199624763,-99.55858437233795,-98.74565489567861
154,,-88.80894835931545,-99.55858437233795,-98.64300545130762
155,,-88.3053751392481,-99.77929218616897,-98.58623719798123
156,,-87.82209468218862,-99.77929218616897,-98.60878896985061
157,,-87.43505012931344,-100.0,-98.65467016089522
158,,-87.07951961850908,-100.0,-98.71221606152746
159,,-86.22375458460095,-100.0,-98.70055135193984
160,,-85.66811397822843,-100.22070781383103,-98.59790190756884
161,,-85.06543846048612,-100.0,-98.65467016089522
162,,-84.64924138290456,-100.0,-98.60878896985061
163,,-83.96943382214029,-100.0,-98.54035600693662
164,,-83.0350872621382,-99.33981259196159,-98.38093830923923
165,,-81.33212380214067,-98.89839696429954,-98.16397471090961
166,,-79.9276235643603,-98.67768915046852,-98.00455701321222
167,,-78.71295675003094,-97.79679392859909,-97.97034053175523
168,,-76.8337915219898,-98.01750174243011,-97.78837106218846
169,,-75.50713992560406,-97.57608611476806,-97.66316984594806
170,,-72.58092675713178,-97.35537830093703,-97.69738632740507
171,,-70.49067444935929,-97.5741500813134,-97.54885569198946
172,,-68.16808140557514,-97.79485789514443,-97.35522151283507
173,,-65.55562432004587,-97.5741500813134,-97.0021696359833
174,,-62.812306599871015,-97.5741500813134,-96.78598368495952
175,,-61.255708357491386,-97.35344226748238,-96.63745304954391
176,,-59.04391119391803,-97.35344226748238,-96.61412363036868
177,,-57.99735184328645,-97.13273445365135,-96.46559299495307
178,,-55.99926385803534,-96.913962673275,-95.87302574790229
179,,-54.47323505078077,-97.13467048710602,-95.61095860583391
180,,-53.41066624105067,-97.35537830093703,-95.41654677937368
181,,-51.256424955864055,-97.5741500813134,-95.24546437208868
182,,-49.4966385021791,-97.5741500813134,-94.7780983412783
183,,-47.709149006859796,-98.01556570897544,-94.7780983412783
184,,-45.86960841156198,-98.23627352280647,-94.83564424191053
185,,-43.99018260229441,-98.01556570897544,-94.5043664896223
186,,-41.57327544087086,-97.35537830093703,-93.88846982339629
187,,-37.622701184993126,-96.69519089289862,-93.80914979820052
188,,-33.78697810466245,-96.25571129869124,-93.76326860715591
189,,-28.45077946359355,-94.27321304112135,-93.94523807672269
190,,-24.519081060305012,-92.51142259738248,-93.5237532369569
191,,-23.119597011133337,-90.97033996747464,-93.39777437341068
192,,-20.686940971837686,-90.52892433981259,-93.29512492903969
193,,-20.233741360103707,-89.64802911794315,-93.36355789195368
194,,-22.290101822114224,-86.34322001084179,-93.37444495423546
195,,-26.076151606157524,-85.68303260280338,-93.10071310257946
196,,-31.46272385555983,-84.14194997289553,-92.74766122572768
197,,-35.97823821032813,-83.2610547510261,-92.97551188633906
198,,-39.736356944163944,-81.49926430728723,-92.83942360781691
199,,-45.296769444245385,-79.07728645550995,-92.77099064490291
200,,-49.68264463886699,-79.07728645550995,-92.91952128031852
201,,-51.869360859396885,-80.84101293270348,-92.86275302699214
202,,-53.48589278385439,-72.2508324943855,-92.77176829220875
203,,-54.880832947890276,-71.80941686672345,-92.87441773657974
204,,-56.01836771919768,-70.707813831023,-92.71500003888237
205,,-56.64993518041992,-70.04569038952994,-92.82853654553514
206,,-57.01908106030501,-67.40300472392163,-92.55558234118497
207,,-56.1981687654313,-67.40300472392163,-92.52136585972798
208,,-56.40399536165417,-66.30140168822118,-92.3051799087042
209,,-55.852410050617905,-64.31890343065129,-92.14576221100683
210,,-55.240663048930635,-62.77782080074344,-92.03144805704821
211,,-54.50738747776916,-61.2367381708356,-92.14576221100683
212,,-53.84621147469431,-59.2542399132657,-91.97467980372181
213,,-53.46082812713758,-59.2542399132657,-91.92879861267721
214,,-53.40589434734174,-58.592116471772634,-91.49487141601799
215,,-52.71918138407718,-61.455509951211965,-91.17525837331736
216,,-52.50285010716402,-64.9790908386897,-91.32301136142713
217,,-52.29225161723223,-58.810888252149,-90.99251125644474
218,,-52.47371386878432,-64.0962595833656,-90.85564533061675
219,,-51.68527650925389,-60.793386509718886,-90.78721236770275
220,,-50.911627134323105,-59.25036784635638,-92.18931046013391
221,,-49.866500980436854,-59.91249128784945,-91.52831025016914
222,,-48.99542679947623,-55.06659955084024,-91.11771247268514
223,,-47.89968274235683,-52.42391388523194,-90.88986181207375
224,,-47.26453228927121,-64.31890343065129,-91.03839244748936
225,,-45.93931388963082,-64.31890343065129,-90.95829477498775
226,,-45.1040696273037,-61.455509951211965,-90.99251125644474
227,,-44.13630352501253,-57.93192906373422,-89.1798153865296
228,,-43.6921753972235,-57.7112212499032,-89.3625625034022
229,,-43.31395803339348,-59.47301169364206,-89.48854136694844
230,,-43.140606372513886,-60.793386509718886,-89.19225774342304
231,,-43.079483788590444,-55.72678695887864,-88.78165996593904
232,,-42.850742330768774,-48.67768915046852,-88.91852589176705
233,,-44.180976919017866,-57.928056996824914,-88.72489171261266
234,,-43.845494876321624,-66.51823743514288,-88.98695885468105
235,,-43.85529924496589,-61.89305351196469,-88.87264470072243
236,,-43.887529885409414,-61.89305351196469,-88.96362943550582
237,,-42.81279518967056,-65.19786261906606,-88.58724813947882
238,,-41.718468042969846,-67.18036087663594,-88.49626340469544
239,,-40.87008071503489,-71.58677301943777,-88.43949515136904
240,,-37.362201390200845,-69.1647951676605,-88.57636107719705
241,,-36.08045119639355,-67.84248431812901,-88.38272689804266
