,Black,Mixed,Other,South Asian,Unknown,White,All
2020-12-29,0.6938004465052379,0.8213615528962992,0.8043273753527752,1.301475965885205,0.8770672604669535,2.1076768281941836,1.8411571746589634
2020-12-30,0.7934054611025245,0.9413357123081183,0.9297585449984321,1.48921099459254,0.9857830508237581,2.3484205361648005,2.0565667329435993
2020-12-31,0.8827065086725057,1.0674623927154152,1.0489181561618062,1.6619732909489833,1.0944988411805625,2.548857835814583,2.2398096834447543
2021-01-01,0.9033144427271166,1.0920724766973267,1.0802759485732205,1.704587990716906,1.123163454715154,2.5940905829301864,2.2819235479006146
2021-01-02,0.9307916881332647,1.1259113421724551,1.1147695202257761,1.7598719255509678,1.1500802259610512,2.645145366803244,2.3294874418742917
2021-01-03,0.9496822943499914,1.1505214261543666,1.142991533396049,1.7990313793917616,1.1696560595944305,2.682267071256754,2.3640551116131747
2021-01-04,0.9994848016486347,1.202817854615929,1.207275007839448,1.8715915438614676,1.2014667892486726,2.7391936528851923,2.4192414244928897
2021-01-05,1.0733298986776576,1.313563232534531,1.3076199435559737,2.0121048782313746,1.2692830700500233,2.848817131318278,2.5253454956649395
2021-01-06,1.1866735359780183,1.4489186944350447,1.4455942301661961,2.1912017921208875,1.3783484288645667,3.0351223075568043,2.6993272071952585
2021-01-07,1.3635583032800962,1.6334943242993818,1.6478519912198182,2.4756837067878306,1.5950808726626977,3.5034230590473956,3.1115857337283273
2021-01-08,1.6039842005838916,1.8857476851139754,1.9081216682345563,2.8275429170337865,1.8502658468121107,4.042533710588046,3.5903879773111083
2021-01-09,1.8444100978876867,2.0980096594579627,2.09156475384133,3.133908055905879,2.074339228222759,4.521533076632932,4.014385028959476
2021-01-10,1.9714923578911212,2.2241363398652596,2.20288491690185,3.3193395873284612,2.1980864622623373,4.764615551506116,4.233415236224479
2021-01-11,2.1191825519491667,2.3841018857476852,2.3314518657886483,3.502467621466291,2.3309224762031273,4.998143914777325,4.447262198633377
2021-01-12,2.3252618924952775,2.5809825576029777,2.507055503292568,3.7241792351237266,2.5480044884589974,5.4049898338281235,4.808488630590521
2021-01-13,2.5983170187188733,2.8424646999107885,2.7155848228284727,4.02708912806869,2.832553213058479,5.975101587077268,5.310577363931247
2021-01-14,2.941782586295724,3.122404405205033,2.985261837566635,4.42444240968851,3.1394743189532526,6.579150340912597,5.850625743424044
2021-01-15,3.32818134981968,3.4515642784631004,3.2455315145813737,4.8183404453812,3.5103664526142477,7.3090944195031256,6.495177486118623
2021-01-16,3.637300360638846,3.7376565047528225,3.4854186265286926,5.168472032663591,3.858536636522213,8.040680611025246,7.132869051797766
2021-01-17,3.833075734157651,3.9160796136216813,3.640639698965193,5.368876296437065,4.0528966990250535,8.416276623377916,7.465320852384616
2021-01-18,4.094109565516057,4.128341587965669,3.808403888366259,5.5905879100945,4.242362803119549,8.745843712648151,7.765567933093457
2021-01-19,4.4152498712004125,4.41751007475313,4.054562558795861,5.928626136631941,4.589484281654298,9.456480524043021,8.386756961841026
